Gene = PIGZ
index = 1029
Annotated 5SS: [  147 17013]
Annotated 3SS: [16801 20147]
SMsplice 5SS: [  147 17013]
SMsplice 3SS: [16801 20147]
top_k =  500
Partition function (log Z): -11.537326919509542

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9147973044697059
Position 2056: 0.7672260757347997
Position 978: 0.4634939675087762
Position 1457: 0.43856223976847875
Position 960: 0.3436770522502769
Position 1177: 0.32002720800278495
Position 415: 0.2560013709679282
Position 749: 0.1501549557450553
Position 718: 0.11722134839829892
Position 3167: 0.0872446939750969
Position 1135: 0.08208573458594653
Position 450: 0.050400027879495435
Position 2666: 0.04838469790121017
Position 155: 0.046945168590858746
Position 186: 0.031184112315098742
Position 411: 0.028201722822147494
Position 3581: 0.01674344311626575
Position 6900: 0.009028238072215568
Position 3617: 0.008153633695282072
Position 438: 0.006472908986000539
Position 5137: 0.006391553645790765
Position 385: 0.006234327322432333
Position 2412: 0.0057442652577573364
Position 5171: 0.00464526346524499
Position 1235: 0.0027905429437708323
Position 536: 0.0016297280860417575
Position 967: 0.0015949208194590636
Position 1188: 0.0014376709068442725
Position 1171: 0.0006292772162833899
Position 2523: 0.000588676254835612
Position 970: 0.0004244760899390021
Position 2833: 0.00024064696432403925
Position 1624: 0.00024031116780105202
Position 331: 0.00018324366564292506
Position 151: 0.0001408846201486277
Position 753: 0.00012403140134299842
Position 2050: 0.00011556835879160647
Position 210: 0.00011317455962855328
Position 764: 0.00011047744560197748
Position 463: 5.848503582093791e-05
Position 803: 4.432649726478476e-05
Position 756: 2.7107293330889594e-05
Position 690: 2.2898158285767604e-05
Position 772: 1.7555635672499888e-05
Position 798: 6.829158835423439e-06
Position 520: 3.0366337181505686e-06
Position 58: 4.618691194344345e-07
Position 219: 5.680755390748177e-09
Position 317: 7.293195553414217e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 841: 0.6637813730554402
Position 1866: 0.3611219496814931
Position 1085: 0.3590333051809631
Position 310: 0.3269819959794536
Position 1946: 0.3207254137818752
Position 6795: 0.26757806244601823
Position 546: 0.24601242741650495
Position 1059: 0.17504616640888182
Position 1343: 0.16933998022706664
Position 2261: 0.16589430180432588
Position 1908: 0.13202326839483217
Position 8171: 0.10392839207545014
Position 3032: 0.090237313093179
Position 1323: 0.07878170739072833
Position 10229: 0.06989286222675044
Position 924: 0.06468503245983441
Position 4862: 0.05562432454990477
Position 858: 0.05428106724476026
Position 1416: 0.050644834646703725
Position 1810: 0.03723711612950282
Position 2928: 0.03347649224121999
Position 3826: 0.03163701564017846
Position 1368: 0.028498116462020863
Position 8982: 0.02732468837548666
Position 3468: 0.02622213250385055
Position 6502: 0.020377441411287573
Position 1694: 0.017007831624564367
Position 526: 0.0167152686161318
Position 852: 0.015736807969018118
Position 2537: 0.015050035822529787
Position 8850: 0.014782647866343215
Position 8458: 0.012021170774950973
Position 7334: 0.01172145659272369
Position 368: 0.011681912032041199
Position 2511: 0.011552304023910364
Position 8904: 0.01153736425785185
Position 324: 0.009728825992068677
Position 5206: 0.009718352093408768
Position 1064: 0.008019903247963488
Position 7586: 0.007873700560640625
Position 7688: 0.007518857953243576
Position 7658: 0.007141128197414857
Position 3823: 0.007067851524352409
Position 3756: 0.006479281031780225
Position 5122: 0.006347895472533188
Position 6754: 0.006121065103413318
Position 1351: 0.005971752835288826
Position 237: 0.004964475282577614
Position 784: 0.0036386580009771016
Position 5826: 0.003165519279877881
Position 585: 0.0029127938811190517
Position 1538: 0.002875308958359881
Position 2560: 0.0025882113980851785
Position 7282: 0.0025495677132816876
Position 552: 0.0022413986792449705
Position 3091: 0.0018509628603041765
Position 1249: 0.0017513841551128177
Position 2858: 0.001683143839032159
Position 945: 0.0014302109501780718
Position 482: 0.0013462810777535262
Position 1134: 0.0009014778815477177
Position 2899: 0.0008800204761141932
Position 2237: 0.0006491123355482715
Position 687: 0.0006426780199554479
Position 1374: 0.0005661733041958338
Position 2657: 0.0004520143499584291
Position 1430: 0.0002744556498186857
Position 1202: 0.0002375043298947861
Position 661: 0.00019945509790550496
Position 599: 0.00018221437640834299
Position 3106: 0.0001759000585900481
Position 498: 0.00014733823327262296
Position 798: 0.00012038342581085236
Position 1949: 0.00011191497642708765
Position 647: 9.73172562117926e-05
Position 430: 9.260347920201361e-05
Position 346: 7.997163253138149e-05
Position 730: 7.425534876175599e-05
Position 2779: 7.193282676776821e-05
Position 399: 7.040707530995478e-05
Position 882: 6.00252368401062e-05
Position 484: 5.08145229678535e-05
Position 449: 4.707604219880565e-05
Position 926: 2.84790356798587e-05
Position 741: 2.5731340004089832e-05
Position 1095: 2.4040682470567452e-05
Position 1999: 2.1152466141381012e-05
Position 272: 1.4735868140183205e-05
Position 712: 1.3101215363856855e-05
Position 810: 7.954424795316236e-06
Position 1439: 7.906013882770456e-06
Position 489: 6.899404691001766e-06
Position 997: 6.5034897353738645e-06
Position 265: 6.340639097840603e-06
Position 558: 5.999918377054407e-06
Position 560: 5.845157339501983e-06
Position 563: 4.774282289932986e-06
Position 1162: 3.359737032350135e-06
Position 502: 3.2389887484727533e-06
Position 607: 2.6288917784307493e-06
Position 277: 2.265255357070603e-06
Position 382: 2.1124263126658742e-06
Position 252: 2.0261388473636583e-06
Position 667: 1.2270645481894626e-06
Position 403: 1.2076348141228833e-06
Position 244: 8.666257340636727e-07
Position 717: 8.288685876668682e-07
Position 249: 5.172590745848291e-07
Position 378: 5.031179223913649e-07
Position 258: 1.1221543283463614e-07
Position 269: 8.506289741816956e-08
Position 210: 2.5736189085483088e-08
Position 411: 1.6278164983734706e-08
Position 282: 6.728364424048019e-09
Position 592: 2.390212631593898e-09
Position 455: 1.2246589699017968e-10
Position 177: 2.6383283451293107e-11
Position 162: 1.4750656860054571e-12
Position 168: 4.0209272615445713e-13
Position 130: 1.336384429379712e-13
Position 124: 1.097744804738746e-14
Position 182: 4.053602826736446e-15
Position 179: 2.5777892036529054e-15
Position 137: 2.1324874321990915e-15
Position 151: 3.5895318148774612e-16
Position 201: 6.586311721551175e-17
Position 195: 4.295492908157675e-17
