Gene = SSNA1
index = 1340
Annotated 5SS: [132 619]
Annotated 3SS: [ 418 1159]
SMsplice 5SS: [158 505]
SMsplice 3SS: [ 418 1159]
top_k =  500
Partition function (log Z): -4.45541113631813

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.6594295863960673
Position 505: 0.6578615911755114
Position 619: 0.30411747627437946
Position 132: 0.2914625498252832
Position 268: 0.01866893339383703
Position 1123: 0.01543783204984273
Position 1072: 0.013123655408805395
Position 1496: 0.011618833303888472
Position 1245: 0.011048974541513025
Position 130: 0.010949697786823804
Position 1088: 0.006872961725727182
Position 1381: 0.0063714051544547816
Position 266: 0.003905248292877801
Position 324: 0.0027936624139268894
Position 1397: 0.002540081889364669
Position 125: 0.0018455756485076106
Position 1321: 0.0017827241719917232
Position 968: 0.0017061760016071354
Position 180: 0.0016041363285824064
Position 1485: 0.0014435803858600454
Position 47: 0.0010717351510376027
Position 894: 0.0007934770877090591
Position 56: 0.0006662143531418855
Position 199: 0.000445881218344932
Position 321: 0.0003749219937216608
Position 1294: 0.00036842576362019325
Position 347: 0.00024309470580522952
Position 1296: 0.00019809381819565886
Position 576: 9.69520582824551e-05
Position 1086: 5.366927145280139e-05
Position 53: 2.721236562167424e-05
Position 948: 2.2807208280202117e-05
Position 13: 2.048444086025384e-05
Position 1323: 1.5191006624808264e-05
Position 10: 4.075128704834084e-06
Position 668: 1.1797245240729515e-06
Position 252: 1.0228326553390573e-06
Position 73: 1.0042005037134534e-06
Position 272: 3.8882335506885293e-07
Position 959: 3.6096987158446617e-07
Position 719: 3.5878289213536745e-07
Position 686: 3.395825748457303e-07
Position 798: 3.0539426236938155e-07
Position 535: 2.731351235742253e-07
Position 863: 2.458326191619562e-07
Position 712: 2.3584126575529466e-07
Position 848: 2.203986048311226e-07
Position 882: 1.966333844838703e-07
Position 866: 1.5326383164404538e-07
Position 792: 1.0857774596583798e-07
Position 923: 9.780896343107883e-08
Position 837: 5.3646607147961086e-08
Position 786: 4.98083436668287e-08
Position 831: 4.932374467614804e-08
Position 1003: 4.084286832583502e-08
Position 961: 3.27985505422332e-08
Position 810: 3.244796501696734e-08
Position 880: 2.7420198121040492e-08
Position 806: 2.4997959137201563e-08
Position 723: 1.0096892523421708e-13
Position 670: 9.880829317193969e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 418: 0.9767118714064401
Position 1159: 0.7049432590275111
Position 1042: 0.1640527532258625
Position 1380: 0.03826089870537759
Position 1306: 0.028953513599814656
Position 1603: 0.026418365538574667
Position 858: 0.017861546692390155
Position 396: 0.012151961526981227
Position 880: 0.012104202380138408
Position 1011: 0.008769668393063946
Position 1355: 0.008261855361021727
Position 1548: 0.006362563603572256
Position 1122: 0.006220134869096195
Position 1657: 0.004304436612786837
Position 1058: 0.002472964680551031
Position 1358: 0.0019650640841010697
Position 1472: 0.0015207351532165324
Position 746: 0.000940960969111323
Position 1720: 0.0008898525035719785
Position 1671: 0.0007269724441801945
Position 1188: 0.0005724631482736497
Position 1607: 0.0004648289511131933
Position 972: 0.00037769050839254076
Position 1705: 0.000358763558309208
Position 462: 0.0003409895586543564
Position 424: 0.0002588118524606485
Position 468: 0.00022438509995855268
Position 1419: 0.00021950415600343
Position 1610: 0.00020216183892663423
Position 576: 0.00019485607078261334
Position 1495: 0.00018199826856618738
Position 719: 0.00016692112796563765
Position 1198: 0.00016429037082844473
Position 934: 0.00015622896541604705
Position 194: 0.00013424248940573249
Position 1108: 0.0001071534745985031
Position 298: 9.157796800899662e-05
Position 1097: 6.38564244645209e-05
Position 1332: 6.190180230441576e-05
Position 904: 6.112681425285436e-05
Position 779: 5.80563805517416e-05
Position 1282: 5.6979851930848286e-05
Position 618: 5.463679477941319e-05
Position 1205: 5.454792600573624e-05
Position 887: 5.433617502348175e-05
Position 1311: 5.249160789692806e-05
Position 498: 4.708551740145733e-05
Position 597: 3.146331358943144e-05
Position 683: 2.8663012500137884e-05
Position 558: 2.531091552187376e-05
Position 1067: 2.5085367021209304e-05
Position 260: 2.2419932023934176e-05
Position 1396: 2.167488096890941e-05
Position 771: 1.9291527864253138e-05
Position 243: 1.7013529706550858e-05
Position 1071: 1.697632398907626e-05
Position 1222: 1.5992739619508883e-05
Position 752: 1.524054485493509e-05
Position 353: 1.0023126575450005e-05
Position 441: 8.556073399413964e-06
Position 946: 6.570152640207778e-06
Position 438: 6.093319618065241e-06
Position 543: 5.508617814889882e-06
Position 923: 5.3122064391609285e-06
Position 988: 4.227700455170303e-06
Position 913: 4.073197878779286e-06
Position 986: 3.468425090480236e-06
Position 513: 3.1110946801550607e-06
Position 953: 2.5755592006711425e-06
Position 520: 2.165210722659001e-06
Position 603: 2.0853565461025796e-06
Position 504: 2.052401534474281e-06
Position 525: 1.955511253478261e-06
Position 471: 1.5412238211768525e-06
Position 959: 1.5257746545540303e-06
Position 893: 1.4294203418698893e-06
Position 426: 1.3466282774839533e-06
Position 477: 9.068525309909439e-07
Position 91: 7.590628214670916e-07
Position 356: 7.364697527320456e-07
Position 281: 6.346801031341489e-07
Position 1229: 5.205099836091521e-07
Position 690: 4.129972600138582e-07
Position 1263: 2.95220575155797e-07
Position 240: 2.6409006839248623e-07
Position 1078: 2.3916534481786197e-07
Position 245: 1.8734239544207104e-07
Position 981: 1.0408661360639025e-07
Position 447: 9.547684694198457e-08
