Gene = AZIN2
index = 124
Annotated 5SS: [  182   396   700  1242  3015 11110 12304 13601 15757 17067 37004]
Annotated 3SS: [  274   487  1064  2840 10936 12168 13434 15593 16953 36788 38930]
SMsplice 5SS: [  182   396  1242 10778 11110 13601 15757 17067 37004]
SMsplice 3SS: [  277  1064 10709 10936 13434 15593 16953 36788 38930]
top_k =  500
Partition function (log Z): -4.488642036244915

Sorted 5' Splice Sites (High to Low Probability):
Position 17067: 0.9997600849017401
Position 1242: 0.9903653662182953
Position 11110: 0.9471832435234001
Position 396: 0.9344521229382939
Position 10778: 0.9101245994489752
Position 13601: 0.7608307161404112
Position 15757: 0.6890366769588331
Position 12304: 0.5744895500217253
Position 3015: 0.38843080896760745
Position 16076: 0.24382248170102944
Position 2030: 0.23114280440150575
Position 166: 0.1738323076400095
Position 16759: 0.12611621598709785
Position 700: 0.11912615659428287
Position 13881: 0.10036126373195094
Position 186: 0.09877810013743046
Position 13586: 0.09389953096981742
Position 16502: 0.09066054046880347
Position 20790: 0.0865021715163275
Position 16374: 0.0759919129436679
Position 11940: 0.07414437623783693
Position 18185: 0.07146101790826682
Position 15768: 0.06211319798210974
Position 15729: 0.05078073457779708
Position 7359: 0.035174548736843184
Position 5364: 0.034911350459980936
Position 13028: 0.030810000553480817
Position 12293: 0.029931771662899273
Position 11087: 0.02929944831236451
Position 9276: 0.028481577896199005
Position 13923: 0.025478923810612366
Position 16670: 0.012793696438777244
Position 1646: 0.012487117022377897
Position 18673: 0.010280699249237763
Position 600: 0.007779056687793883
Position 608: 0.007395824233781273
Position 13019: 0.005469143789666126
Position 889: 0.005344066713704236
Position 13122: 0.004433242529480943
Position 11084: 0.004143256289574017
Position 2761: 0.003946109829937963
Position 11945: 0.0034877767339826504
Position 19452: 0.003392873745831966
Position 18273: 0.003039309166991656
Position 17778: 0.0027090642691711014
Position 2962: 0.0026287316108867913
Position 1345: 0.0023675383436850164
Position 21313: 0.002319917767995451
Position 1262: 0.0022235525544562194
Position 21209: 0.002051992567023978
Position 236: 0.001731890821345629
Position 617: 0.0016128576562737752
Position 48: 0.001571776040786606
Position 3085: 0.0013060237490342833
Position 13683: 0.0012595126713840332
Position 5140: 0.001147547596977111
Position 2130: 0.0011216448788487884
Position 195: 0.0008232595741110284
Position 15761: 0.0005294953869127495
Position 5098: 0.0005035583428080612
Position 971: 0.0003712216179367307
Position 332: 0.0002118312689493328
Position 324: 0.00019471791135143175
Position 412: 0.000159572635411791
Position 625: 0.00012609644475273385
Position 1454: 0.0001083395691639294
Position 896: 9.569082819467443e-05
Position 747: 9.022215632392367e-05
Position 439: 8.449913810207882e-05
Position 1704: 8.331935369964285e-05
Position 943: 7.773040391760993e-05
Position 709: 6.847656559936705e-05
Position 1751: 5.884747801032646e-05
Position 678: 5.8785034968893883e-05
Position 391: 4.528939497744543e-05
Position 958: 4.10237798989106e-05
Position 19892: 4.076677963322512e-05
Position 18258: 3.115007253199064e-05
Position 270: 2.6908768060448426e-05
Position 18252: 2.2367140738362324e-05
Position 1189: 1.9231025033542943e-05
Position 1173: 1.396769263364329e-05
