Gene = RFESD
index = 1133
Annotated 5SS: [1221 5478 7383 7514]
Annotated 3SS: [5282 7206 7478 9191]
SMsplice 5SS: [ 212 7383]
SMsplice 3SS: [7272 9191]
top_k =  500
Partition function (log Z): -9.802479742180632

Sorted 5' Splice Sites (High to Low Probability):
Position 7383: 0.8255758800374728
Position 212: 0.6531580017850835
Position 6361: 0.4464447379345447
Position 5478: 0.44100533910581696
Position 1907: 0.4223584503121971
Position 1221: 0.3529819913744737
Position 7514: 0.28199865228185317
Position 493: 0.06845012194477192
Position 9262: 0.05182844290028925
Position 460: 0.047113738302717936
Position 1225: 0.028728949457666034
Position 477: 0.02086078317820653
Position 1665: 0.018199008213915485
Position 8737: 0.01620713821120186
Position 8295: 0.015623894886678837
Position 101: 0.01538505022099714
Position 8683: 0.014677670370880387
Position 112: 0.00755546872837764
Position 1613: 0.007048176949319855
Position 4413: 0.007045461586860214
Position 420: 0.006133108845435889
Position 932: 0.0031683745873128583
Position 4704: 0.0030850355912189855
Position 5101: 0.0028225419448725123
Position 2686: 0.0015670257486740038
Position 648: 0.0014669782508553383
Position 5134: 0.001459959253096436
Position 1496: 0.001118184126771091
Position 879: 0.0010854065595972784
Position 688: 0.0006209005240474597
Position 1018: 0.0005367770621200246
Position 268: 0.0005035654740100755
Position 1689: 0.00042646450536704155
Position 220: 0.0003452395885015518
Position 366: 0.0003156628643476629
Position 7457: 0.00019251462300468633
Position 1527: 9.361760278046803e-05
Position 748: 4.541641154958804e-05
Position 330: 4.43343636103682e-05
Position 601: 3.9234868622580714e-05
Position 817: 3.8501450877324066e-05
Position 389: 3.799088151290053e-05
Position 740: 3.664116321457678e-05
Position 94: 3.174125819103931e-05
Position 336: 2.5622131006608468e-05
Position 88: 2.487257852643568e-05
Position 576: 2.188365859239152e-05
Position 403: 2.1369437868131078e-05
Position 105: 1.3217028923831531e-05
Position 711: 1.7300781367536777e-06
Position 661: 2.1499666512676267e-07
Position 164: 1.8850958015521608e-07
Position 52: 1.3572982035648704e-07
Position 520: 3.731148108974325e-08
Position 536: 2.104416165215445e-08
Position 334: 1.5644226001815734e-08
Position 249: 4.9553824147435744e-09
Position 32: 3.76902199545063e-09
Position 223: 2.911915572985358e-10
Position 522: 1.2028426988517988e-10
Position 371: 4.4191965694933925e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 7272: 0.6218743961319904
Position 5282: 0.4161454458207128
Position 7478: 0.3141093926598884
Position 9191: 0.28456782751064724
Position 6262: 0.2489435311953715
Position 1824: 0.21212706820635352
Position 1854: 0.19867851033385073
