Gene = CPTP
index = 406
Annotated 5SS: [ 336 2266]
Annotated 3SS: [2068 2473]
SMsplice 5SS: [336]
SMsplice 3SS: [2473]
top_k =  500
Partition function (log Z): -6.091040779196982

Sorted 5' Splice Sites (High to Low Probability):
Position 336: 0.8087725309201864
Position 2266: 0.45795520856102345
Position 1197: 0.21762940611432732
Position 2673: 0.2047011492007026
Position 3060: 0.17170852259788327
Position 221: 0.09491742847322027
Position 111: 0.07849746984586443
Position 829: 0.055974493894091294
Position 3471: 0.05341853649599716
Position 3269: 0.047880478892425325
Position 2186: 0.03916509431715979
Position 1926: 0.02542758552132775
Position 3748: 0.024914752559936564
Position 1726: 0.021239239499174382
Position 62: 0.014668760579436535
Position 2293: 0.01465458129877179
Position 3120: 0.01405351853981798
Position 3162: 0.01302978449880382
Position 3752: 0.009282293020776301
Position 2859: 0.008735996270418229
Position 1686: 0.006868194053890515
Position 3196: 0.006134381513533588
Position 2598: 0.005808406534431833
Position 2222: 0.004218274114990451
Position 1844: 0.00410889057640991
Position 3246: 0.004007421530147138
Position 3133: 0.003940003700481683
Position 682: 0.0035526271041482023
Position 2163: 0.0035144921506940403
Position 2383: 0.002542940549911678
Position 516: 0.0024431022488535957
Position 2261: 0.0020738008146323084
Position 1183: 0.0015953776908158783
Position 2381: 0.0012097785799928258
Position 2474: 0.0010837552525957887
Position 1930: 0.001019392283890641
Position 3274: 0.0010154252629988808
Position 1862: 0.0008777703868946136
Position 1812: 0.0008306169338096344
Position 1898: 0.00077135782389973
Position 3379: 0.0005442043602543201
Position 364: 0.000505087201533571
Position 2625: 0.00048233036610958877
Position 1505: 0.00025301704447454397
Position 311: 0.00011229413264321566
Position 2880: 8.592275413475355e-05
Position 295: 6.946171502416319e-05
Position 23: 6.450681879167748e-05
Position 1391: 4.215349032765949e-05
Position 119: 3.60741434617438e-05
Position 2022: 3.503251230952789e-05
Position 1939: 1.8850671901686704e-05
Position 1161: 1.7868114428562646e-05
Position 274: 1.221981390130359e-05
Position 1235: 6.036688171944952e-06
Position 369: 1.6585468338228826e-06
Position 431: 1.3129097159698141e-06
Position 345: 8.340159850830434e-07
Position 306: 7.069440779182242e-07
Position 405: 6.074209010063155e-08
Position 149: 2.2502162790752433e-08
Position 448: 4.552543700913793e-09
Position 395: 3.4792073205590625e-09
Position 488: 1.2569859878964515e-09
Position 212: 5.589802350304117e-10
Position 152: 4.809675694865815e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2473: 0.5691641760701259
Position 2068: 0.42076832435760114
Position 3861: 0.3355789735078958
Position 3035: 0.27265062402586593
Position 3590: 0.17949805860122867
Position 1081: 0.1027467019481244
Position 2162: 0.08673160061833425
Position 1595: 0.07044303158398596
Position 3420: 0.0499592333452016
Position 1090: 0.04287649068858403
Position 2516: 0.03836200265618034
Position 2376: 0.033037515061401346
Position 1033: 0.02954368363980547
Position 202: 0.0276584853588436
Position 2936: 0.022197320033034863
Position 565: 0.021399869745123357
Position 2957: 0.01154356847749107
Position 455: 0.010194191572952585
Position 1142: 0.00974408797801457
Position 2897: 0.008562559032937895
Position 656: 0.007833405538885587
Position 1132: 0.007227222498400717
