Gene = GCSAML
index = 582
Annotated 5SS: [  176 19997 42163 49409 56582 58902]
Annotated 3SS: [19881 42077 49348 56531 58872 67084]
SMsplice 5SS: [  176 12350 19997 33603 40296 49409 56582 67231 67721]
SMsplice 3SS: [12116 19881 33530 40208 49348 56531 67084 67662 68258]
top_k =  500
Partition function (log Z): -31.358448365161006

Sorted 5' Splice Sites (High to Low Probability):
Position 176: 0.9628093655130096
Position 19997: 0.9058673877513007
Position 12350: 0.7982960236716433
Position 12618: 0.15330002328091913
Position 12472: 0.096132672327699
Position 5879: 0.06851632149681583
Position 12283: 0.05579703097002614
Position 12615: 0.05423299289065414
Position 10461: 0.05332709754291616
Position 16532: 0.045016743740306786
Position 21568: 0.044446204096653674
Position 225: 0.03332720416824817
Position 5872: 0.02454248549837335
Position 6250: 0.022348497997517668
Position 12309: 0.022312796358652767
Position 12570: 0.021119809943829223
Position 5079: 0.018300168372429756
Position 3632: 0.01707911849595958
Position 5094: 0.015884424032094602
Position 1760: 0.013741051797698026
Position 5903: 0.012994758170863914
Position 9300: 0.011788824753920625
Position 1547: 0.01150475152376184
Position 9625: 0.009440619821604108
Position 5497: 0.009388896286927816
Position 519: 0.0016758462943278903
Position 586: 0.0008574054984150444
Position 486: 0.0008318966153256667
Position 809: 0.00042362956736319106
Position 1571: 0.0003344577945692578
Position 2277: 0.000308033835826112
Position 6069: 0.00021931948236646415
Position 1821: 0.0001958185318726512
Position 640: 0.00016984930924528288
Position 3753: 0.00015984888610155265
Position 4848: 0.00015287642913840938
Position 5810: 0.00015275511565878607
Position 1738: 0.00013983451423176443
Position 1815: 0.00013080094039327753
Position 5303: 0.00010752593152161634
Position 3953: 0.00010394675378545523
Position 326: 9.392406424213652e-05
Position 4814: 9.317492833768461e-05
Position 3179: 9.073101641772533e-05
Position 4948: 8.057879104909836e-05
Position 871: 4.773658832176322e-05
Position 1166: 3.7319881370482544e-05
Position 2494: 3.479589426849383e-05
Position 4919: 3.16125196810052e-05
Position 180: 2.619319425335316e-05
Position 633: 1.780685702052905e-05
Position 206: 8.942281475405463e-06
Position 232: 6.236170158129937e-06
Position 1396: 5.539707330501191e-06
Position 819: 9.57746040187495e-07
Position 4027: 9.654166968893058e-08
Position 5098: 6.70477728713463e-08
Position 4594: 4.315060489509899e-08
Position 1843: 1.9920747749988587e-08
Position 162: 1.45992821061847e-08
Position 331: 1.3240947554865486e-08
Position 548: 1.2697773723275903e-08
Position 458: 1.1980499462890516e-08
Position 551: 6.9127031079271655e-09
Position 227: 6.3662458212744e-09
Position 199: 5.9784901962751525e-09
Position 644: 5.425741641471924e-09
Position 532: 3.988328809188519e-09
Position 661: 3.4937623777641527e-09
Position 229: 2.155712497372966e-09
Position 727: 1.925835752877663e-09
Position 513: 1.8633554362710905e-09
Position 821: 1.2710632673049925e-09
Position 919: 1.1196657782539257e-09
Position 23: 9.878073320706376e-10
Position 19: 9.397509498920598e-10
Position 642: 7.894937813760953e-10
Position 490: 7.059436604445754e-10
Position 680: 5.718549632003523e-10
Position 649: 3.7004128750550503e-10
Position 504: 3.4111594896030656e-10
Position 523: 3.1612365345713986e-10
Position 669: 2.0907449913315323e-10
Position 702: 9.8208894408943e-11
Position 51: 8.061185019761236e-14
Position 46: 4.494502231934653e-14
Position 283: 4.1962568494518635e-14
Position 197: 2.664639604854268e-14
Position 380: 7.532910100984936e-15
Position 358: 4.662250427031231e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 19881: 0.9757380489029657
Position 12116: 0.8684281535720231
Position 31617: 0.3367551205751644
Position 12515: 0.21936430941592416
Position 22979: 0.11493164214987298
Position 24148: 0.09619687550911761
Position 26292: 0.06996339473560285
Position 5720: 0.06130561098949811
Position 22428: 0.060114906408875644
Position 21445: 0.05701009739279449
Position 10285: 0.053343869108530485
Position 16371: 0.045016743740306786
Position 26980: 0.04102041618053041
Position 4798: 0.029430709545585357
Position 12086: 0.02786996655002536
Position 12407: 0.02707971952400462
Position 12440: 0.025665918976423646
Position 12383: 0.025376092227229072
Position 25196: 0.025114341098302424
Position 6137: 0.022670280119158573
Position 5777: 0.021424755028288597
Position 20551: 0.01952652686911913
Position 20166: 0.019244416251551582
Position 24949: 0.01824298100525723
Position 5780: 0.014792195419820485
Position 24368: 0.014555297614294901
Position 20710: 0.014494766254284154
Position 9238: 0.01181455909726056
Position 1399: 0.010341862833449029
Position 20373: 0.00942067949395643
Position 21099: 0.009193259604811897
Position 21917: 0.00907720080073287
Position 23553: 0.00900455951002336
Position 18760: 0.00830398564774769
Position 3514: 0.008173640872282867
Position 1737: 0.00749806501730865
Position 12460: 0.007416942937172458
Position 5365: 0.007203366761851109
Position 9581: 0.006239520593438265
Position 22455: 0.006211157991737719
Position 21185: 0.0054112244085667
Position 20061: 0.00521268231380315
Position 23692: 0.004680322755003959
Position 5686: 0.004606608053530096
Position 5701: 0.00455969021741801
Position 12419: 0.004556935094764792
Position 17345: 0.004192664802314127
Position 1503: 0.003906846116785908
Position 20755: 0.0035920777973726453
Position 3352: 0.0034394918105782584
Position 5004: 0.003338520016177322
Position 9523: 0.0033298211503543277
Position 5078: 0.002098382465565381
Position 3483: 0.0019744739224372607
Position 17228: 0.0015816662081132027
Position 15597: 0.0013762046227304087
