Gene = GLE1
index = 595
Annotated 5SS: [  205  4398 10940 18117 18641 19147 20724 22592 22826 28956 29252 31785
 33391 34999 35639]
Annotated 3SS: [ 4175 10828 17967 18579 18891 20491 22478 22755 28812 29060 31654 33285
 34915 35574 36401]
SMsplice 5SS: [  205  4398 10940 18117 18641 19147 20630 22592 22826 29252 31785 33391
 34999]
SMsplice 3SS: [ 4259 10828 17967 18579 18891 20491 22478 22755 29060 31654 33285 34915
 35574]
top_k =  500
Partition function (log Z): 4.520958456210691

Sorted 5' Splice Sites (High to Low Probability):
Position 205: 0.9813999801240719
Position 10940: 0.9693247540285044
Position 19147: 0.9686194803854559
Position 4398: 0.9420696765245933
Position 20630: 0.916157301468891
Position 22826: 0.9007822178188544
Position 22592: 0.8814435663816735
Position 34999: 0.8520643257518609
Position 29252: 0.8327384964222417
Position 31785: 0.7331366963058341
Position 18641: 0.5674558949848573
Position 33391: 0.5155193335464239
Position 35639: 0.5017264090952452
Position 950: 0.3369447960776073
Position 28978: 0.28138087524088884
Position 1247: 0.18253880864665498
Position 14719: 0.16916344375530093
Position 1274: 0.1590303517882264
Position 27992: 0.12075878899665253
Position 22603: 0.09502803206817931
Position 8728: 0.08877160488303214
Position 2641: 0.0877401549188768
Position 19992: 0.07416063779169864
Position 28956: 0.05958756311313768
Position 31789: 0.058592235480279316
Position 2435: 0.05650169083646032
Position 35458: 0.051582396907485284
Position 5244: 0.042155171244938436
Position 20321: 0.03849945769142599
Position 1255: 0.033750032699056555
Position 24548: 0.023867421683813835
Position 13334: 0.0237351027694818
Position 2751: 0.02035072416744794
Position 17188: 0.01925007512638637
Position 20757: 0.019195957866181668
Position 20724: 0.018251265299526524
Position 2651: 0.018033814928719135
Position 2743: 0.017961903745591628
Position 16388: 0.017446668678874126
Position 4143: 0.01652043993721307
Position 997: 0.01586638971162946
Position 28012: 0.015252514333729483
Position 28879: 0.015029382069768372
Position 504: 0.015021665741194207
Position 227: 0.012170038521989415
Position 33772: 0.009086885981246942
Position 18706: 0.008735561105032583
Position 33434: 0.008471203648305893
Position 7900: 0.007908940576981828
Position 19069: 0.007628304859886175
Position 520: 0.006978201227149749
Position 31819: 0.0067778732786923914
Position 32333: 0.0061357699622067
Position 9955: 0.005919364420844153
Position 1229: 0.00578309713473353
Position 14602: 0.005261227904214974
Position 8914: 0.004788725754855186
Position 35498: 0.0047467577947225646
Position 35114: 0.004549197079704194
Position 35034: 0.002856994425896639
Position 32040: 0.0022342616767688193
Position 9935: 0.00200308302310609
Position 35506: 0.0019820033093055044
Position 4192: 0.0019350118842350738
Position 27879: 0.0017910025919582653
Position 21895: 0.0015940428162126367
Position 21598: 0.0015662769337553548
Position 22548: 0.0012200931480193817
Position 415: 0.0009571469522973577
Position 22493: 0.000759109468765069
Position 23883: 0.0006804630404858125
Position 20439: 0.0006038690196574648
Position 164: 0.000575259419074604
Position 899: 0.0005630860101056475
Position 21465: 0.0004911295324986608
Position 633: 0.00041315867695341645
Position 22546: 0.00034229840295409283
Position 1040: 0.0003418829402432549
Position 1020: 0.00033550545268747555
Position 19658: 0.0001716453315579261
Position 65: 0.00014816160953238654
Position 22613: 0.00013646205600891139
Position 10909: 0.0001359107371358297
Position 22487: 0.00013167466643019873
Position 703: 0.00013044348517974038
Position 509: 9.349659950259626e-05
Position 22801: 8.632895074896895e-05
Position 10919: 7.8136289703505e-05
Position 854: 5.01717755262561e-05
Position 11763: 4.576468502423676e-05
Position 797: 4.319137128962715e-05
Position 335: 4.063267438628617e-05
Position 212: 3.568879563491432e-05
Position 1074: 2.5912572635488437e-05
Position 1630: 2.2224054578187594e-05
Position 531: 1.8838625053970786e-05
Position 455: 1.4268264761019579e-05
Position 738: 1.4214978566698845e-05
Position 24402: 1.3511979191496914e-05
Position 339: 9.310213749778644e-06
Position 1824: 2.7453929063094575e-06
Position 1932: 2.5281042661240696e-06
Position 119: 2.120294615316609e-06
Position 79: 1.939768462594185e-06
Position 548: 1.6156424735080633e-06
Position 590: 1.4441639882044038e-06
Position 728: 9.63782442832222e-07
Position 696: 5.317377327100533e-07
Position 654: 3.925780610122285e-07
Position 22830: 3.5000153398245476e-07
Position 22899: 3.1148260721973513e-07
Position 22949: 2.529559458285918e-07
Position 60: 2.4063898306534937e-07
Position 23051: 1.444259915800982e-07
Position 27: 1.1256413693490096e-07
Position 22904: 5.880012092255947e-08
Position 152: 5.842788836654689e-08
Position 23035: 4.535704888715951e-08
Position 29: 3.893603199588021e-08
Position 23206: 3.125621619378488e-08
Position 298: 2.8488668068815704e-08
Position 22839: 2.7084750023350088e-08
Position 271: 2.5000231111716e-08
Position 22916: 2.294724333494517e-08
Position 22587: 1.3873136343786645e-08
Position 359: 2.4895184789877073e-09
Position 337: 2.300714589782425e-09
Position 8: 1.4696691299711225e-09
Position 111: 1.1674494267752747e-09
Position 279: 1.1629085029305005e-09
Position 351: 5.367273216900489e-10
Position 648: 1.8961230132709809e-10
Position 303: 6.228713487511497e-11
Position 365: 4.904879644863703e-13
Position 387: 4.256152811804595e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 10828: 0.9695388010553437
Position 22478: 0.9651427976242933
Position 34915: 0.9528436434789398
Position 18891: 0.9368616156989847
Position 22755: 0.8564008469476931
Position 20491: 0.8447315476978831
