Gene = ANKUB1
index = 85
Annotated 5SS: [  547  2043 12585 22264 25667]
Annotated 3SS: [ 1898 12367 22148 24727 31209]
SMsplice 5SS: [  547  1612  2043 12503 22264 30224]
SMsplice 3SS: [ 1525  1926 12367 22148 30162 30863]
top_k =  500
Partition function (log Z): -11.758923895197118

Sorted 5' Splice Sites (High to Low Probability):
Position 2043: 0.9791292048606147
Position 547: 0.9725322396026499
Position 12503: 0.8273576691113133
Position 1612: 0.5665415298975396
Position 446: 0.3962795970215436
Position 22264: 0.13667050657957225
Position 924: 0.13188773205073728
Position 12923: 0.1043993151872493
Position 19418: 0.09594006074588865
Position 9737: 0.0899681723397774
Position 12479: 0.08370454806437927
Position 7335: 0.08014456626035832
Position 5667: 0.07118467581704563
Position 13161: 0.05451447790528231
Position 7752: 0.045034310082650374
Position 9372: 0.04415665582726577
Position 9320: 0.03342421297319416
Position 3531: 0.02970911898060288
Position 211: 0.027592536585266995
Position 5870: 0.02269074467909432
Position 15249: 0.019673772845584317
Position 10136: 0.016239319801110652
Position 12585: 0.011597443278832262
Position 2214: 0.010593432402874175
Position 2383: 0.010002603874840296
Position 1857: 0.008331275001707735
Position 984: 0.006885137603677426
Position 112: 0.006709836171754401
Position 5853: 0.005631314069542324
Position 4896: 0.005235306177444993
Position 64: 0.003245321793825052
Position 1650: 0.002896244005741272
Position 82: 0.002680958946972201
Position 14887: 0.0024203295747881235
Position 1082: 0.001430276069390545
Position 256: 0.0013268342566659826
Position 726: 0.0012676179866713347
Position 805: 0.0008951386706660329
Position 526: 0.000857825010794146
Position 292: 0.0006959305752713991
Position 422: 0.000623782580523751
Position 1684: 0.0005162955294869188
Position 638: 0.0004992343981248251
Position 195: 0.0004822945766766887
Position 622: 0.00047885330879425027
Position 577: 0.0004716436939354333
Position 1033: 0.0004197224035995314
Position 1601: 0.00039762729442814637
Position 134: 0.00039042565232789365
Position 263: 0.0003806532457096027
Position 1821: 0.0003568779780748986
Position 1655: 0.0003175234800025012
Position 1322: 0.0003005770831694118
Position 56: 0.0002727436446347881
Position 265: 0.0002480705768386291
Position 1852: 0.00022582542811222368
Position 86: 0.00021671653392884202
Position 378: 0.0002160131222593791
Position 41: 0.0001848704268589675
Position 181: 0.00018161095654144966
Position 1435: 0.00017904923966503123
Position 7997: 0.00010801909813848106
Position 613: 8.210856894318402e-05
Position 4285: 7.502418146573509e-05
Position 551: 6.765787026700622e-05
Position 2204: 6.761190689806016e-05
Position 3756: 6.542505948787264e-05
Position 1087: 5.732541661989757e-05
Position 2051: 5.3623524693923846e-05
Position 123: 5.11869355715277e-05
Position 4: 3.8909102957439195e-05
Position 340: 3.781992983692859e-05
Position 803: 3.75415573754178e-05
Position 189: 3.2189111609611553e-05
Position 1958: 2.468947576792022e-05
Position 10: 2.2018228301229214e-05
Position 3597: 2.0661436501597777e-05
Position 110: 1.6989799815611232e-05
Position 1943: 1.0896068141585375e-05
Position 2117: 1.0880664323986339e-05
Position 2484: 9.15547122443812e-06
Position 717: 6.882404267399108e-06
Position 368: 2.2453160184584843e-06
Position 176: 2.0746076487800663e-06
Position 284: 1.9273238944235955e-06
Position 2096: 1.734833592037031e-06
Position 436: 1.200995277786473e-06
Position 154: 1.0147876300531454e-06
Position 271: 7.8429934217278e-07
Position 269: 6.051765826050585e-07
Position 781: 5.271828236629806e-07
Position 3607: 4.826871975842622e-07
Position 2183: 4.67666325759909e-07
Position 2001: 3.172584892853027e-07
Position 2037: 3.0752738920872475e-07
Position 2017: 2.759600917577195e-07
Position 3490: 1.9060510080939223e-07
Position 3526: 1.287579942167521e-07
Position 452: 9.416601850286438e-09
Position 599: 2.638732314395582e-09
Position 1984: 8.164296859922787e-10
Position 520: 3.2206088906385706e-10
Position 1701: 3.099807638540467e-10
Position 731: 3.107584879865447e-11
Position 495: 7.779746051967569e-12
Position 502: 5.3561364362248706e-12
Position 529: 2.3379914619439446e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 12367: 0.960252194923479
Position 1926: 0.7237395977635045
Position 1525: 0.5580609592379636
Position 22148: 0.25546587665710513
Position 1898: 0.2551391038154598
Position 14843: 0.22674066791315423
Position 508: 0.22317208068521588
Position 17151: 0.17005985048735092
Position 511: 0.16621800959528318
Position 17527: 0.13741322072090306
Position 19344: 0.10228804007695562
Position 22849: 0.0882221455185887
Position 12831: 0.08242619377597109
Position 797: 0.06965158875207321
Position 5552: 0.0591764891711517
Position 22357: 0.048448361060983484
Position 7250: 0.04288276357333179
Position 13032: 0.039512607427927365
Position 9538: 0.03515398641456413
Position 7115: 0.03374665870251144
Position 9319: 0.032294949342906214
Position 9601: 0.03123136806206711
Position 13050: 0.03041429118094051
Position 14110: 0.030265459818468503
Position 7669: 0.0299950724937345
Position 5721: 0.029101289824643536
Position 819: 0.02791325962883672
Position 17954: 0.025787601037971664
Position 12852: 0.024314542329117183
Position 9493: 0.02380260443935737
Position 701: 0.02316228324953519
Position 15853: 0.02160547541277375
Position 8929: 0.019974421916053708
Position 3424: 0.01944237690063657
Position 445: 0.017329054056110797
Position 9239: 0.016563611245430706
Position 9972: 0.016343383223955635
Position 852: 0.016089584874127608
Position 7605: 0.01590199606411483
Position 2182: 0.015382800130776357
