Gene = UIMC1
index = 1530
Annotated 5SS: [   125  23940  31013  35667  36808  37854  48316  50450  54935  63074
  95098  97886  99295 100398]
Annotated 3SS: [ 23784  30927  35541  36701  37116  48253  50372  54830  62919  95018
  97713  99230 100360 100915]
SMsplice 5SS: [   125   4992  23940  31013  37854  50450  53319  63074  95098  97886
  99295 100398]
SMsplice 3SS: [  4906  23784  30927  37652  50372  53219  62919  95018  97789  99230
 100225 100915]
top_k =  500
Partition function (log Z): -30.50553373077208

Sorted 5' Splice Sites (High to Low Probability):
Position 31013: 0.9954355756896217
Position 23940: 0.9669652432119547
Position 37854: 0.9396857492670536
Position 125: 0.8578244400933117
Position 4992: 0.8486178766450676
Position 26288: 0.5397958844719778
Position 4055: 0.332477844258958
Position 9573: 0.3310147471744676
Position 32970: 0.2973833003459173
Position 27244: 0.28895283425294216
Position 41575: 0.21143934417701454
Position 41310: 0.19753425268256153
Position 35667: 0.18901830497313532
Position 7342: 0.18794361068576543
Position 28299: 0.18736901847109386
Position 16104: 0.16161121152489552
Position 13728: 0.15786555475336797
Position 41605: 0.11854169196406561
Position 37043: 0.11645572003836609
Position 41649: 0.10389416476683709
Position 1260: 0.0954844700052886
Position 30658: 0.0712033115985021
Position 35604: 0.06671970782748776
Position 119: 0.05388927258822319
Position 25032: 0.03375343872795063
Position 27091: 0.029912672113094375
Position 23874: 0.027159495099470406
Position 2901: 0.024971030986694887
Position 31513: 0.02266043371438809
Position 79: 0.020903455519998993
Position 3998: 0.020882758732109236
Position 25105: 0.019709534756250723
Position 8983: 0.019250659415381014
Position 40346: 0.014130466792742503
Position 1875: 0.013217111643109682
Position 1507: 0.0128691148931713
Position 965: 0.012461668533890372
Position 470: 0.012330511596828138
Position 3869: 0.012054144956681242
Position 42626: 0.011687264028386154
Position 72: 0.011311186439517475
Position 37860: 0.011034982960251714
Position 3107: 0.010753571780732774
Position 186: 0.0054500704874306544
Position 23893: 0.004656785921206096
Position 129: 0.003972009121155144
Position 3983: 0.00354467966868014
Position 42483: 0.002817963752680756
Position 36030: 0.0027741471953899605
Position 35689: 0.0027080674618759444
Position 40718: 0.0026031973435307523
Position 41556: 0.0023480485300796305
Position 35299: 0.0016137214695025278
Position 6631: 0.0014915406719488876
Position 24108: 0.001218474306814734
Position 32038: 0.0010417400667274196
Position 4411: 0.0010100901171710586
Position 33066: 0.0009214114155548862
Position 31194: 0.0008978979071669591
Position 38162: 0.0008532645411420374
Position 8491: 0.000756420460470142
Position 32934: 0.0006268624506201812
Position 31159: 0.00047835569012499293
Position 39608: 0.0003965879984019244
Position 31038: 0.000297144583525828
Position 961: 0.0002811622202193687
Position 951: 0.00023315846713560835
Position 107: 0.0002099436441724526
Position 1303: 0.00018209318527493117
Position 8381: 0.00017635645613409216
Position 8412: 0.00017576908393433484
Position 142: 0.00015873980580269147
Position 7600: 0.00010102403110014783
Position 1521: 9.612332964183565e-05
Position 8388: 9.084584652592977e-05
Position 1868: 8.552934645626571e-05
Position 1925: 7.116093306606779e-05
Position 656: 5.978744586064966e-05
Position 2579: 3.722706799945423e-05
Position 819: 3.681062254905649e-05
Position 2249: 3.086544105252964e-05
Position 726: 2.6553850817622252e-05
Position 3393: 2.5709644859232155e-05
