Gene = NREP
index = 961
Annotated 5SS: [   141 241695 262035]
Annotated 3SS: [241633 261956 266417]
SMsplice 5SS: [   141  35182  98605 104438 129958 146179 175333 250008 258925 262035
 262795]
SMsplice 3SS: [ 35074  98516 104212 129860 146112 175230 249957 258808 261956 262653
 266417]
top_k =  500
Partition function (log Z): -118.71161911175852

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.8593899866602194
Position 5445: 0.21229990162917195
Position 13330: 0.14831600540402093
Position 173: 0.13971247063109332
Position 13272: 0.029992435614337187
Position 6041: 0.026119239275293065
Position 687: 0.014773847438732715
Position 9390: 0.008255904699321047
Position 5421: 0.006673277543867607
Position 1662: 0.0063175536350167484
Position 4479: 0.005338457302550687
Position 1297: 0.005122494814611673
Position 7395: 0.0023342728039085037
Position 8245: 0.0019409105866879598
Position 9304: 0.0019133002650808975
Position 6735: 0.0017801760064352203
Position 10084: 0.0015987316338178972
Position 3986: 0.0015370443236104375
Position 1387: 0.0014385090271089769
Position 2293: 0.001356900958877201
Position 4797: 0.0011905360354074572
Position 2653: 0.0007718174446085347
Position 4813: 0.0007624096777234036
Position 227: 0.0006579046603304555
Position 2951: 0.0005133856907475649
Position 5045: 0.00047972034626636703
Position 3991: 0.00035913438332858415
Position 886: 0.00027202022524548864
Position 5180: 0.00026981950544280016
Position 8891: 0.00023741928394765009
Position 3948: 0.00016369898172553945
Position 847: 0.00013692783399956788
Position 4151: 0.00013129946376408164
Position 3952: 6.023498049012344e-05
Position 3579: 5.993329796123215e-05
Position 231: 3.85724929170774e-05
Position 177: 2.4922440706030662e-05
Position 939: 1.9164114913091183e-05
Position 180: 1.6356609666575417e-05
Position 235: 1.2555631855577386e-05
Position 654: 9.876634299358451e-06
Position 248: 7.935922429081238e-06
Position 1195: 5.675186508716146e-06
Position 6124: 3.9819937401555465e-06
Position 650: 3.941957223962544e-06
Position 210: 2.0013275923264786e-06
Position 3522: 1.628020063086296e-06
Position 2287: 1.5926256457701744e-06
Position 4059: 1.5740681531179357e-06
Position 1133: 1.498052129766488e-06
Position 901: 1.4079870350848797e-06
Position 2941: 1.3148252641312978e-06
Position 1113: 9.321946846380941e-07
