Gene = CIZ1
index = 373
Annotated 5SS: [  158   902  1261  3727  6043 10869 11175 12881 13221 14024 15239 21570
 22184 22538 24495 24831]
Annotated 3SS: [  726  1144  3654  5812 10774 11065 12173 13098 13825 15113 21481 22069
 22387 24424 24708 25182]
SMsplice 5SS: [  385   902  1261  6043 10869 11175 14024 15239 21570 22184 22538 24831]
SMsplice 3SS: [  726  1144  5812 10789 11065 13923 15113 21481 22069 22387 24708 25182]
top_k =  500
Partition function (log Z): 21.785640394095505

Sorted 5' Splice Sites (High to Low Probability):
Position 11175: 0.9971425012007149
Position 902: 0.992876558601433
Position 1261: 0.9602681760385954
Position 10869: 0.9589282667946128
Position 21570: 0.9505661123033221
Position 22538: 0.9159045943955274
Position 6043: 0.910247394906424
Position 14024: 0.8430896553104545
Position 15239: 0.8167143093171437
Position 24831: 0.8136260410645693
Position 22184: 0.7342238694108253
Position 12881: 0.5844432703217258
Position 8127: 0.5282822555114536
Position 1073: 0.49129288670766835
Position 21986: 0.4577722960501729
Position 385: 0.4465409400499917
Position 24495: 0.44585869860901156
Position 13221: 0.355927152337765
Position 13826: 0.3162236477838833
Position 19571: 0.26482085946766654
Position 158: 0.23477513406765427
Position 5548: 0.19439731441411162
Position 22222: 0.19159327742750384
Position 15274: 0.14286533207899987
Position 548: 0.10537535667681779
Position 24051: 0.0938061877084806
Position 369: 0.09290666098170888
Position 6050: 0.08760271354214054
Position 8614: 0.07768983678091004
Position 13486: 0.06575221758772057
Position 12346: 0.06379192747614623
Position 310: 0.05845598079482894
Position 12517: 0.0516205992931352
Position 22514: 0.03499469979859083
Position 3727: 0.0287156939013498
Position 318: 0.02737779307055924
Position 1544: 0.027296092527450445
Position 11503: 0.02646816442046346
Position 21967: 0.024522696881576888
Position 4400: 0.0188694362230425
Position 22253: 0.018403254133545436
Position 13225: 0.01664406431219488
Position 1462: 0.015013668586685543
Position 9707: 0.013909859503477527
Position 2094: 0.013885549705206722
Position 3686: 0.013476947049942498
Position 327: 0.011587707003512677
Position 2260: 0.011391792965252326
Position 8827: 0.011028579061219223
Position 22552: 0.0107671593522917
Position 11582: 0.010741464590898746
Position 265: 0.01031102232292117
Position 25333: 0.01008902856876487
Position 1099: 0.00849718719427155
Position 5698: 0.007611430828470499
Position 14453: 0.007125632100072627
