Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
top_k =  500
Partition function (log Z): -4.433999131661776

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.9973497149364461
Position 630: 0.6113621374958095
Position 870: 0.06546106971557147
Position 591: 0.03626157822076555
Position 917: 0.033634532888769976
Position 624: 0.02562161450631147
Position 967: 0.015435229084544802
Position 829: 0.011050802990794688
Position 986: 0.00390784175340791
Position 961: 0.0012396253410827639
Position 152: 0.0012261537461289518
Position 1114: 0.001131564221579092
Position 678: 0.0004958435680171198
Position 855: 0.0004202599838508381
Position 193: 0.00029193029113083063
Position 1202: 0.00020550198203066945
Position 77: 0.00019819244141319354
Position 606: 0.0001891813584809357
Position 1009: 0.00015871188979247052
Position 564: 0.00010311777051246069
Position 955: 8.452717542630728e-05
Position 921: 8.215562811179213e-05
Position 1118: 2.37613628443645e-05
Position 1062: 2.108032579382825e-05
Position 651: 4.4862078855680415e-06
Position 686: 2.3535976724562397e-06
Position 613: 2.105878137239532e-06
Position 369: 2.0494398152455844e-06
Position 338: 1.3988837647415528e-06
Position 715: 8.328930363590414e-07
Position 202: 4.805735001171925e-07
Position 233: 3.5173596735018616e-07
Position 4: 6.479123129930128e-08
Position 427: 2.9469874753613814e-08
Position 451: 2.1537857331038944e-09
Position 438: 6.640673091369183e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6487042380512476
Position 799: 0.2871073033183966
Position 491: 0.24637493604671054
Position 1167: 0.18172550728420409
Position 727: 0.13723081819311694
Position 1070: 0.07568865041689259
Position 767: 0.054980874062052515
Position 457: 0.05303684448807781
Position 816: 0.027667473902168546
Position 1106: 0.02538621233046722
Position 1295: 0.01784743220434524
Position 1012: 0.011532938718780314
Position 477: 0.010803067434258748
Position 1326: 0.005549638339758349
Position 427: 0.005187205204702655
Position 1250: 0.003719790777194573
Position 438: 0.0032743592068740558
Position 686: 0.0018584038613224294
Position 813: 0.0016202255671304887
Position 1200: 0.0014235149050965655
Position 972: 0.0006575098411161399
Position 1101: 0.0006443427975210274
Position 731: 0.0006192204495163639
Position 1347: 0.0005258856168040409
Position 1078: 0.0004352183233000554
Position 819: 0.0003410616795345233
Position 769: 0.00030879459186607534
Position 246: 0.0002647893414091385
Position 1170: 0.00023663798622281226
Position 493: 0.0001747889151312099
Position 184: 0.00011956574745219902
Position 243: 9.012552510921526e-05
Position 935: 8.907047152680462e-05
Position 938: 8.862820087708136e-05
Position 976: 8.229780001277472e-05
Position 1109: 7.651146682880898e-05
Position 528: 7.362896088299042e-05
Position 497: 6.841248390236983e-05
Position 1234: 5.813181517397185e-05
Position 1000: 5.0181707859241904e-05
Position 572: 4.9860416914465604e-05
Position 1350: 4.463012615240505e-05
Position 1072: 2.9513540866294345e-05
Position 223: 2.2238840807583374e-05
Position 824: 1.8388256879939338e-05
Position 1352: 1.3951741299600743e-05
Position 156: 1.063049820543294e-05
Position 534: 8.033110142057534e-06
Position 598: 6.940980530352814e-06
Position 499: 6.039030208653476e-06
Position 256: 5.367142478565212e-06
Position 329: 5.331385288017179e-06
Position 502: 4.332152863109603e-06
Position 558: 3.7930283376998996e-06
Position 202: 3.3067211765720325e-06
Position 537: 2.4324572541027105e-06
Position 736: 2.2302935901986465e-06
Position 357: 1.731098070656839e-06
Position 189: 1.3371250663946667e-06
Position 228: 1.2438535226895338e-06
Position 240: 9.936084563001742e-07
Position 251: 9.192546994693592e-07
Position 543: 6.718747300615298e-07
Position 522: 5.114886704274751e-07
Position 603: 3.2793286471867195e-07
Position 264: 1.8806074174141783e-07
Position 276: 1.7051800674337622e-07
Position 191: 1.6592764566471468e-07
Position 369: 1.2321106837404963e-07
Position 611: 1.1990350860420766e-07
Position 618: 8.938520204575126e-08
Position 274: 8.019511403426881e-08
Position 513: 7.104086135293301e-08
Position 507: 6.690738482498328e-08
Position 509: 6.686485346795933e-08
Position 210: 5.42732798200332e-08
Position 613: 4.779157614193692e-08
Position 233: 2.162430851697396e-08
Position 623: 1.904228317209255e-08
Position 333: 3.060488869166787e-09
Position 135: 1.2466410770973105e-09
Position 124: 5.612877018463605e-10
Position 115: 4.773253440907524e-10
Position 389: 1.589878740821451e-10
Position 91: 9.957697699582213e-11
Position 385: 2.5630849723615466e-11
Position 338: 8.755956692835167e-16
Position 382: 1.3688360613628456e-18
Position 380: 1.3103120174197582e-18
