Gene = MORN5
index = 855
Annotated 5SS: [  109  7005  9846 14717]
Annotated 3SS: [ 6856  9733 14584 39973]
SMsplice 5SS: [  109  9846 14717]
SMsplice 3SS: [ 9733 14584 39973]
top_k =  500
Partition function (log Z): -12.116015306684615

Sorted 5' Splice Sites (High to Low Probability):
Position 9846: 0.9999847748761764
Position 109: 0.9855052695202962
Position 14717: 0.7725693540837741
Position 3242: 0.45414026420566944
Position 7005: 0.4016120493126264
Position 11784: 0.2578283350877454
Position 1516: 0.19950174414711064
Position 10910: 0.1776270949761088
Position 11417: 0.16998479085712323
Position 20077: 0.15509576154950006
Position 3452: 0.13752313417898449
Position 16754: 0.1174259966794338
Position 5908: 0.10864361162127345
Position 3604: 0.07772009586674239
Position 3599: 0.0569496725392181
Position 20027: 0.0521868775405856
Position 5199: 0.03208935094797349
Position 11400: 0.031878095946447034
Position 1466: 0.03140973669539218
Position 20007: 0.030064007400825432
Position 3397: 0.02961581284845034
Position 4737: 0.02695855168840791
Position 14585: 0.02523452678483544
Position 12700: 0.02268668665845686
Position 1105: 0.020470723318130463
Position 12757: 0.020468326877696508
Position 2561: 0.019657097604193652
Position 3632: 0.01768774974633959
Position 16658: 0.01706581170814209
Position 5176: 0.014727383717362751
Position 4148: 0.01451390407003855
Position 19510: 0.011411967962243766
Position 8738: 0.010744181082898124
Position 5912: 0.010728996998878476
Position 8759: 0.010054481391474768
Position 20330: 0.009843547842607296
Position 7777: 0.007430971809141611
Position 3854: 0.007156359966604992
Position 6390: 0.006362740014553277
Position 10905: 0.004610011059044682
Position 3005: 0.004377791347873163
Position 14766: 0.0035812974398763456
Position 17053: 0.002976269840629351
Position 222: 0.0028868734486249387
Position 1847: 0.0026738121226605872
Position 2498: 0.002607084671883039
Position 2339: 0.0024860164768534232
Position 451: 0.0023638580162910275
Position 12785: 0.002331658548156226
Position 14910: 0.0022735485627183344
Position 11: 0.001876498339766334
Position 17082: 0.001768987901994258
Position 11404: 0.0014216999847256853
Position 3053: 0.0014128046809463858
Position 1475: 0.0012379849178385466
Position 1303: 0.0011295019958183358
Position 13886: 0.0010464527079124776
Position 3148: 0.0009612949173981019
Position 5981: 0.0007315587200122514
Position 4162: 0.0007251383760340638
Position 3466: 0.0006997907695539217
Position 2749: 0.0006316933951763401
Position 847: 0.0005908223977811804
Position 1392: 0.0005126044148249961
Position 1529: 0.0004966248130786493
Position 1730: 0.00037886981981428617
Position 1536: 0.0003303893392472364
Position 2187: 0.00026747285662143675
Position 1560: 0.00024610751775913024
Position 3074: 0.00020744842597025397
Position 2697: 0.00019815696786362473
Position 1823: 0.00015531729464064983
Position 1013: 0.00014423999680053385
Position 1073: 8.94832481980415e-05
Position 292: 7.217839028582961e-05
Position 3303: 6.796748353047428e-05
Position 98: 5.04133969738507e-05
Position 582: 4.702174726062133e-05
Position 294: 4.667601296974117e-05
Position 311: 4.653429438183439e-05
Position 67: 4.600038795040842e-05
Position 313: 4.47579052481082e-05
Position 1329: 4.398857956664093e-05
Position 309: 3.909886328138136e-05
Position 942: 3.8073247660751146e-05
Position 1144: 3.72495852935592e-05
Position 985: 2.5722872285626114e-05
Position 1353: 2.3883971069433274e-05
Position 406: 2.0337942762086797e-05
Position 1236: 1.8071514949326853e-05
Position 831: 1.443811920960733e-05
Position 921: 8.780159774687952e-06
Position 1307: 6.269061420992316e-06
Position 1001: 5.978657903210753e-06
Position 1267: 5.753536327037841e-06
Position 1293: 5.4504819620587106e-06
Position 1652: 1.0033444475190234e-06
Position 1904: 6.310449462155594e-07
Position 596: 5.317372999555038e-07
Position 593: 5.142646457796736e-07
Position 515: 5.104488450165933e-07
Position 2306: 3.7282222309233876e-07
Position 296: 3.5992692202471094e-07
Position 315: 3.261492794659055e-07
Position 427: 2.686067053056618e-07
Position 298: 6.118825415051699e-08
Position 535: 5.613338106307034e-08
Position 317: 3.0381456012272024e-08
Position 151: 1.973143686245056e-08
Position 3: 1.1308051596026055e-08
Position 385: 7.301726819993993e-09
Position 193: 8.265780899263167e-10
Position 397: 6.082128704572244e-10
Position 362: 1.7128668383093435e-10
Position 614: 1.0698262840649882e-10
Position 330: 1.3571340367670931e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 9733: 0.9968434146804386
Position 14584: 0.7697537721632771
Position 19909: 0.706273144799826
Position 6856: 0.3993152540518029
Position 3004: 0.39757401471692616
Position 24843: 0.358259028664025
Position 3349: 0.21392228946152503
Position 1465: 0.17850030407653106
Position 16619: 0.15290994054112353
Position 5806: 0.11684046657226883
Position 3387: 0.10174134421899385
Position 11273: 0.10132723412018495
Position 11276: 0.09607140640495086
Position 11480: 0.0892528759708046
Position 11598: 0.06593882305129434
Position 17990: 0.05992295543891021
Position 10627: 0.05012507236221883
Position 23688: 0.0500687551210866
Position 10754: 0.04756782997958346
Position 1203: 0.046551311170053206
Position 11558: 0.04598095783396815
Position 3196: 0.045648782514636554
Position 10715: 0.042692038638962045
Position 14277: 0.03732293651186671
Position 5034: 0.033505281484995424
Position 11521: 0.027719041603636176
Position 10672: 0.026992518849099905
Position 11631: 0.021836696075967575
Position 20254: 0.021809066921753946
Position 4523: 0.021548609698141718
Position 12645: 0.021119776402475
Position 8597: 0.0207986624743729
Position 2458: 0.01613042168651322
Position 3995: 0.015239042446072612
Position 10788: 0.014065843195799298
Position 22263: 0.013155353271344615
Position 12699: 0.012972739577621023
Position 12560: 0.011726024088060272
Position 5069: 0.011713884879203775
Position 19442: 0.011411967962243766
Position 724: 0.007762006093812396
Position 890: 0.007619860412613702
Position 11649: 0.007472183136574745
Position 7658: 0.007430971809141621
Position 3147: 0.006490693734354046
Position 19774: 0.005720240355590328
Position 2852: 0.0056446199722267765
Position 3528: 0.005417479897123042
Position 4686: 0.005409941990266205
Position 11385: 0.004164536113135752
Position 6264: 0.0039052399511232704
Position 20749: 0.003344687620608136
Position 5761: 0.0032637007678953146
Position 9638: 0.003154760161330678
Position 2427: 0.002823852043368566
Position 14294: 0.002609639447609704
Position 3504: 0.002539373983863278
Position 13811: 0.002498422999803251
Position 6201: 0.002457500063430007
Position 3193: 0.0023729952123830137
Position 6958: 0.0022187473467401284
Position 1362: 0.0020062770534103507
Position 2875: 0.0019109008839580538
Position 3651: 0.0017893640086644983
Position 1443: 0.0016347337146165974
Position 2369: 0.0016231207940022928
Position 5119: 0.001545204958383641
Position 11944: 0.0015159695831716727
Position 20276: 0.0014670090351945031
Position 1774: 0.0014569224462495241
Position 2163: 0.0013605834745448598
Position 17413: 0.0012012965258450946
Position 2126: 0.0010618004132598015
Position 866: 0.0009927036085693533
Position 11147: 0.0009257517329383765
Position 2467: 0.0008174309024675423
Position 1487: 0.0008140809629002719
Position 18761: 0.0007636056858347318
Position 3215: 0.0007470164005614503
Position 3490: 0.0007354193059737685
Position 11222: 0.0007077856867110316
Position 1447: 0.0006741333853251523
Position 2970: 0.000670430930697603
Position 2674: 0.0006453818230163654
Position 10893: 0.0006276421934178353
Position 2485: 0.0005692812791521938
Position 1712: 0.0005335531861506313
Position 15575: 0.0005191302404699811
Position 11257: 0.0005137472863676667
Position 798: 0.0005008356390714696
Position 3799: 0.00048388673493303744
Position 330: 0.00047801335463905354
Position 342: 0.0004702530596470103
Position 15852: 0.00035206241023937794
Position 2424: 0.00033449105039239573
Position 2245: 0.0003297834514219419
Position 1045: 0.0003058164270426488
Position 1249: 0.00028190773490517314
Position 3465: 0.00026091870890757344
Position 11903: 0.0002411438315324522
Position 3654: 0.00023334280593592955
Position 1560: 0.0002097284757991103
Position 1318: 0.00019968476432934953
Position 784: 0.00019102755597773374
Position 822: 0.0001729979756992717
Position 10579: 0.0001657686882993356
Position 1944: 0.00015017485967224833
Position 917: 0.00013476395872054245
Position 892: 0.00013183271573779788
Position 2560: 0.0001310082239847774
Position 1303: 0.0001285654639714269
Position 10690: 0.00012096699061354366
Position 3232: 0.00011780757985997565
Position 1368: 0.00011289678127459402
Position 10904: 0.00010757363477283906
Position 367: 0.00010353101737364562
Position 1336: 9.026325499289443e-05
Position 1644: 8.905780676043359e-05
Position 1049: 8.531198537272523e-05
Position 1470: 8.237677999839759e-05
Position 1179: 5.3627809455033336e-05
Position 5037: 5.2363342753400945e-05
Position 6802: 5.033753678625084e-05
Position 2649: 4.632324732676681e-05
Position 1724: 4.573378889843658e-05
Position 3365: 4.495228248420183e-05
Position 1512: 4.34700806835401e-05
Position 942: 4.3129590974246224e-05
Position 1592: 4.2916118916168146e-05
Position 12068: 3.669536070594183e-05
Position 6734: 2.7710377297395435e-05
Position 444: 1.8364665789593164e-05
Position 1515: 1.5332613651119697e-05
Position 397: 1.1275121494551773e-05
Position 235: 1.1071304508435946e-05
Position 529: 8.545545902656474e-06
Position 1007: 7.98471680501581e-06
Position 1100: 7.868264862351447e-06
Position 11191: 7.738059882005492e-06
Position 972: 7.35069727465693e-06
Position 10575: 6.4867073563894065e-06
Position 834: 4.316060378114699e-06
Position 199: 2.390776360744849e-06
Position 1076: 2.1975442128251867e-06
Position 990: 1.6740543358202983e-06
Position 385: 1.6329050841332102e-06
Position 760: 1.4489342654087126e-06
Position 477: 9.528162694617068e-07
Position 1183: 8.880727071188972e-07
Position 831: 7.506842198353775e-07
Position 349: 7.004418277829757e-07
Position 1217: 6.386697554145031e-07
Position 959: 6.199117546300959e-07
Position 254: 5.979449539914211e-07
Position 729: 4.4001453248127333e-07
Position 1001: 3.6301073107237475e-07
Position 482: 2.8855643597941437e-07
Position 1993: 2.3568847154417812e-07
Position 251: 1.562950019331034e-07
Position 1747: 6.671455380570637e-08
Position 755: 6.340165710720265e-08
Position 1085: 6.280261171060241e-08
Position 1233: 5.221132034688238e-08
Position 1073: 4.8582701106704585e-08
Position 1272: 3.1301545379828673e-08
Position 1255: 1.870803460870759e-08
Position 2342: 1.7764584323886973e-08
Position 427: 8.684857244178418e-09
Position 148: 6.1815945898495254e-09
Position 1495: 2.493848234930326e-09
Position 1729: 1.2922605340889555e-09
