Gene = SNAP47
index = 1287
Annotated 5SS: [  504 13238 24490 32088]
Annotated 3SS: [12695 23998 31962 45530]
SMsplice 5SS: [  333  7975  8863 24490 32088 35537 43643]
SMsplice 3SS: [ 7884  8732 24247 31962 35420 43520 45530]
top_k =  500
Partition function (log Z): -19.556587464684704

Sorted 5' Splice Sites (High to Low Probability):
Position 8863: 0.8025401357536003
Position 333: 0.5220893240715639
Position 9045: 0.5111714371161634
Position 504: 0.47241185891693643
Position 14310: 0.34755511724271776
Position 7975: 0.3384837983725878
Position 11466: 0.327754097201055
Position 13238: 0.308716688263277
Position 8001: 0.2762693810719999
Position 22302: 0.24154403514338355
Position 12845: 0.21206158926257274
Position 14185: 0.1969857500242605
Position 3809: 0.14884235429508555
Position 11264: 0.12662196957668886
Position 7982: 0.11381658421359267
Position 9416: 0.09395011701032506
Position 9353: 0.056488753101984465
Position 15090: 0.05063516685208846
Position 8126: 0.04555429613385461
Position 24490: 0.043698596259296875
Position 9111: 0.04355728476496138
Position 11594: 0.035166962168106275
Position 4307: 0.03393780304930496
Position 2770: 0.029207028100972438
Position 14341: 0.025296367613477366
Position 632: 0.0188579568270366
Position 12876: 0.016310641280723646
Position 6727: 0.016307513574882526
Position 5302: 0.015224738666987949
Position 7382: 0.014799184698531745
Position 4000: 0.014689065271756641
Position 14511: 0.014550982983169432
Position 11252: 0.014089008002618978
Position 2745: 0.013957548036787401
Position 122: 0.008699733774724348
Position 9027: 0.0086073661022755
Position 7486: 0.007937494642869577
Position 17451: 0.007486495670077561
Position 791: 0.006938894452539374
Position 7942: 0.006878647193295575
Position 872: 0.006568067773337001
Position 17: 0.006399042826906667
Position 13473: 0.005866875074071895
Position 1492: 0.005509912271149836
Position 9158: 0.005367602185967994
Position 6609: 0.005057705435987652
Position 11435: 0.004987002407494876
Position 735: 0.003555160827846337
Position 8787: 0.0032544774568313115
Position 11934: 0.0030835444124094153
Position 14248: 0.0029399131849655556
Position 12096: 0.002821834960904995
Position 7700: 0.002500450164002746
Position 9115: 0.0024202110241979546
Position 8872: 0.002144775387400562
Position 2712: 0.0016785728667467116
Position 5688: 0.001534968090549374
Position 4923: 0.001513180686820389
Position 7465: 0.001343970015643284
Position 14231: 0.0009012258680040283
Position 3887: 0.0008239451985519489
Position 10331: 0.0007369205786912267
Position 21: 0.0007299071469386123
Position 9098: 0.0006900832932421598
Position 10460: 0.0006418042908443729
Position 695: 0.0004228737117376705
Position 917: 0.0003420871451588912
Position 1448: 0.0002947892425721205
Position 1047: 0.00027412041743236085
Position 1290: 0.00023153836515345906
Position 32: 0.00021920314431787393
Position 155: 0.00016659909620956014
Position 1919: 0.00013730555202790562
Position 292: 0.00012008910261060809
Position 1804: 0.00010820705584290292
Position 2165: 0.00010188027508413447
Position 2776: 9.193435304480439e-05
Position 2273: 6.932515504377966e-05
Position 1892: 5.04330790618644e-05
Position 264: 4.207232927663088e-05
Position 242: 3.1310724602092436e-05
Position 248: 2.8328869961216415e-05
Position 93: 2.399360769001032e-05
Position 272: 1.6716716748090147e-05
Position 1260: 9.204613610307044e-06
Position 149: 8.550245311275318e-06
Position 520: 3.680555608412187e-06
Position 962: 3.524609380570728e-06
Position 625: 2.9506678279127596e-06
Position 811: 2.8229902647795115e-06
Position 937: 2.7062431800081395e-06
Position 1307: 2.4533279674264186e-06
Position 41: 2.271143382632123e-06
Position 772: 2.223967447050536e-06
Position 1150: 2.1168427119999222e-06
Position 1173: 1.9139835844590694e-06
Position 472: 1.9113811900065533e-06
Position 1072: 1.7073054232571148e-06
Position 35: 1.5827398875890106e-07
Position 1129: 6.507464095516584e-08
Position 60: 3.264989455792806e-08
Position 514: 2.0076046420322907e-08
Position 373: 1.9385843385883576e-08
Position 433: 1.3680963235944424e-08
Position 25: 8.533973257868332e-09
Position 516: 5.617239101300821e-09
Position 555: 3.29023442103832e-09
Position 571: 2.977292294849932e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 23998: 0.8250231873803574
Position 8732: 0.8080413039021729
Position 7884: 0.7224621268838775
Position 14082: 0.5242504348286502
Position 11359: 0.36871716300304735
Position 12937: 0.30525737293751404
Position 22161: 0.27343517550422974
Position 8947: 0.251372104468476
Position 8984: 0.2474686920336636
Position 12695: 0.2383618994651273
Position 3702: 0.14538391465222578
Position 11193: 0.1407109775793079
Position 9198: 0.12483875943318921
Position 8931: 0.07314895499149585
Position 25794: 0.07250709652380682
Position 24247: 0.060089038219075436
Position 14854: 0.0587195373316028
Position 14061: 0.05694430532064518
Position 7911: 0.05266060229989205
Position 447: 0.039298822542480426
Position 14368: 0.03204285085524826
Position 4209: 0.03147811646146108
Position 6529: 0.011948516605842471
Position 7283: 0.011671896050356727
Position 2595: 0.011200668369507248
Position 2508: 0.010081099364685318
Position 6532: 0.009416702405027707
Position 3759: 0.009111293902065932
Position 2658: 0.008648390642563546
Position 9326: 0.008413977500219503
Position 2562: 0.00797652489825038
Position 5149: 0.007625697672484802
Position 18750: 0.007533274983229796
Position 17303: 0.007486495670077561
Position 11828: 0.006768230854216549
Position 7259: 0.006356892566929701
Position 8916: 0.006060158904294271
Position 7193: 0.006051860739758178
Position 13345: 0.0058668750740719046
Position 8953: 0.005168380864286497
Position 9167: 0.004918390575419745
Position 5157: 0.004912048726379044
Position 3670: 0.004570491771018538
Position 388: 0.003816641087204611
Position 7861: 0.003811579312912196
Position 281: 0.002811694596082019
Position 2677: 0.0026006005067158704
Position 7645: 0.002500450164002752
Position 1447: 0.002380356440049424
Position 5077: 0.002286365639460302
Position 8052: 0.0021555399520078993
Position 1338: 0.00200025020653463
Position 503: 0.00196385714984571
Position 2616: 0.0019360943979291564
Position 3986: 0.0018523827559273677
Position 21014: 0.0016277865444816943
Position 8628: 0.0015508446757509628
Position 5460: 0.001534968090549372
Position 2449: 0.0013578100267398285
Position 9276: 0.0012823206140600346
Position 3452: 0.0012778730219871785
Position 10330: 0.0010744833766615038
Position 2405: 0.0009732683190182195
Position 3952: 0.0008814179653929296
Position 4024: 0.0008563230517732945
Position 4081: 0.0007287653214207596
Position 3808: 0.00071001779433985
Position 3557: 0.0007019901811924345
Position 4849: 0.0005885838045167993
Position 10220: 0.0004969894861033635
Position 4752: 0.0004967124865710318
Position 3971: 0.0004954461171336091
Position 1335: 0.00046728966363405214
Position 8919: 0.00044008272560223363
Position 1202: 0.00043836932159273094
Position 4793: 0.00042936918458711304
Position 14535: 0.0004208177587105781
Position 5051: 0.00039914183980925544
Position 3673: 0.0002640550215746202
Position 10242: 0.00023993109258786303
Position 232: 0.00022884298496676127
Position 710: 0.00020954428374309018
Position 1712: 0.0001861890550658148
Position 358: 0.00016420408354795793
Position 2369: 0.00015345792524761457
Position 324: 0.00013897967807685873
Position 10790: 0.0001365992241011394
Position 2128: 0.00011305694091019487
Position 8996: 9.362825170666496e-05
Position 2005: 5.9338752009512475e-05
Position 185: 4.240081681495953e-05
Position 1548: 4.193627172349218e-05
Position 1544: 4.1718502720923615e-05
Position 1718: 2.2401557354276824e-05
Position 782: 1.999860917939541e-05
Position 9629: 1.2943362680084014e-05
Position 1414: 8.375032526961746e-06
Position 594: 8.126537605609545e-06
Position 571: 7.319845654747077e-06
Position 2326: 7.1689068941495165e-06
Position 1789: 5.17326458461954e-06
Position 2096: 4.534197329216172e-06
Position 179: 3.910491629071442e-06
Position 1803: 3.6988010582165366e-06
Position 9172: 3.3108285594582284e-06
Position 1256: 2.886304158826728e-06
Position 745: 2.7758710425581098e-06
Position 1310: 2.7586420619082253e-06
Position 86: 2.554604728728167e-06
Position 158: 1.985843139509941e-06
Position 201: 1.8928517944706962e-06
Position 2922: 1.6087929060753991e-06
