Gene = SNX8
index = 1294
Annotated 5SS: [  137 36365 39353 42615 44906 50167 51235 56730 57100 57591]
Annotated 3SS: [36158 39234 42492 44824 50005 51101 56660 56949 57440 59294]
SMsplice 5SS: [  137  4275 36365 39353 42615 44606 44906 50167 51235 56730 57100 57591
 60874]
SMsplice 3SS: [ 4193 36271 39234 42492 44510 44824 50076 51101 56660 56949 57440 60728
 61003]
top_k =  500
Partition function (log Z): -31.264995245556193

Sorted 5' Splice Sites (High to Low Probability):
Position 137: 0.9981048934624092
Position 4275: 0.6138397975988109
Position 4412: 0.10085768914873113
Position 7617: 0.0917345690819825
Position 2848: 0.05131977702061284
Position 4266: 0.045767019595671095
Position 2061: 0.038090085504074854
Position 9848: 0.01574923602822803
Position 747: 0.014936152224710798
Position 2488: 0.012505798754467428
Position 4660: 0.011162515194766463
Position 8711: 0.006383951185031624
Position 10810: 0.005903694904511869
Position 3823: 0.004711904020082627
Position 3522: 0.004112226221848026
Position 3892: 0.004050623272053149
Position 3159: 0.0040209652092657745
Position 7524: 0.0038979296648580563
Position 6737: 0.0029566712925171035
Position 2016: 0.0028950870849469815
Position 7529: 0.0023929131534318263
Position 4533: 0.0023215680241129907
Position 2292: 0.0019335551799793136
Position 856: 0.0012148557263979697
Position 3305: 0.001176406016295095
Position 1666: 0.0008684477962299575
Position 3103: 0.0008405070293332011
Position 4354: 0.00016254229152230657
Position 155: 5.982571821209461e-05
Position 286: 2.974880579024099e-05
Position 1774: 2.1180718170529838e-05
Position 1762: 1.5196674340828393e-05
Position 1333: 1.4583517317815627e-05
Position 2296: 1.3393299854752651e-05
Position 1662: 1.2563288853494805e-05
Position 1365: 1.2316121747737932e-05
Position 1678: 1.1893626067456737e-05
Position 1788: 1.1597654461763913e-05
Position 3249: 9.69398410802659e-06
Position 476: 7.1093658609315316e-06
Position 1157: 6.5459747594295864e-06
Position 1201: 5.159651623662674e-06
Position 1855: 4.305226242874887e-06
Position 392: 2.938041759807032e-06
Position 586: 2.5904264139353927e-06
Position 2141: 2.396205746644183e-06
Position 605: 1.8234910061888439e-06
Position 453: 1.5065132696198717e-06
Position 582: 1.4559984663689837e-06
Position 4466: 1.3967978767003798e-06
Position 257: 8.480644315111177e-07
Position 132: 8.166337581684202e-07
Position 501: 2.3518382712667484e-07
Position 2815: 2.1002830404841566e-07
Position 144: 1.9201593739485587e-07
Position 2509: 1.2967109544671422e-07
Position 2500: 1.0926031052765174e-07
Position 25: 1.0924878330762655e-07
Position 3134: 1.0757037953156657e-07
Position 224: 7.210894371918944e-08
Position 321: 6.536723877520787e-08
Position 5: 6.416418211206516e-08
Position 594: 6.016911605732154e-08
Position 355: 1.2829617820400061e-08
Position 20: 1.1157745229559294e-08
Position 235: 8.902109205445379e-09
Position 589: 8.732473167669295e-09
Position 687: 5.942605156615291e-09
Position 591: 4.745209731787044e-09
Position 275: 4.596848321713581e-09
Position 82: 2.0625792409547174e-09
Position 662: 1.0705799825648567e-09
Position 713: 3.745816885289923e-10
Position 847: 2.2386171022321873e-10
Position 737: 1.8654612810685282e-10
Position 885: 8.43326750308955e-11
Position 799: 5.297485623644374e-11
Position 310: 1.4651897218159934e-13
Position 345: 2.959459176723985e-14
Position 327: 2.5588677239606475e-15
Position 386: 1.4138292814125986e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 4193: 0.47125713553235893
Position 4224: 0.25205174552550746
Position 10541: 0.1779447891959241
Position 14472: 0.13820160928844655
Position 17540: 0.10119284906046092
Position 13378: 0.0708196186933803
Position 10300: 0.06275901735499202
Position 18360: 0.057427237661349204
Position 7419: 0.050898953997838295
Position 7567: 0.05067204395123454
Position 9267: 0.04852467117619917
Position 10904: 0.0437098195235659
Position 8550: 0.03543621320274258
Position 1942: 0.03404062976770249
Position 11626: 0.026313677851100704
Position 7494: 0.021813448057626517
Position 11506: 0.02163572805466046
Position 4404: 0.021060720262215952
Position 5805: 0.017070409406133503
Position 9251: 0.016552716139360706
Position 9761: 0.016369605615116054
Position 3216: 0.015489353239925268
Position 2692: 0.014442406164913997
Position 4760: 0.014213322835476798
Position 687: 0.013895828453552594
Position 2408: 0.013105757532414239
Position 14945: 0.01241548807438085
Position 11859: 0.011078260874485251
Position 4211: 0.011023636309121052
Position 3696: 0.009834840343035996
Position 2814: 0.00939007258440734
Position 4009: 0.008546422358136537
Position 8010: 0.007658128629705134
Position 9310: 0.006902842816946051
Position 4642: 0.0068409169968899385
Position 2695: 0.006307774377328588
Position 1978: 0.005945975540443454
Position 4100: 0.005826361730852883
Position 9674: 0.005615332285971591
Position 4254: 0.00542521899864691
Position 2975: 0.005113146087664504
Position 2772: 0.005027421194449689
Position 2530: 0.004588678911433372
Position 11819: 0.004572029885580339
Position 4377: 0.004304120548372377
Position 4735: 0.0041815514648017565
Position 11663: 0.004174131723151672
