Gene = SLC35B4
index = 1267
Annotated 5SS: [  377  7686 10380 12247 15023 15291 16900 17529 20661]
Annotated 3SS: [ 7571 10276 12196 14940 15229 16789 17452 20584 21971]
SMsplice 5SS: [  377 10380 12427 15023 16900 17529]
SMsplice 3SS: [10276 12376 14940 16789 17452 25874]
top_k =  500
Partition function (log Z): 2.2313061376093417

Sorted 5' Splice Sites (High to Low Probability):
Position 10380: 0.9913848983944354
Position 17529: 0.9773044035105417
Position 16900: 0.9489626846859133
Position 12427: 0.8882040118243406
Position 15023: 0.8682329745910126
Position 377: 0.8058598778432108
Position 7686: 0.4312975431159531
Position 4518: 0.4105262182585369
Position 18049: 0.29820388918719654
Position 20784: 0.24606041587022245
Position 21972: 0.2235667097440462
Position 12247: 0.22354042915319378
Position 20855: 0.15954668711746015
Position 1818: 0.1498944254106211
Position 22231: 0.12913329592408443
Position 9978: 0.09465415453009901
Position 2013: 0.09150419881786442
Position 26: 0.0785134822021905
Position 20661: 0.07316561638369123
Position 3310: 0.06424875172918254
Position 17055: 0.06299969762437065
Position 196: 0.05748185200774636
Position 6976: 0.055378931235243296
Position 6115: 0.04573212523118996
Position 248: 0.042281044950519944
Position 8076: 0.03671541222854336
Position 4485: 0.03320307784040732
Position 11400: 0.027913121720986582
Position 20702: 0.02761911863173692
Position 9182: 0.026576617940316842
Position 10836: 0.02621354183270336
Position 15020: 0.01934843639782442
Position 22273: 0.018283075856929384
Position 25132: 0.018196200937887784
Position 17290: 0.017138379137028103
Position 17367: 0.016378092075166495
Position 174: 0.014936701269376936
Position 2317: 0.013789436036211267
Position 1801: 0.011455144969727554
Position 3798: 0.009914725727700567
Position 25452: 0.009375033501249169
Position 10472: 0.00853345123536514
Position 10965: 0.007777374475765118
Position 15487: 0.007397313605188889
Position 7691: 0.0071714226204401986
Position 14206: 0.007031567101485214
Position 17981: 0.006893278458861373
Position 6691: 0.006062639514811043
Position 19308: 0.0060162988924228515
Position 32: 0.005728678062923379
Position 9100: 0.005409641258284752
Position 16790: 0.0052562268069713085
Position 16637: 0.005153695172530484
Position 3314: 0.004976216369992591
Position 242: 0.004197878403182572
Position 1796: 0.004045273683500784
Position 22057: 0.004019766407342598
Position 4532: 0.003957894574446382
Position 2774: 0.003945953688270601
Position 713: 0.0034917674441300017
Position 346: 0.0031073193710177273
Position 7916: 0.003052911299169112
Position 16926: 0.0027544220179435944
Position 20859: 0.0027330703502342108
Position 12273: 0.002316794997295312
Position 6714: 0.0023090120142789244
Position 16993: 0.0020800212669102557
Position 1524: 0.0020347829440101
Position 5246: 0.0018023468444602238
Position 318: 0.0017776374235854782
Position 2807: 0.0016932741985323304
Position 13524: 0.0015544861060384652
Position 20851: 0.0014845519561301976
Position 11550: 0.001465260124966198
Position 18261: 0.0013822586093380608
Position 4504: 0.0013115408650549933
Position 130: 0.0012917683867284002
Position 19972: 0.0012426221785061952
Position 12738: 0.001194748743787427
