Gene = SSU72
index = 1344
Annotated 5SS: [  392 10097 30007 31001]
Annotated 3SS: [ 9952 29866 30881 32701]
SMsplice 5SS: [  263 10097 10536 12136 30007 31001]
SMsplice 3SS: [ 9952 10453 12003 29866 30881 32701]
top_k =  500
Partition function (log Z): -6.510608304298646

Sorted 5' Splice Sites (High to Low Probability):
Position 263: 0.8320872785466134
Position 10097: 0.8017438901982763
Position 10536: 0.5897762723246205
Position 12136: 0.5469065044091717
Position 10520: 0.30629460863739827
Position 22813: 0.15877976627573298
Position 392: 0.1260641912038601
Position 13538: 0.12289703987189383
Position 15590: 0.12166879539798602
Position 16585: 0.12154144980874976
Position 13289: 0.11268632761710531
Position 10265: 0.09406564493785946
Position 10299: 0.09234922395386692
Position 11952: 0.06651664077623078
Position 32789: 0.06266767251902759
Position 9307: 0.06242605171570791
Position 13261: 0.05182456311549697
Position 15637: 0.05172169976339748
Position 13231: 0.04915913625747769
Position 10801: 0.036331083957214086
Position 6860: 0.03606355161443526
Position 7240: 0.0273317125562452
Position 5438: 0.02512834021921815
Position 10064: 0.02301981706513488
Position 10383: 0.022190093159527573
Position 974: 0.019887187267959343
Position 4912: 0.019460355237237437
Position 5559: 0.01920367062654616
Position 7552: 0.0181666603625378
Position 268: 0.016691391294500094
Position 22801: 0.01585652390726806
Position 4701: 0.015228972709080742
Position 10317: 0.0132834998115805
Position 9426: 0.012995696297285402
Position 9406: 0.012548396511517084
Position 9472: 0.010300626251444903
Position 1324: 0.009086906758507209
Position 14145: 0.009075217816853927
Position 3350: 0.006605186748718783
Position 12012: 0.00636833273424627
Position 5622: 0.00626285651163479
Position 1073: 0.006230826486877223
Position 5627: 0.006063387899192452
Position 7704: 0.005203247882752901
Position 10525: 0.004969990452994523
Position 13370: 0.00469244015178519
Position 7827: 0.004460968596849611
Position 10149: 0.0043996638051070494
Position 566: 0.0038432594083756618
Position 1867: 0.0034590676260562716
Position 149: 0.0034063125675548637
Position 888: 0.003177786436689122
Position 12911: 0.00317299599494793
Position 7593: 0.002678608408883112
Position 6965: 0.0018616731397024318
Position 3265: 0.0017625287248777
Position 10634: 0.0016023970934375784
Position 13554: 0.0015019793988238837
Position 1372: 0.0012311636711265887
Position 709: 0.0011939407467667492
Position 7223: 0.0011382754978088573
Position 657: 0.001125241853815872
Position 11790: 0.0010671421245808134
Position 588: 0.0008451681991798112
Position 700: 0.0008402636013142269
Position 4423: 0.0008260699100365796
Position 510: 0.000783209822618411
Position 10290: 0.000771941669527637
Position 1370: 0.0007605225386434068
Position 772: 0.000716206191791769
Position 1092: 0.0006946246199188894
Position 1709: 0.0006632893640449324
Position 3339: 0.0006446501162255431
Position 11946: 0.0006306273032025578
Position 5588: 0.0005791198851836189
Position 4090: 0.0005752751043313271
Position 10712: 0.0005692502615938272
Position 10472: 0.0005510445865477137
Position 5605: 0.0005399253559503979
Position 11598: 0.0005380352807495188
Position 10476: 0.00045541859983644383
Position 12767: 0.0004170018298125084
Position 10032: 0.00038220396830540636
Position 11658: 0.0003819302592915217
