Gene = GSTK1
index = 626
Annotated 5SS: [ 143  725 1234 1650 1854 4291 4742]
Annotated 3SS: [ 642 1104 1548 1817 4173 4647 5344]
SMsplice 5SS: [ 143  725 1650 1854 4291 4742]
SMsplice 3SS: [ 642 1548 1817 4173 4647 5344]
top_k =  500
Partition function (log Z): 3.9872399099320175

Sorted 5' Splice Sites (High to Low Probability):
Position 1650: 0.9981824626764694
Position 1854: 0.934855154651625
Position 143: 0.9058152316089388
Position 725: 0.8269822524797851
Position 4742: 0.6722786662106471
Position 4291: 0.38098033276968585
Position 4746: 0.20478370159413622
Position 4243: 0.1849325314717189
Position 1234: 0.1310380701573913
Position 4058: 0.08795189571298194
Position 4307: 0.06879594963192556
Position 1918: 0.05421524770617319
Position 943: 0.052272262000942635
Position 3659: 0.047909309299550173
Position 2352: 0.023487583429838404
Position 199: 0.022012269147866022
Position 1436: 0.0215581315244821
Position 738: 0.02116396155099096
Position 530: 0.019228651041987184
Position 1259: 0.011749567780093244
Position 3770: 0.01116163263056132
Position 224: 0.010415685664899739
Position 289: 0.009523597950230485
Position 181: 0.008929456098041523
Position 2105: 0.006175256862941409
Position 495: 0.00589169732283137
Position 4774: 0.0050535031052137205
Position 2109: 0.004894649141009255
Position 4054: 0.004764358940055235
Position 684: 0.0037853448726906315
Position 492: 0.0035678620245475842
Position 654: 0.0034974296588380113
Position 4190: 0.0034133327915973743
Position 2047: 0.003324179856954554
Position 4583: 0.0022027508001828773
Position 4569: 0.002047625285841634
Position 366: 0.0017752988856446516
Position 1120: 0.0016298676687873054
Position 1955: 0.0015744988364430371
Position 750: 0.0014264720383875132
Position 231: 0.0013665829123004813
Position 255: 0.001196491397007069
Position 1043: 0.0010599996938939918
Position 110: 0.0010060318729298485
Position 3178: 0.0008396488189620012
Position 5501: 0.000816349474036089
Position 864: 0.0007468353975117253
Position 4481: 0.0007093647421583911
Position 1382: 0.0006994370447827559
Position 1934: 0.000645702980504241
Position 5177: 0.0006401614040163705
Position 535: 0.0006098562807203905
Position 786: 0.0005666426528303638
Position 158: 0.0005149607445705627
Position 537: 0.00045205886332632815
Position 937: 0.00037460312517567824
Position 3859: 0.0003707690744563445
Position 722: 0.00035591045523380586
Position 2327: 0.0003428352085573003
Position 2912: 0.0002667289090868804
Position 1066: 0.0002664437514416098
Position 1643: 0.0002157215500970297
Position 1333: 0.0002061475642354475
Position 172: 0.00015092434360835982
Position 1243: 0.00014905813950913654
Position 1214: 0.00014850413162929195
Position 1037: 0.0001434104187416127
Position 4809: 0.0001325750245964241
Position 2936: 0.00012669296831413935
Position 1656: 0.00012248081605674007
Position 356: 0.00011657316739968691
Position 3763: 0.00011530885570249317
Position 1250: 0.00010488553079648531
Position 1420: 9.920343748692439e-05
Position 2291: 9.493717726275019e-05
Position 21: 7.265502576125133e-05
Position 1218: 5.7627082182061594e-05
Position 1654: 4.377857361890722e-05
Position 861: 2.563251126017629e-05
Position 830: 1.7707463545456334e-05
Position 92: 1.683781186171169e-05
Position 170: 1.6185329288340605e-05
Position 115: 1.5853456500439875e-05
Position 504: 1.4385440119788383e-05
Position 442: 1.2634258821295287e-05
Position 369: 1.0500328065795888e-05
Position 297: 3.151066848465449e-06
Position 317: 3.130191333686885e-06
Position 1638: 2.1390961224872456e-06
Position 1904: 1.9663393852331663e-06
Position 1725: 1.0776694517800328e-06
Position 1552: 5.549166756398452e-07
Position 2344: 4.14337972555254e-07
