Gene = ATP6V1A
index = 114
Annotated 5SS: [   95 31817 34160 37420 37815 39365 41857 42822 47976 48186 48921 51428
 56659 58507]
Annotated 3SS: [31721 34030 37204 37676 39212 41693 42712 47852 48070 48856 51223 56563
 58334 62315]
SMsplice 5SS: [   95   861 31817 37420 39365 42822 47976 48186 51428 52151 56659]
SMsplice 3SS: [  724 31721 37258 39212 42712 47852 48070 51223 52032 56563 62315]
top_k =  500
Partition function (log Z): -31.22337521635218

Sorted 5' Splice Sites (High to Low Probability):
Position 861: 0.9107509446684859
Position 95: 0.8042783267914433
Position 9633: 0.3621678505337166
Position 5072: 0.15211697067953503
Position 526: 0.11263117653717471
Position 109: 0.09662062174566197
Position 812: 0.029640725134352022
Position 65: 0.02178425082176547
Position 320: 0.019313661235602856
Position 61: 0.01138637757093714
Position 2713: 0.006307855264764924
Position 946: 0.005755063972353807
Position 1645: 0.004398103565676087
Position 1957: 0.004238547070249978
Position 650: 0.003843887142593452
Position 4336: 0.0011544463173362891
Position 493: 0.0007553905717283129
Position 1366: 0.0006328819589469141
Position 123: 0.0005905969517900916
Position 368: 0.0004454634279655663
Position 2525: 0.00033304778647071575
Position 397: 0.0002576248065468251
Position 655: 0.00023594527669375395
Position 828: 0.00023195139552273662
Position 448: 0.00022409100833916846
Position 264: 0.00018939344004470672
Position 1071: 0.00013720341958983157
Position 415: 0.00011935537978927212
Position 324: 0.00010573393125588549
Position 313: 0.00010437715731252822
Position 1467: 8.047640557602987e-05
Position 600: 7.96378827646776e-05
Position 611: 7.878147755738237e-05
Position 1942: 5.807365266714179e-05
Position 690: 5.155206531031244e-05
Position 865: 3.265453887946396e-05
Position 269: 3.112731905225712e-05
Position 40: 2.8060681497226333e-05
Position 581: 2.7083525699681152e-05
Position 120: 1.4917692812473587e-05
Position 54: 1.2534617560238842e-05
Position 1204: 1.1950159899445722e-05
Position 519: 1.175149737684234e-05
Position 1220: 7.959351088853813e-06
Position 173: 7.562621640572447e-06
Position 171: 7.179429285295143e-06
Position 138: 5.2331382045601116e-06
Position 849: 4.258327990926119e-06
Position 70: 3.8848815514588966e-07
Position 338: 1.674672615264607e-07
Position 763: 1.2724500619195058e-07
Position 902: 9.249661209415584e-08
Position 297: 6.706058580177926e-08
Position 404: 6.078033949840764e-08
Position 266: 4.726251480760417e-08
Position 661: 2.985735826369858e-08
Position 765: 2.2505417307667894e-09
Position 956: 1.930338570683197e-09
Position 870: 7.720714979017176e-10
Position 37: 6.985088314533516e-10
Position 14: 3.693096837280011e-10
Position 212: 4.625864069355453e-11
Position 378: 7.937599907198712e-12
Position 272: 3.874764128836241e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 724: 0.9178094625488986
Position 9512: 0.33884500493239894
Position 14111: 0.282841083656022
Position 20097: 0.2756439082749158
Position 4976: 0.1577037186735175
Position 13274: 0.07648891916793553
Position 16661: 0.06670318408517618
Position 12627: 0.06287113278022972
Position 759: 0.04287367935683257
Position 470: 0.03865237382779322
Position 12630: 0.03179245286234535
Position 10012: 0.019475943241854553
Position 9420: 0.01833447059629093
Position 7188: 0.014805288451845292
Position 9315: 0.013433443481783951
Position 2424: 0.012273761897950644
Position 3814: 0.009942453212342942
Position 311: 0.009674480738738491
Position 2786: 0.00965610565069581
Position 1145: 0.00858567655278763
Position 7644: 0.007291287540425523
Position 1882: 0.006384538268127419
Position 644: 0.006366738706636188
Position 350: 0.005612230122298186
Position 1466: 0.00551778014810819
Position 447: 0.005129131085802378
Position 2597: 0.004967910511575586
Position 430: 0.004673907989788017
Position 7865: 0.004548810276025746
Position 2635: 0.004509057951714375
Position 1765: 0.004297541318139137
Position 10781: 0.004262368129713984
Position 6432: 0.003934986222765
Position 9020: 0.0033754588214938855
Position 10036: 0.003338130236340539
Position 5580: 0.0032956386548527003
Position 1108: 0.003194582596425595
Position 6771: 0.002982364176502051
Position 1453: 0.0028991870827105633
Position 4862: 0.0028383143134141056
Position 1898: 0.0028003975285866675
Position 197: 0.002632662592939066
Position 5708: 0.002384632444957514
Position 7854: 0.0023827217465960835
Position 3771: 0.0021502174537312525
Position 1440: 0.0021400467942808837
Position 573: 0.0019140566391273569
Position 264: 0.0018484343304456924
Position 3817: 0.001761338579744559
Position 3212: 0.0016286716208961936
Position 5609: 0.0014788606574485641
Position 395: 0.001471985570655016
Position 294: 0.0014176106553097177
Position 5269: 0.0014009070843926514
Position 1365: 0.0013510741968406003
Position 2927: 0.001336156188422248
Position 1203: 0.0013066374563322474
Position 4217: 0.0013018081605897928
Position 2522: 0.0012549930154875494
Position 2686: 0.00110356196113216
Position 8074: 0.0010726207141702469
Position 945: 0.00104496382093339
Position 2470: 0.0010160021443562882
Position 8145: 0.0009463658834317584
Position 6967: 0.0007975339732839998
Position 3656: 0.0007390528594296405
Position 3392: 0.0007176211606711855
Position 1282: 0.0007079845013533969
Position 726: 0.0006918052269695189
Position 7984: 0.0006570379165321515
Position 3162: 0.0006412791920616416
Position 230: 0.0006353105589536771
Position 6701: 0.0006221346916229966
Position 611: 0.0005877079618809714
Position 728: 0.0004569276668951028
Position 6104: 0.00035927441454236677
Position 2242: 0.00032628628636174667
Position 4767: 0.0003249624069262614
Position 4480: 0.00032465710956201875
Position 1723: 0.00028171901984331296
Position 374: 0.000277719697754655
Position 5636: 0.0002703325724256638
Position 407: 0.00026665849819759263
Position 2481: 0.0002631330059981601
Position 3998: 0.0002620149083228226
Position 1080: 0.0002550117368619232
Position 475: 0.00024206648797616082
Position 5914: 0.0002400628495249656
Position 3789: 0.00022682403383147756
Position 1689: 0.0002140996683016458
Position 4180: 0.00019798176225313752
Position 4405: 0.00018891150199586677
Position 1177: 0.00016517208050830724
Position 4567: 0.00016075751299685117
Position 1589: 0.0001567321486773037
Position 2120: 0.00015326639250201957
Position 4065: 0.00014004967213132754
Position 3194: 0.00012480636103414785
Position 2947: 0.00012059177815549647
Position 1839: 0.00011010763131745821
Position 3778: 0.00010678737885749572
Position 4042: 0.00010369096180463129
Position 1961: 9.811574384361663e-05
Position 949: 9.806545084624746e-05
Position 1479: 9.699418528258138e-05
Position 1686: 9.029542557958802e-05
Position 371: 8.863941880148522e-05
Position 534: 8.469794378780152e-05
Position 1159: 8.185664477857833e-05
Position 2875: 6.91018863181475e-05
Position 2457: 6.819629127969948e-05
Position 1299: 6.656692276456976e-05
Position 1934: 6.599086408293155e-05
Position 2692: 6.357035398001474e-05
Position 2169: 5.8972988320394e-05
Position 404: 3.6971580019986083e-05
Position 233: 1.91735805663743e-05
Position 762: 1.879153806870288e-05
Position 685: 1.6856690998847645e-05
Position 352: 1.3940800214332443e-05
