Gene = TCEANC2
index = 1384
Annotated 5SS: [  158   924 15297 35190]
Annotated 3SS: [  779 15154 34995 42683]
SMsplice 5SS: [  158   924 15297 25683 35190 42768 48927]
SMsplice 3SS: [  779 15154 25572 34995 42683 48822 50555]
top_k =  500
Partition function (log Z): -24.450912933872143

Sorted 5' Splice Sites (High to Low Probability):
Position 924: 0.9927978931069327
Position 158: 0.7375712347351382
Position 15297: 0.703452577626174
Position 13392: 0.41003123247873463
Position 14921: 0.30798906037648455
Position 14830: 0.20567229296901807
Position 395: 0.14358647637451
Position 11535: 0.09996133902936048
Position 269: 0.09355140669509594
Position 18338: 0.0682153617423176
Position 13730: 0.06513373975553453
Position 18061: 0.0513040224543191
Position 10584: 0.046619151273667364
Position 2032: 0.042921950790135166
Position 18354: 0.03895345281299536
Position 13892: 0.03482183796897549
Position 8142: 0.030259493033221077
Position 15415: 0.027895312155961843
Position 8978: 0.02124885196802558
Position 15092: 0.015856080390088026
Position 18342: 0.01573442008001679
Position 19116: 0.015546119481768247
Position 8193: 0.015109705509046136
Position 2074: 0.010736133015919445
Position 400: 0.009304451889583171
Position 2199: 0.008671159100956864
Position 7365: 0.007071517687897501
Position 6172: 0.006896195254749788
Position 265: 0.005561150729519042
Position 319: 0.004677353217001289
Position 8625: 0.0044002282240405395
Position 10070: 0.00407121902295606
Position 6168: 0.0036309585716124532
Position 169: 0.002410440340800034
Position 345: 0.0017865601613484732
Position 891: 0.001520684662859769
Position 109: 0.0012100107883151162
Position 162: 0.0011232392549518138
Position 185: 0.0007852581024072408
Position 432: 0.0006105807473452154
Position 2638: 0.0005594047548687444
Position 351: 0.000546816024898448
Position 2868: 0.0004832547057543039
Position 974: 0.0004570152546319823
Position 274: 0.000325625977119685
Position 480: 0.00031015803198454066
Position 293: 0.0002964256463759931
Position 1159: 0.00027005036072476487
Position 2224: 0.00024515801660573034
Position 1703: 0.00023078104173298772
Position 355: 0.0001962679866887015
Position 63: 0.00019267582260615334
Position 6493: 0.00016739028482318233
Position 207: 0.00014214578085277647
Position 6480: 0.00011559055200571227
Position 230: 0.0001149348421385361
Position 802: 0.00010424145014792678
Position 7786: 0.00010185425089984515
Position 986: 9.187401154524475e-05
