Gene = NDOR1
index = 922
Annotated 5SS: [  243   640  6930  8209  8399  8744  9022  9349  9533  9852 10136 10348
 10519]
Annotated 3SS: [  561  6831  8109  8296  8533  8899  9127  9424  9736  9988 10228 10423
 10601]
SMsplice 5SS: [  640  8209  8775  9022  9349  9533  9852 10136 10348 10519]
SMsplice 3SS: [ 8109  8699  8876  9127  9449  9736  9988 10228 10423 10601]
top_k =  500
Partition function (log Z): 13.075555356284125

Sorted 5' Splice Sites (High to Low Probability):
Position 9022: 0.9843170018647449
Position 9349: 0.9731447660187158
Position 8209: 0.949437108497321
Position 640: 0.9180888707315561
Position 9533: 0.9036920584889708
Position 10519: 0.8745203785943662
Position 9852: 0.8209625166361819
Position 8775: 0.8194017025159499
Position 10348: 0.8079824522058773
Position 6930: 0.48897893353328653
Position 10136: 0.4472294436534288
Position 8399: 0.30112976377741985
Position 7959: 0.22730958993951927
Position 1979: 0.21984342843447827
Position 4696: 0.1987480374834707
Position 243: 0.15826034249703194
Position 7541: 0.15519116945386074
Position 4038: 0.13951774490282223
Position 2155: 0.12937101225360895
Position 9662: 0.12787724339718146
Position 8780: 0.0677150130460836
Position 7545: 0.06734294808113185
Position 8744: 0.06299143325535038
Position 7532: 0.054698488932045014
Position 9690: 0.05422745243531976
Position 775: 0.054107817747000825
Position 377: 0.04654593753471634
Position 10692: 0.0361252281842783
Position 8601: 0.02770047778778395
Position 4047: 0.024348216264544767
Position 9627: 0.01718663784574137
Position 9870: 0.01669204610013261
Position 8970: 0.012161515897165428
Position 216: 0.012061159601346107
Position 1727: 0.009016100883808666
Position 10012: 0.008497952752575332
Position 9601: 0.008366692658468703
Position 10352: 0.007878922548135596
Position 562: 0.006848158151347838
Position 10497: 0.0065202392057549284
Position 4034: 0.005396774962740826
Position 4209: 0.004536587329050433
Position 437: 0.004474855112898685
Position 1205: 0.00423643460401916
Position 10066: 0.0037731804712956133
Position 7255: 0.0026839590190747597
Position 1291: 0.0023954585098484196
Position 6458: 0.0021850665088092407
Position 414: 0.00196842667387691
Position 9279: 0.0019107218768176966
Position 7522: 0.0019057775760253552
Position 10737: 0.0018852671109044648
Position 181: 0.0018742088621789867
Position 478: 0.0016006649778159145
Position 1834: 0.0015245344465690252
Position 240: 0.0015236162263396053
Position 9545: 0.0015195567598904466
Position 533: 0.001494995961409536
Position 540: 0.001446269153097604
Position 345: 0.0013480987911115053
Position 167: 0.0013302950506408554
Position 9666: 0.001292507403772808
Position 542: 0.0012181112159118377
Position 6986: 0.0012099123260395697
Position 11082: 0.0011149686725503572
Position 6182: 0.0008086985381085324
Position 9284: 0.00079059372719546
Position 1647: 0.0007046075533826916
Position 714: 0.0007040850849341817
Position 165: 0.0006595796953099466
Position 2344: 0.0005630630376892189
Position 2007: 0.000513143975298949
Position 544: 0.00045910649380732585
Position 3575: 0.00044693597156081794
Position 129: 0.000417161350541735
Position 1696: 0.000372991080525823
Position 8787: 0.0002881725868996615
Position 1733: 0.00023167700093313574
Position 391: 0.00022865280549273152
Position 9548: 0.00019752396462324815
Position 995: 0.000193398632786365
Position 1671: 0.00018132557557171619
Position 586: 0.00017414615262894233
Position 719: 0.00017332758647596315
Position 1229: 0.00016869667207270985
Position 8798: 0.00016506564219877457
Position 396: 0.00014024647272741525
Position 8911: 0.0001390367228824297
Position 517: 0.00013293475857883904
Position 771: 0.00012546233870059466
Position 468: 0.00012375191557238732
Position 493: 0.00010164044189470183
Position 36: 8.622266053122596e-05
Position 10084: 8.290065157516438e-05
Position 498: 8.144543344277427e-05
Position 1113: 7.630140614710663e-05
Position 10858: 7.03470509400515e-05
Position 8960: 5.775718810256343e-05
Position 305: 5.239053504838798e-05
