Gene = SSC4D
index = 1338
Annotated 5SS: [  282  5389  8688  9410 10976 12178 14443 15866 16291 17732]
Annotated 3SS: [ 5189  8651  9103 10897 11862 14364 15790 15978 17653 19319]
SMsplice 5SS: [  282  6621 10976 12178 14443 15866 16291 17732]
SMsplice 3SS: [ 6489 10897 11996 14364 15737 15978 17653 19319]
top_k =  500
Partition function (log Z): 9.26654095867072

Sorted 5' Splice Sites (High to Low Probability):
Position 15866: 0.9952101506302655
Position 282: 0.9876132670020322
Position 6621: 0.9360403783605544
Position 17732: 0.8594735325528249
Position 12178: 0.7176478246810806
Position 16291: 0.692772211700539
Position 10976: 0.6754657687182701
Position 9410: 0.6291006519988641
Position 14443: 0.5023334515295218
Position 8733: 0.45360659931190433
Position 66: 0.3370227310942057
Position 10980: 0.29548256453328087
Position 1486: 0.2842241021196605
Position 14473: 0.2454633407620764
Position 8688: 0.24442308641148328
Position 5389: 0.2005939479267334
Position 12215: 0.18971518980651605
Position 17949: 0.18180677890276203
Position 16309: 0.16489627699649523
Position 5318: 0.11530736204512074
Position 14479: 0.08695117403148532
Position 11883: 0.0867364943228155
Position 14657: 0.07793033147018906
Position 14484: 0.06899487903348933
Position 13512: 0.06355753532099451
Position 702: 0.05026055886218456
Position 19387: 0.04932809732491551
Position 5586: 0.04229033684130658
Position 4265: 0.04176445018871473
Position 9641: 0.03987102139492255
Position 14575: 0.03872368494647131
Position 14760: 0.03522760315348398
Position 16009: 0.03465897489576115
Position 7703: 0.031326106056824746
Position 17911: 0.025613220743681667
Position 11580: 0.024160515096251212
Position 4283: 0.023964362503195523
Position 8554: 0.02262044219762592
Position 11863: 0.02233981901581022
Position 18364: 0.017414295426672114
Position 11752: 0.0170199450611098
Position 14579: 0.016752230940476034
Position 9214: 0.01632283218393713
Position 16514: 0.016114327331307868
Position 14488: 0.011484250846674333
Position 9498: 0.010538849283087601
Position 13255: 0.010072043538498091
Position 999: 0.00901914401173669
Position 12386: 0.008794337899074729
Position 1368: 0.008201793451465642
Position 8881: 0.008119942044503434
Position 11874: 0.00715055064567888
Position 7870: 0.00610576305121798
Position 16556: 0.005972927300867785
Position 11804: 0.005247284549260631
Position 10452: 0.004985846959043395
Position 16188: 0.004680122241515756
Position 15996: 0.004409687363379068
Position 11985: 0.0043751050392429516
Position 12537: 0.004367159716782719
Position 755: 0.004046183781023589
Position 12130: 0.00350539488204239
Position 11526: 0.003431071554405734
Position 11662: 0.0032577743409974128
Position 14644: 0.002602344895957727
Position 16061: 0.002538564450258902
Position 22: 0.0023203660822852467
Position 6877: 0.0023128473468032843
Position 17756: 0.002298368629204815
Position 17407: 0.002283756045901014
Position 16032: 0.0022575913074804254
Position 604: 0.0017409944376182644
Position 17736: 0.0015338346545410288
Position 1870: 0.0015133564033563524
Position 321: 0.0013614339156899737
Position 8989: 0.0013527242367497281
Position 15905: 0.0011866034984490167
Position 17462: 0.0011494076243157075
Position 3179: 0.001006226392635412
Position 11590: 0.0010060411186790514
Position 10991: 0.000890312104641216
Position 4751: 0.0007411852520561853
Position 4086: 0.0007097074578009907
Position 840: 0.0006278784342943742
Position 11315: 0.000592365963098788
Position 15876: 0.0004503720453893922
Position 15884: 0.0003483565798368688
Position 11192: 0.0003259188097196044
Position 580: 0.0002299727148555841
Position 12572: 0.00021609128644962993
Position 11160: 0.00018635103334722824
Position 523: 0.0001843561302299748
Position 1113: 0.00016700816537920353
Position 11432: 8.530739794731043e-05
Position 3136: 7.592938185613124e-05
Position 220: 6.587390901843805e-05
Position 337: 2.719825001578334e-05
Position 761: 1.908294581283582e-05
Position 315: 1.8782803666088082e-05
Position 740: 1.8715841262076405e-05
Position 317: 1.616712095583475e-05
Position 10874: 1.5037315415103861e-05
Position 11946: 7.510476280031677e-06
Position 634: 3.849630055641734e-06
Position 309: 3.7780938386919727e-06
Position 415: 3.5239759727295314e-06
Position 313: 3.3412254921776165e-06
Position 339: 3.2368433099568727e-06
Position 341: 2.949905063093983e-06
