Gene = MBLAC1
index = 819
Annotated 5SS: [371]
Annotated 3SS: [673]
SMsplice 5SS: [371]
SMsplice 3SS: [673]
top_k =  500
Partition function (log Z): -9.761763951007095

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.4474455007124152
Position 440: 0.1893918487744664
Position 62: 0.17599141785369618
Position 343: 0.13648561414332666
Position 281: 0.027844075855482812
Position 224: 0.02166198499967325
Position 500: 0.005656204334299654
Position 57: 0.003406640227879022
Position 45: 0.0012921512214290796
Position 545: 0.0006186687611837209
Position 799: 0.0006146024052705488
Position 502: 0.00040581395145960326
Position 1150: 0.0004049445997852365
Position 765: 0.00040470970968953463
Position 425: 0.00034272993787910424
Position 741: 0.00026942295614575796
Position 719: 0.00025575582496764707
Position 444: 0.00016242534221425645
Position 538: 0.000139882318930125
Position 616: 9.916820267332042e-05
Position 511: 5.6289751936361615e-05
Position 1224: 4.705919575014585e-05
Position 840: 4.090471549069994e-05
Position 768: 3.811078666830016e-05
Position 945: 2.4511692354820044e-05
Position 813: 2.201239846151829e-05
Position 162: 1.8233737122327993e-05
Position 570: 1.5580240177591536e-05
Position 762: 9.895080513412416e-06
Position 153: 1.0730043072825344e-07
Position 143: 5.471099261251636e-09
Position 642: 8.102104901355263e-10
Position 597: 7.671564576709173e-11
Position 317: 1.62019330533645e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 673: 0.729280943070356
Position 691: 0.08839733575259318
Position 779: 0.08607403376560313
Position 851: 0.05801480692775862
Position 143: 0.008859810805686381
Position 871: 0.008385975220772416
Position 1083: 0.006868494004903551
Position 697: 0.006015440790910211
Position 1217: 0.0029885509680489114
Position 184: 0.002642418205711915
Position 1335: 0.0026201436139114604
Position 1417: 0.002419597634557518
Position 694: 0.001465557656032797
Position 1187: 0.0013216690383094612
Position 1533: 0.0012030701945890555
Position 1001: 0.0009738932459663166
Position 1313: 0.0007660068400162192
Position 229: 0.0007378069329006323
Position 244: 0.0006941074629809892
Position 1125: 0.0004142181037923847
Position 1740: 0.00039358157986764544
Position 343: 0.0003670944230123469
Position 1340: 0.00022504844738681728
Position 1506: 0.00021207941381188458
Position 1567: 0.0002113418506121127
Position 713: 0.0002011991724305295
Position 297: 0.0001881323843983055
Position 1610: 0.00014067709962008111
Position 1607: 0.00012306606423837535
Position 1538: 0.0001061618717338796
Position 1160: 0.0001050329174392701
Position 1694: 7.936382439214527e-05
Position 1410: 7.640753189740594e-05
Position 1029: 6.994871571935587e-05
Position 1663: 5.972800814857244e-05
Position 170: 5.2782238593807414e-05
Position 153: 4.6708254209632864e-05
Position 175: 3.468000538975133e-05
Position 1442: 3.415019527197734e-05
Position 150: 2.9736980489078052e-05
Position 535: 2.819835192140645e-05
Position 347: 2.4106062102478754e-05
Position 118: 2.1098671077029507e-05
Position 576: 2.0150393868767318e-05
Position 194: 1.8668465368260544e-05
Position 795: 1.6934418444454028e-05
Position 906: 1.58396372112948e-05
Position 436: 1.4067510713870997e-05
Position 1017: 1.2511427831177001e-05
Position 187: 1.1817442973137033e-05
Position 1228: 1.132121976095419e-05
Position 920: 9.574272129061115e-06
Position 1615: 8.373817117052465e-06
Position 1598: 8.08924955027726e-06
Position 199: 8.01848013620464e-06
Position 637: 7.63230011364822e-06
Position 409: 7.171354028051921e-06
Position 203: 6.693037794763657e-06
Position 299: 6.37290163770347e-06
Position 207: 1.932598074869217e-06
Position 361: 1.5219941038071708e-06
Position 397: 1.2899920150470365e-06
Position 374: 1.155639224913263e-06
Position 352: 9.571864433308288e-07
Position 376: 6.129061358773787e-07
Position 370: 4.850887923194868e-07
Position 358: 3.436241957347527e-07
Position 414: 2.2146962529698187e-07
Position 385: 1.7847765489210405e-07
Position 423: 6.457122750988609e-08
Position 363: 3.6326981126820243e-08
Position 483: 3.3287640576261036e-08
