Gene = ISG15
index = 719
Annotated 5SS: [154]
Annotated 3SS: [560]
SMsplice 5SS: [154]
SMsplice 3SS: [560]
top_k =  500
Partition function (log Z): -6.587789739026224

Sorted 5' Splice Sites (High to Low Probability):
Position 154: 0.9067982447726752
Position 347: 0.18390084614730484
Position 172: 0.05495729442930127
Position 182: 0.013148833584112214
Position 274: 0.007570568056308179
Position 473: 0.004403840117217464
Position 320: 0.004009535109963831
Position 849: 0.003112622909053887
Position 299: 0.0023169903093929255
Position 371: 0.002117461911215368
Position 390: 0.0018534266567653852
Position 709: 0.0015835825220957918
Position 813: 0.001183841878668388
Position 227: 0.0004478024230011036
Position 606: 0.0002565454286421392
Position 888: 0.00018069451400510436
Position 27: 0.00016123195802588035
Position 439: 0.00015401811838252241
Position 511: 0.00010916366657529108
Position 107: 0.00010051142244249585
Position 281: 8.832110644103826e-05
Position 56: 5.289464319954889e-05
Position 207: 2.4849883048087335e-05
Position 29: 2.5702714926448306e-06
Position 626: 1.913723928054124e-06
Position 119: 1.0195646425094054e-06
Position 576: 9.824454728729478e-07
Position 504: 2.124339253538929e-07
Position 238: 6.052506926458126e-08
Position 31: 4.186713757034792e-08
Position 422: 4.0289537559251995e-08
Position 283: 1.0299943179674251e-08
Position 124: 4.639979042537143e-09
Position 506: 1.567205722607403e-09
Position 165: 5.745809454241249e-10
Position 191: 1.0545788323206748e-10
Position 413: 1.263721718852291e-13
Position 497: 8.218750365008831e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 560: 0.8391361499693384
Position 221: 0.20608236951599732
Position 605: 0.07590275255137931
Position 478: 0.017975261130261096
Position 636: 0.009893251421867996
Position 534: 0.007122905214876512
Position 226: 0.006476264794660897
Position 619: 0.005042239593675381
Position 938: 0.002374192107958904
Position 235: 0.002259579687877888
Position 884: 0.00204710298234265
Position 581: 0.0017900830510395862
Position 763: 0.0016198987847850378
Position 722: 0.0011652164209076583
Position 683: 0.00104269454398083
Position 243: 0.0009949439028255204
Position 298: 0.0009340067321408739
Position 493: 0.0007816631678457586
Position 1035: 0.0006047676106524706
Position 1079: 0.0005102863215261258
Position 838: 0.00044624254285172154
Position 742: 0.00043574895718515575
Position 746: 0.00037582582434854075
Position 390: 0.00033627828692911027
Position 944: 0.0003025806470880006
Position 706: 0.0002914406964855245
Position 346: 0.0002769539079889434
Position 318: 0.00027327972940382165
Position 442: 0.0002374602734226894
Position 686: 0.00019818972013713946
Position 911: 0.00018087540209704277
Position 835: 0.00017974844296657225
Position 959: 0.00015138596656282885
Position 404: 0.00013681691777917506
Position 827: 0.00013461744302423987
Position 881: 0.00011584837612019631
Position 644: 9.084410985658245e-05
Position 863: 8.660709673568669e-05
Position 378: 8.184772690521906e-05
Position 330: 6.721438626761884e-05
Position 295: 6.274520099974764e-05
Position 497: 5.7963286437718454e-05
Position 481: 4.1381154100069e-05
Position 444: 2.777341680644713e-05
Position 1068: 2.3820093599860673e-05
Position 1056: 2.284952283608228e-05
Position 616: 2.0854398060145847e-05
Position 727: 2.070325482113954e-05
Position 134: 2.066738949076539e-05
Position 805: 1.9454552007105712e-05
Position 817: 1.7937239675539203e-05
Position 1100: 1.3896360276182118e-05
Position 273: 8.271980912624675e-06
Position 352: 6.2069885062117875e-06
Position 343: 5.388805262532406e-06
Position 397: 3.5306153751747294e-06
Position 112: 3.279175319645289e-06
Position 249: 1.8971508021897998e-06
Position 262: 1.8672544793712506e-06
Position 247: 1.3883738216552676e-06
Position 107: 6.222734689817213e-07
Position 310: 6.190211043260313e-07
Position 650: 2.4635823740392084e-07
Position 449: 2.1517961760916035e-07
Position 281: 1.9821138196539278e-07
Position 264: 1.4087524558599757e-07
Position 141: 1.3447156848866017e-07
Position 197: 1.2821582979888167e-07
Position 638: 1.1660055794541849e-07
Position 89: 1.0389103033259747e-07
Position 662: 8.380037934996578e-08
Position 659: 5.481500966839722e-08
Position 332: 1.6997171397617038e-09
Position 254: 1.1058694176319731e-09
Position 171: 8.006725391061332e-10
Position 148: 3.83040597890046e-10
