Gene = LCE1E
index = 767
Annotated 5SS: [150]
Annotated 3SS: [1063]
SMsplice 5SS: [150]
SMsplice 3SS: [1063]
top_k =  500
Partition function (log Z): -9.08530443519989

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.5504031939165864
Position 94: 0.1735502647211307
Position 633: 0.16707941982040847
Position 715: 0.11166844728500973
Position 531: 0.07163495814063776
Position 194: 0.02134206583484754
Position 608: 0.005495261571378977
Position 163: 0.003984383269912794
Position 61: 0.0028840956057813905
Position 528: 0.0017881922721187415
Position 903: 0.0016190841573409517
Position 975: 0.0013423958941470324
Position 946: 0.000995754937458223
Position 443: 0.0008530716962438053
Position 471: 0.0007892297016390341
Position 991: 0.0007112002266889722
Position 1130: 0.0004621612040413251
Position 577: 0.00045282917551733783
Position 1142: 0.0003429304239277203
Position 1154: 0.0003390091242934629
Position 688: 0.00027286177020809696
Position 257: 0.00025643595131635675
Position 1020: 0.00023313384401156868
Position 672: 0.00019633985521796753
Position 222: 0.00015303579675793544
Position 1303: 0.00012403793295233568
Position 955: 0.00010232154927511581
Position 1035: 9.461169395659638e-05
Position 783: 6.170428662028415e-05
Position 98: 6.002458455973124e-05
Position 836: 4.8404046225273446e-05
Position 1337: 3.863210231299679e-05
Position 850: 3.361424550381965e-05
Position 650: 2.9715763408071732e-05
Position 1005: 2.8212126572909374e-05
Position 262: 8.18942457983478e-06
Position 85: 3.7245670443178523e-06
Position 229: 5.948746701401193e-07
Position 160: 5.440961224070823e-07
Position 76: 5.331768059649551e-07
Position 705: 2.708304753956277e-07
Position 367: 1.9261788711127863e-07
Position 100: 6.427841651749531e-08
Position 718: 5.851937272906932e-08
Position 669: 1.909501120009928e-08
Position 270: 1.5675518161386957e-08
Position 863: 1.3883273170426199e-08
Position 858: 9.780841299785705e-09
Position 361: 2.4964660489709457e-09
Position 612: 6.806330341662405e-10
Position 454: 6.315026797822772e-11
Position 637: 4.595547456672872e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1063: 0.7244601653369751
Position 781: 0.07747491736589615
Position 889: 0.06966089092064916
Position 470: 0.0561969443913803
Position 1219: 0.040807659232308266
Position 375: 0.0348968357964517
Position 260: 0.018329274775728
Position 322: 0.016381871579927657
Position 518: 0.013799485019161025
Position 869: 0.009794660147281933
Position 739: 0.007956322381738549
Position 1375: 0.006219756111728118
Position 886: 0.005066734637689453
Position 1034: 0.004963483102464936
Position 633: 0.003293092100525704
Position 379: 0.0030819243662838654
Position 1291: 0.0029315235684639574
Position 329: 0.0023467953823970364
Position 1351: 0.0021697091631656326
Position 840: 0.0021501856938205394
Position 1100: 0.0020981222515330323
Position 1336: 0.0016903319792306182
Position 589: 0.0016198545496145592
Position 1485: 0.0014488303956611496
Position 1327: 0.001428446860362073
Position 1249: 0.0011244992599066226
Position 479: 0.0010375006518658204
Position 1181: 0.0008626228202857399
Position 1203: 0.0008590679106011108
Position 1097: 0.0008571555589911592
Position 527: 0.0006312910987076877
Position 597: 0.0006018663527182005
Position 1193: 0.0004104152175838758
Position 1225: 0.00027454534499635403
Position 637: 0.0002519902308229719
Position 1071: 0.00024395083468863496
Position 279: 0.00022654394538087466
Position 686: 0.000202561266336362
Position 1358: 0.00020128566947702327
Position 296: 0.0001621081924791082
Position 672: 0.00015563123222709713
Position 1396: 0.00015529617138855485
Position 1379: 0.00014455570851262995
Position 301: 0.0001417976503869808
Position 1261: 0.0001168592747324946
Position 1273: 8.851142347713237e-05
Position 1130: 8.260215546381018e-05
Position 270: 8.095960719483268e-05
Position 209: 6.00280630766635e-05
Position 1386: 4.6707458295767674e-05
Position 381: 3.659293216295464e-05
Position 556: 2.961711315900427e-05
Position 1154: 2.575326761470701e-05
Position 1414: 2.2627963735421885e-05
Position 661: 1.952453818721845e-05
Position 333: 1.69801553869361e-05
Position 524: 1.6744234548107652e-05
Position 496: 1.2253780555436122e-05
Position 650: 8.543189497263443e-06
Position 397: 4.6001316817722444e-06
Position 405: 7.930460176971846e-07
Position 562: 7.717628831658183e-07
Position 337: 5.449334630553357e-07
Position 535: 3.5912383702378897e-07
Position 705: 3.0512705477871226e-07
Position 267: 2.9884867688769934e-07
Position 189: 1.535968542436259e-07
Position 213: 1.4482306134433349e-07
Position 407: 1.0841176117767322e-07
Position 387: 1.0384438489771816e-07
Position 570: 7.826261591246112e-08
Position 567: 6.811955600692561e-08
Position 303: 6.620199221910308e-08
Position 646: 3.734175105259495e-08
Position 170: 2.7420610610307064e-08
Position 132: 1.2564990546618241e-10
Position 144: 7.378363129555621e-11
Position 186: 4.119062270885401e-12
Position 149: 4.0780356485072255e-12
Position 575: 2.4175346243066898e-14
