Gene = CNST
index = 387
Annotated 5SS: [  218 25496 55189 65479 67565 68142 75325 75592 81592 93889]
Annotated 3SS: [25065 54982 65447 67477 68026 75302 75494 80692 93752 99253]
SMsplice 5SS: [  218  3545 25367 28481 28685 51956 55189 67565 68142 70995 75592 81592
 87849 91057 93889 95169]
SMsplice 3SS: [ 3411 25225 28383 28605 51811 54982 67477 68026 70851 75494 81454 87658
 90873 93752 95062 99253]
top_k =  500
Partition function (log Z): -48.10765145549746

Sorted 5' Splice Sites (High to Low Probability):
Position 3545: 0.7772511771267812
Position 218: 0.7090333245126281
Position 5221: 0.3831670937447011
Position 344: 0.2827477282332872
Position 6395: 0.13586496881954788
Position 6209: 0.12803488993221665
Position 5778: 0.11653823787007915
Position 8123: 0.0696809452329279
Position 5363: 0.06724491111843578
Position 10720: 0.06464493063107704
Position 6397: 0.061975586753489124
Position 3850: 0.058554756062006684
Position 3500: 0.054426136282788695
Position 6828: 0.05366595223690366
Position 3033: 0.02935941387367024
Position 6185: 0.019324261043873903
Position 3067: 0.019061574561783853
Position 1088: 0.014932719680824423
Position 2763: 0.011759534555994537
Position 52: 0.01055121029356144
Position 4336: 0.008975899433762227
Position 5214: 0.006242378607681223
Position 1999: 0.0034286576195621398
Position 1056: 0.001627307909827648
Position 189: 0.001562870675943737
Position 4184: 0.001453072731574291
Position 3310: 0.0011732431762695394
Position 522: 0.0011604972928338
Position 86: 0.0010292951929770637
Position 1124: 0.0009131392424841107
Position 349: 0.0008681424603867663
Position 1945: 0.0006935336975727886
Position 1579: 0.0006897975044712005
Position 4081: 0.0006125068733914233
Position 3642: 0.00044511260311999915
Position 9381: 0.00043288147741347505
Position 3059: 0.0004227188263447471
Position 2403: 0.0003674751824937544
Position 385: 0.0003535862988240356
Position 721: 0.00032454120800175685
Position 3248: 0.00030081450979351496
Position 3426: 0.00029795188071744046
Position 4134: 0.00027627542406358983
Position 647: 0.0002447884715351912
Position 5603: 0.0002385716541769371
Position 1357: 0.00020882250424961263
Position 2359: 0.00019008789468735596
Position 158: 0.0001788360422479267
Position 2664: 0.00017648250128170123
Position 3534: 0.00017138114734779073
Position 4422: 0.0001709020782921736
Position 5144: 0.00016580681286664062
