Gene = BTBD8
index = 147
Annotated 5SS: [  385  8560 22334 27666 49441 59095 60876 66933]
Annotated 3SS: [ 8361 22136 27547 49350 59013 60778 66843 67347]
SMsplice 5SS: [  385  8560  9079 22334 27666 38703 49441 59095 66933]
SMsplice 3SS: [ 8361  8954 22136 27547 38554 49350 59013 66843 67347]
top_k =  500
Partition function (log Z): -18.541188765257857

Sorted 5' Splice Sites (High to Low Probability):
Position 27666: 0.9989409692086813
Position 49441: 0.9792072337033741
Position 385: 0.867735267781988
Position 9079: 0.7907201647291937
Position 8560: 0.7805271086168668
Position 22334: 0.6321197477013574
Position 7335: 0.43094206336588636
Position 22339: 0.36783242417807405
Position 9264: 0.2581522819696792
Position 8581: 0.20922205206302313
Position 25466: 0.17893440453617943
Position 27354: 0.1417372252724468
Position 11348: 0.13158776256585344
Position 12283: 0.12224587557257191
Position 14143: 0.1170928126961726
Position 9270: 0.10581051487514671
Position 135: 0.09026130805678968
Position 11691: 0.0814289078531684
Position 11075: 0.0776155134909726
Position 698: 0.061474979619166724
Position 6904: 0.058117577458610584
Position 4292: 0.05329286366419122
Position 22829: 0.048202780175379815
Position 4091: 0.04452820404270648
Position 4596: 0.03485723361961265
Position 27273: 0.030671472558183716
Position 14531: 0.03017246993282623
Position 5043: 0.029106865167696467
Position 190: 0.027031882437925012
Position 3248: 0.026591262094365888
Position 2608: 0.023746145028450752
Position 1200: 0.02257511544179071
Position 22773: 0.01993096679564578
Position 23355: 0.01726028016163464
Position 713: 0.01255472284167497
Position 7955: 0.011500365182495946
Position 229: 0.008567383926919452
Position 9008: 0.005390041076728254
Position 7189: 0.0051453718265317815
Position 153: 0.0048560199513261884
Position 6966: 0.004733754895476446
Position 300: 0.004633928423502846
Position 272: 0.0045748742571350455
Position 3244: 0.004005361902112453
Position 200: 0.001308942528995513
Position 11397: 0.0011861104508696452
Position 62: 0.0007166723764545653
Position 11127: 0.0006525511400059627
Position 11133: 0.00048212718435821126
Position 980: 0.0004610279447154834
