Gene = UGCG
index = 1528
Annotated 5SS: [  548 17981 26186 28113 29731 32913 34592 35594]
Annotated 3SS: [17838 26082 28010 29617 32733 34504 35403 36060]
SMsplice 5SS: [  548 17981 26186 28113 29731 32913 34592 35594]
SMsplice 3SS: [17838 26082 28010 29617 32733 34504 35403 36060]
top_k =  500
Partition function (log Z): -5.456400600624635

Sorted 5' Splice Sites (High to Low Probability):
Position 17981: 0.9999999971315914
Position 28113: 0.9999999971315908
Position 32913: 0.9606545925553513
Position 34592: 0.9314158416422368
Position 35594: 0.7191601964808264
Position 29731: 0.5860551359847886
Position 548: 0.5426245604700878
Position 3376: 0.42149503817116724
Position 494: 0.3798219020892849
Position 33330: 0.379407085383623
Position 23409: 0.25764753503975685
Position 36203: 0.24857199612418612
Position 3239: 0.24263978578422565
Position 32734: 0.20671165468211664
Position 35205: 0.1536849345632307
Position 26186: 0.08730248787366354
Position 117: 0.056473704830904914
Position 35837: 0.05065497059615221
Position 14514: 0.04676404507354031
Position 1366: 0.04489374793612515
Position 35120: 0.04011516927413486
Position 137: 0.029462120208854255
Position 35528: 0.025086505625518698
Position 2536: 0.018264900565528066
Position 33419: 0.018076336211703993
Position 33476: 0.01764933321316284
Position 35707: 0.016649536846016017
Position 21041: 0.015226532695405848
Position 37195: 0.014862269238129071
Position 35616: 0.014538905458922754
Position 2320: 0.01221449928383081
Position 18421: 0.008883397572810219
Position 36226: 0.006365046665611341
Position 433: 0.0058207882738412885
Position 19071: 0.005657597970940995
Position 1270: 0.005483868288544173
Position 132: 0.004986739633335079
Position 35448: 0.004709678577490481
Position 1817: 0.003694596099693983
Position 36270: 0.003382856698201755
Position 34648: 0.003322473026731823
Position 9807: 0.0030084853624293686
Position 552: 0.0028824185501650917
Position 35080: 0.002842514185815948
Position 1859: 0.002823625267062552
Position 37540: 0.002787334091494001
Position 37895: 0.0025272328084686418
Position 510: 0.0025151635682622254
Position 36248: 0.0017493139362945392
Position 821: 0.0017446133623739888
Position 36179: 0.0016939882010689052
Position 1027: 0.0015416018230580513
Position 36332: 0.0013645602141348103
Position 35703: 0.0009911893057992132
Position 1343: 0.0009092438451062547
Position 879: 0.0008978558377503171
Position 1444: 0.0008520442188797734
Position 35256: 0.0007659623830037251
Position 35167: 0.0007388482162615814
Position 754: 0.0007183985507332727
Position 855: 0.0005842351862159022
Position 2544: 0.0004517562206320379
Position 2852: 0.000431791823502234
Position 584: 0.0003871516623156881
Position 35914: 0.000230714347850937
Position 2519: 0.0002272220933067124
Position 2269: 0.000215573863785911
Position 1426: 0.00019621062047276322
Position 1579: 0.00017372065189825384
Position 931: 6.780085419348123e-06
Position 49: 6.7566125757493965e-06
Position 67: 5.159812791003515e-06
Position 832: 3.414084190781215e-06
Position 39: 2.7710544030787384e-06
Position 186: 9.303726425814636e-07
Position 401: 5.947965661548236e-07
Position 303: 5.720439424019526e-07
Position 21: 2.3064070088890147e-07
Position 618: 8.993863545335592e-08
Position 738: 7.225250699111432e-08
Position 716: 6.697699178383563e-08
Position 809: 6.61598377613598e-08
Position 669: 3.2544384313800104e-08
Position 653: 9.75338544367102e-09
Position 922: 5.328636071873648e-09
Position 886: 5.244891427094051e-09
Position 884: 4.937505291154981e-09
Position 515: 4.572147880038633e-09
Position 677: 2.1906149373680815e-09
Position 719: 1.954441563154809e-09
Position 407: 1.2983103317319378e-09
Position 405: 6.363358611447975e-12
Position 379: 2.8161370587424247e-12
Position 398: 4.799934071487369e-13

