Gene = NCMAP
index = 919
Annotated 5SS: [   59 39402 44914]
Annotated 3SS: [39312 44828 49494]
SMsplice 5SS: [  123 11745 16222 28252 28850 39402 44914]
SMsplice 3SS: [11639 16126 28037 28741 39312 44828 50591]
top_k =  500
Partition function (log Z): -7.618847651921462

Sorted 5' Splice Sites (High to Low Probability):
Position 44914: 0.9964267539502571
Position 28850: 0.9475832323176175
Position 16222: 0.9292662887570833
Position 28252: 0.777015593054589
Position 123: 0.7558401289731183
Position 11745: 0.7458692355717764
Position 31303: 0.5610046911334512
Position 39402: 0.5242210571405034
Position 34957: 0.2720760524476032
Position 59: 0.23930440672575226
Position 28133: 0.22298440583389798
Position 11729: 0.2046752624658083
Position 10550: 0.1860197016513979
Position 45420: 0.17145427576214228
Position 51027: 0.15579940681076243
Position 2811: 0.1444216508406742
Position 9319: 0.10324360255873848
Position 12592: 0.09634957293386692
Position 49367: 0.07560640279863456
Position 14665: 0.06939712433595947
Position 7649: 0.06482290855195709
Position 6744: 0.05846390806975912
Position 28866: 0.05210786175105065
Position 49622: 0.04956552160010269
Position 3329: 0.03772986228929923
Position 6356: 0.0373538583651233
Position 6998: 0.03292180562275004
Position 47469: 0.032494701462857066
Position 11733: 0.030404381885015746
Position 1172: 0.02930986492506943
Position 6281: 0.027262131564250294
Position 39843: 0.026767709348166135
Position 31393: 0.02002319844715184
Position 11230: 0.017612803643270898
Position 10732: 0.017353475796152706
Position 1902: 0.01657862483496112
Position 47510: 0.01246196908019005
Position 3012: 0.011134173120501968
Position 47441: 0.009747395743671462
Position 3077: 0.009237840317601977
Position 1176: 0.008750456638615794
Position 29779: 0.006349523588693599
Position 44980: 0.003139520853823901
Position 45506: 0.002602813541141241
Position 48451: 0.0020837247770329713
Position 178: 0.0018464319715054372
Position 1730: 0.0016838488731427306
Position 49883: 0.0014359362898780108
Position 50306: 0.001361338545286154
Position 49741: 0.0013568187894867044
Position 112: 0.0009873232279895235
Position 45292: 0.0009356937659962725
Position 1074: 0.0006978433254257051
Position 639: 0.0006476004340088637
Position 947: 0.0005205497081898357
Position 45168: 0.0005038503150552905
Position 6018: 0.00036209929137240966
Position 6322: 0.0003318137619136415
Position 2705: 0.0003181267010592644
Position 46277: 0.00017168647099546436
Position 28870: 0.0001248793437988215
Position 2570: 0.00010844535522833573
Position 6594: 0.0001070679237821982
Position 44949: 8.79570241519114e-05
Position 45012: 7.680521169245861e-05
Position 5009: 7.511805738280879e-05
Position 1274: 6.813192322548425e-05
Position 28858: 6.789532144978435e-05
Position 1040: 3.5055074485338554e-05
Position 2022: 2.9434138965886788e-05
Position 234: 2.891152990808071e-05
Position 1270: 2.3928600502212265e-05
Position 307: 2.1273534132604233e-05
Position 289: 2.0660312667338166e-05
Position 776: 2.0586085732326632e-05
Position 745: 1.9828645631789707e-05
Position 1486: 1.4708022918476421e-05
Position 264: 1.4650873053097109e-05
Position 951: 1.3719138345452714e-05
Position 128: 5.769767561530634e-06
Position 254: 3.271085400227298e-06
Position 22: 2.861906031275428e-06
Position 958: 2.832811453620119e-06
Position 191: 2.7897741158781764e-06
Position 782: 1.8970592958121454e-06
Position 848: 1.6541866182924872e-06
Position 250: 2.637673000083745e-08
Position 73: 2.393647605692976e-08
Position 225: 1.3269002184578576e-08
Position 463: 8.9135498510078e-09
Position 261: 7.665268553074908e-09
