Gene = MKLN1
index = 847
Annotated 5SS: [   138  47634  59403  61113  69517  71574  83524  86851 101286 110138
 115843 118044 135505 136549 138556 143085 150818]
Annotated 3SS: [ 47563  59259  61023  69406  71380  83445  86784 101172 109924 115620
 117913 135356 136433 138415 142981 150762 159746]
SMsplice 5SS: [   138  47634  59403  61113  69517  83198  83524  86922  87184 101286
 110138 118044 132810 135505 136549 138556 143085]
SMsplice 3SS: [ 47563  59259  61023  69406  83107  83445  86784  87033 101172 109924
 117913 132722 135356 136433 138415 142981 166743]
top_k =  500
Partition function (log Z): -75.6374680378139

Sorted 5' Splice Sites (High to Low Probability):
Position 138: 0.9995326954424498
Position 11124: 0.4120239715092434
Position 10615: 0.27694603442201027
Position 13673: 0.17962170863655025
Position 13944: 0.06612514022851645
Position 1272: 0.056002672625588765
Position 2646: 0.05511815674448766
Position 9250: 0.04049735624754019
Position 3600: 0.03991373340597826
Position 13948: 0.03980431135766374
Position 10808: 0.025653611358440874
Position 8427: 0.016117249095641745
Position 4232: 0.01335967052227569
Position 1544: 0.012818737355433346
Position 10141: 0.009518069940885464
Position 3366: 0.003001075708812017
Position 2769: 0.0028862786824785445
Position 6032: 0.002220713235497666
Position 6131: 0.0018920462944358586
Position 4790: 0.0009345876053625891
Position 2005: 0.0005606290798790102
Position 2522: 0.00038645772921802016
Position 2396: 0.0003850287145998062
Position 2709: 0.0003638111206115902
Position 3790: 0.0002825369632142281
Position 6745: 0.00014588226111628965
Position 357: 0.00011958791455510675
Position 189: 0.00011701893328474026
Position 2036: 0.00011646704062463561
Position 2214: 7.614415543155797e-05
Position 4009: 7.030552701813422e-05
Position 2121: 6.890308457625304e-05
Position 1849: 3.189519958244311e-05
Position 105: 2.9588414632490372e-05
Position 432: 2.7728639589522318e-05
Position 1413: 2.4801917657322704e-05
Position 819: 1.8075348714553434e-05
Position 581: 1.3842886231974976e-05
Position 2218: 1.2678231729994102e-05
Position 533: 1.0726391577635275e-05
Position 404: 9.481276328778252e-06
Position 256: 6.795158029046582e-06
Position 553: 6.37900692419704e-06
Position 623: 3.672230652160321e-06
Position 523: 3.388276556263509e-06
Position 180: 3.125380369560337e-06
Position 10: 2.3471391274496344e-06
Position 318: 2.3318973361666924e-06
Position 324: 1.7002113822313351e-06
Position 2673: 5.091137410345722e-07
Position 1106: 3.699726995549871e-07
Position 1113: 3.5803161839940995e-07
Position 1570: 3.3189739196411907e-07
Position 1420: 3.2899040903455755e-07
Position 1245: 2.877584629846585e-07
Position 928: 2.4312315173246043e-07
Position 1225: 1.8591047244356542e-07
Position 1830: 1.7156349528762746e-07
Position 29: 1.649885156203558e-07
Position 426: 1.602599156162565e-07
Position 1142: 1.5275371409405924e-07
Position 201: 1.3846192835311058e-07
Position 1809: 1.2695588297510254e-07
Position 536: 1.1709583292612845e-07
Position 957: 1.162359230701249e-07
Position 952: 8.511127101309864e-08
Position 1431: 7.899095952671032e-08
Position 2304: 7.500706277938489e-08
Position 1783: 7.26528114775268e-08
Position 1460: 4.951523060528724e-08
Position 1597: 2.7487118946313177e-08
Position 1587: 1.6386377784307282e-08
Position 1453: 1.4637782114341745e-08
Position 1696: 1.2846323205797784e-08
Position 608: 3.630532326792557e-11
Position 75: 1.8517434482424603e-11
Position 142: 1.417604294829924e-11
Position 823: 6.987140147395192e-12
Position 709: 3.349627059303337e-12
Position 668: 2.884081378355358e-12
Position 613: 2.3976852908200273e-12
Position 276: 2.264478050869922e-12
Position 160: 2.2066674192739024e-12
Position 14: 1.2821819346458513e-13
Position 359: 4.067936722266159e-14
Position 58: 1.5657039554112112e-14
Position 270: 1.8054637951314712e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 14764: 0.3773604924235753
Position 10419: 0.2731207673652645
Position 10980: 0.2604482438844922
Position 13837: 0.2354712254553814
Position 11058: 0.16259598150954266
Position 13612: 0.14202488756994908
Position 13375: 0.1154853041300183
Position 11026: 0.09976596907522374
Position 13410: 0.05186129560569852
Position 2554: 0.04506176360306649
Position 1171: 0.03772124704253144
Position 4922: 0.03444338770099897
Position 10511: 0.03120919704278043
Position 3486: 0.02765890863621107
Position 10692: 0.022029129086553568
Position 15733: 0.019636256036702483
Position 9108: 0.01895133828940023
Position 12439: 0.016864599865191315
Position 9193: 0.014983188097102975
Position 1412: 0.013246332831474689
Position 4124: 0.01314562321014825
Position 10536: 0.012770440650240475
Position 8355: 0.012252844355013729
Position 10095: 0.012128830762770201
Position 11930: 0.011583276163877108
Position 14323: 0.011252922444127372
Position 10054: 0.010654915175697822
Position 6850: 0.01051459654710621
Position 2927: 0.010101888682023129
Position 1929: 0.007969004137482492
Position 3454: 0.006950261672761627
Position 1055: 0.006938624337758526
Position 9161: 0.006301868134763855
Position 12899: 0.00591320848239463
Position 985: 0.005858383059519167
Position 2577: 0.005651116253155149
Position 8233: 0.005439040436444943
Position 9030: 0.0051642981082127394
Position 11178: 0.005108598443676768
Position 11022: 0.004641601671854344
Position 11725: 0.004331538928052799
Position 3573: 0.004044233356041389
Position 2422: 0.0035718823182773218
Position 11901: 0.003457451612371703
Position 11544: 0.0033954849658193184
Position 6062: 0.0032816956379203726
Position 1089: 0.0030636127599005607
Position 2476: 0.002889753023587699
Position 8161: 0.0027714924154886938
Position 6527: 0.0027162941698965367
Position 9701: 0.0025732721187972907
Position 2898: 0.0023657299270218946
Position 5721: 0.0023038234351600846
Position 8310: 0.0021377957681518707
Position 7740: 0.002084591968819838
Position 9306: 0.0018778181875824616
Position 3528: 0.0017740924601643768
Position 10858: 0.0017478824685822855
Position 4773: 0.0016793547316499265
Position 10264: 0.001520384903517283
Position 2410: 0.0014755028317198064
Position 6353: 0.0014670505702819125
Position 4693: 0.0013803432536022332
Position 7834: 0.00136074857772718
Position 6777: 0.0013068226283372785
Position 1064: 0.0012355112369111594
Position 10324: 0.0012331390957140448
Position 8715: 0.001195419080056517
Position 5913: 0.0011832187773295109
Position 3283: 0.001170854242375081
Position 1747: 0.001091020288142777
Position 1128: 0.0010156117824942482
Position 6301: 0.001001959035154787
Position 4008: 0.0008975831959458128
Position 1023: 0.0007911888241901987
Position 7803: 0.000720286916948211
Position 1345: 0.0007183271279917879
Position 1786: 0.0006992748627920061
Position 9705: 0.0006964160667709022
Position 2161: 0.0006018941286939106
Position 10058: 0.0005771894267800438
Position 2379: 0.0005572419732116656
Position 7104: 0.0005478769815706394
Position 5888: 0.0005399081261832996
Position 1061: 0.0005222247737755438
Position 9654: 0.0005150905204992644
Position 2454: 0.00046366033574476106
Position 5677: 0.0004116694738359759
Position 2632: 0.0003983598721220453
Position 5859: 0.0003938002044046029
Position 6898: 0.0003915103734365031
Position 7447: 0.0003803354358549829
Position 1668: 0.00037372994706657105
Position 9590: 0.0003663657396543035
Position 1295: 0.00030640931100431475
Position 927: 0.00029229234157138385
Position 8762: 0.00028079687063047525
Position 4327: 0.0002672910146343456
Position 1489: 0.0002448830442511934
Position 5399: 0.00024143370830666995
Position 4147: 0.00022155500862104476
Position 3949: 0.00021461659965742115
Position 5702: 0.00021304494550372372
Position 4533: 0.00021084795766827425
Position 2298: 0.00020492631038907506
Position 3364: 0.000189074622299941
Position 6226: 0.0001737039792237657
Position 4294: 0.0001682117244607674
Position 3234: 0.00016115838162923622
Position 834: 0.00014356837687775018
Position 7168: 0.00013885207357249436
Position 5248: 0.00013596235411121759
Position 4928: 0.00013498484892848352
Position 2301: 0.00013149658405127692
Position 2745: 0.00011911438279784293
Position 795: 0.00010874320513587962
Position 2352: 8.235653004787385e-05
Position 1722: 8.147351918003379e-05
Position 3716: 7.90978658443162e-05
Position 3065: 6.528403136934762e-05
Position 5084: 6.285910479281729e-05
Position 2121: 6.071523161858281e-05
Position 469: 5.894304183828602e-05
Position 3693: 5.185750340862315e-05
Position 2103: 4.797984805446747e-05
Position 1835: 4.0205232899506245e-05
Position 695: 3.80060085641234e-05
Position 2615: 3.5301559251349094e-05
Position 2998: 3.456422167793697e-05
Position 2768: 2.535336710023022e-05
Position 1758: 2.2062238456121117e-05
Position 4066: 2.101895276615221e-05
Position 276: 1.8121254550481837e-05
Position 1643: 1.6544188820307767e-05
Position 2613: 1.6476869907427565e-05
Position 1058: 1.6091670081601377e-05
Position 1451: 1.4513073058286724e-05
Position 3887: 1.2780370215399152e-05
Position 2267: 1.2685720133621398e-05
Position 1111: 1.2469790549167712e-05
Position 1392: 1.22311458995535e-05
Position 744: 1.1432058867860737e-05
Position 522: 1.0332237883210296e-05
Position 2355: 9.726752953773105e-06
Position 5862: 9.560912575924446e-06
Position 3838: 8.255766030224238e-06
Position 1245: 7.217528543564673e-06
Position 3687: 6.917670095894432e-06
Position 1434: 6.843894983902878e-06
Position 1137: 6.7624987307329625e-06
Position 1418: 4.07245249306965e-06
Position 1118: 2.796482519168144e-06
Position 2645: 2.723206551497929e-06
Position 956: 2.637151656132666e-06
Position 1106: 2.4922235550438158e-06
Position 1142: 2.0061425006209435e-06
Position 2169: 1.5831008949803468e-06
Position 2672: 1.2762028725732478e-06
Position 4195: 9.349582494672379e-07
Position 1225: 7.623640138292314e-07
Position 1252: 6.229001639932864e-07
Position 1148: 4.652593906964428e-07
Position 2164: 2.930732526600013e-07
Position 1431: 1.5006820267568613e-07
Position 1094: 1.290483241743228e-07
Position 712: 1.2315881696295215e-07
Position 692: 1.1796772323900958e-07
Position 944: 1.1290247206902399e-07
Position 847: 1.0674696683606951e-07
Position 814: 9.491350851003545e-08
Position 315: 8.496793829329872e-08
Position 1360: 6.94165566314685e-08
Position 234: 6.785169702813358e-08
Position 384: 5.965215141855809e-08
Position 270: 5.170353164373863e-08
Position 281: 4.4789526865859896e-08
Position 322: 3.958926830114503e-08
Position 216: 3.951190134098354e-08
Position 866: 3.682721087686054e-08
Position 811: 3.26252115890245e-08
Position 1373: 1.914085031897719e-08
Position 553: 1.742684502150016e-08
Position 755: 1.5291911089543936e-08
Position 1262: 1.4156497789744253e-08
Position 606: 1.3240120035615049e-08
Position 431: 8.42657634521237e-09
Position 721: 7.360534539473368e-09
Position 532: 5.9783318268157625e-09
Position 249: 5.680129084786046e-09
Position 211: 5.253972136049414e-09
Position 787: 3.783162223655282e-09
Position 759: 3.76192369163426e-09
Position 659: 3.5973283336175183e-09
Position 1460: 2.8288735983209217e-09
Position 337: 2.203294934042253e-09
Position 228: 1.5555935005410703e-09
Position 387: 1.2917888221920806e-09
