Gene = EFHB
index = 488
Annotated 5SS: [  951 13676 14348 15949 18878 28561 34749 35403 37494 45737 49778 51631]
Annotated 3SS: [13612 14203 15767 18766 28430 34664 35334 37338 45528 49564 51448 54375]
SMsplice 5SS: [  951 14348 15949 18878 28561 34749 35963 37494 48289]
SMsplice 3SS: [14203 15812 18766 28430 34664 35867 37338 48175 54375]
top_k =  500
Partition function (log Z): -3.388530966898482

Sorted 5' Splice Sites (High to Low Probability):
Position 14348: 0.9999999999999988
Position 28561: 0.9985180943959093
Position 34749: 0.9947514203071757
Position 18878: 0.944876388967177
Position 15949: 0.9295173661670773
Position 951: 0.7583452545015283
Position 35963: 0.7168409247725038
Position 37440: 0.6025433376130324
Position 45737: 0.4826183247987949
Position 101: 0.3954358303334881
Position 45265: 0.32715910301552253
Position 2320: 0.3062846542622492
Position 30325: 0.267678961526598
Position 48289: 0.21923728674105064
Position 1328: 0.2064206984078703
Position 5505: 0.20289388730206467
Position 29578: 0.15684489416349212
Position 35403: 0.15214594760755112
Position 37519: 0.1435062718501611
Position 2479: 0.13976623953126407
Position 30097: 0.12084478805557763
Position 16769: 0.11793054680256142
Position 45354: 0.0867956459581771
Position 24455: 0.07565025824440288
Position 26583: 0.0639763395745883
Position 21646: 0.06330765951414667
Position 39993: 0.05892059208659631
Position 36205: 0.05608990612109169
Position 37498: 0.05594941734210554
Position 41917: 0.05502315762292308
Position 35626: 0.050551117597194
Position 30499: 0.04837103719899609
Position 39452: 0.04497715818036334
Position 18985: 0.043434640723592904
Position 34233: 0.02998270817489139
Position 306: 0.02721192109780374
Position 1377: 0.025849724511904277
Position 38351: 0.023796402015798628
Position 17070: 0.02364783131367358
Position 21665: 0.02289598153996007
Position 19214: 0.021824529734736142
Position 33512: 0.02139123123279098
Position 36278: 0.02117214959823888
Position 558: 0.01738301250083695
Position 24752: 0.01717539109084819
Position 34924: 0.01700097632267307
Position 17072: 0.015509906010904666
Position 21081: 0.01345004743192205
Position 2187: 0.012471198102797471
Position 35472: 0.01217689019826329
Position 17595: 0.010820894567066688
Position 36434: 0.010181951176699436
Position 16150: 0.009694106263881406
Position 37: 0.00920073737162771
Position 23735: 0.007751599141673624
Position 16356: 0.00774936422049381
Position 29934: 0.0069988281638407104
Position 37132: 0.00673260078514406
Position 32763: 0.006696602926777123
Position 28751: 0.006522668102945795
Position 735: 0.006051593834773162
Position 36859: 0.005582889545751179
Position 2534: 0.005128236591493562
Position 2074: 0.004942798343202868
Position 18953: 0.00410473485388266
Position 4597: 0.0038765887157025856
Position 37454: 0.003313026961114459
Position 35076: 0.0029281471798723487
Position 36743: 0.002876764049380898
Position 261: 0.0028725044388253156
Position 35868: 0.00271425565665822
Position 4180: 0.0026618893348982747
Position 1676: 0.0026468259680543687
Position 34629: 0.0020454157141612276
Position 4204: 0.0018935234678601155
Position 2296: 0.0016257633659807035
Position 42: 0.0015200283883468856
Position 36759: 0.001516459917218479
Position 319: 0.001257942909216438
Position 37565: 0.0012387010844097227
Position 36209: 0.0012098336497995354
Position 37077: 0.001076415563251661
Position 35596: 0.0009498030328195135
Position 38347: 0.0008859554779606792
Position 28649: 0.000812831427403107
Position 35298: 0.0007970039404118479
Position 36765: 0.0007486991500908325
Position 421: 0.0007045829776538694
Position 36761: 0.0006958115077191725
Position 491: 0.0006594985998489561
Position 621: 0.0006426276991748007
Position 219: 0.0006077503598493783
Position 1651: 0.0004518472799844332
Position 1175: 0.0003124261931028672
Position 2538: 0.00027055233520009627
Position 37419: 0.00024692382804873767
Position 3419: 0.00023889173474314371
Position 18846: 0.00022507696716318813
Position 32492: 0.00016488545481611625
Position 310: 0.00015061418359440707
Position 37702: 9.605894403429402e-05
