Gene = MGLL
index = 841
Annotated 5SS: [   167   1557  41462 100821 102198 112675 128276]
Annotated 3SS: [  1411  41354 100683 102086 112584 128059 130926]
SMsplice 5SS: [   167   1557   8143  10401  14046  14368  22873  24460  41462  56112
  57560  68767  87546 100821 102198 112675 128108 128276]
SMsplice 3SS: [  1411   7920  10320  13954  14311  22777  24319  41354  55987  57442
  68688  87356 100683 102086 112584 128059 128194 130926]
top_k =  500
Partition function (log Z): -37.99346827570193

Sorted 5' Splice Sites (High to Low Probability):
Position 8143: 0.9999999749204534
Position 41462: 0.999913607179771
Position 10401: 0.9870751314468095
Position 14368: 0.9636615986808056
Position 167: 0.9587098456826737
Position 24460: 0.7814296101922587
Position 1557: 0.7755453078693849
Position 22873: 0.7713212010507406
Position 30202: 0.7540845473486752
Position 6005: 0.750275082278088
Position 14046: 0.7368533793490891
Position 4617: 0.4197137636645979
Position 942: 0.24247598604850104
Position 1530: 0.21645189099482295
Position 24524: 0.15226463399399215
Position 3907: 0.131144942743172
Position 583: 0.1183253835446043
Position 18385: 0.11434630221634373
Position 4303: 0.09085769194402143
Position 2541: 0.08301995401625503
Position 14685: 0.07721590874847925
Position 26473: 0.05275384993521504
Position 2568: 0.04757882594447952
Position 4656: 0.046365706736960555
Position 42595: 0.04445361122549463
Position 527: 0.0428236889451577
Position 591: 0.03807090722445757
Position 6777: 0.03729566820467926
Position 570: 0.03671241595053813
Position 4363: 0.03299363234955133
Position 42257: 0.03194044543195056
Position 46612: 0.030051212117465302
Position 523: 0.029464067213771816
Position 2207: 0.018526008329456826
Position 43361: 0.009942216500347299
Position 2380: 0.009829165607286632
Position 1265: 0.00936462791839879
Position 951: 0.009177043571990671
Position 3155: 0.009080545175842596
Position 1252: 0.008190357243055372
Position 1585: 0.007999047300428202
Position 1206: 0.007647527720226755
Position 748: 0.006895900092065859
Position 2875: 0.006521514315028729
Position 805: 0.005462685673145954
Position 14782: 0.004844596846962665
Position 3330: 0.004532696711481491
Position 2504: 0.004386345604218371
Position 1269: 0.0033479080243843987
Position 3425: 0.003133960763287923
Position 4037: 0.002740245666863563
Position 2508: 0.0025970667147389897
Position 593: 0.002351284160470526
