Gene = NAPEPLD
index = 911
Annotated 5SS: [  422 20750 29656 34173 45809]
Annotated 3SS: [20439 29008 34057 45677 46109]
SMsplice 5SS: [  872 20516 29656 34173]
SMsplice 3SS: [20439 29561 34057 46168]
top_k =  500
Partition function (log Z): -28.311989825912477

Sorted 5' Splice Sites (High to Low Probability):
Position 872: 0.5593115879331039
Position 1413: 0.5160314177863377
Position 310: 0.3732072797972086
Position 238: 0.07945337021062572
Position 1272: 0.06762525766448924
Position 189: 0.04909013648108537
Position 534: 0.046313628136333565
Position 930: 0.02730552609409644
Position 444: 0.01513501943030277
Position 422: 0.014669305505840557
Position 12063: 0.01091583957541328
Position 9785: 0.006608570357452362
Position 113: 0.006310975293159565
Position 7528: 0.006266015153177017
Position 1249: 0.0034290911513221237
Position 395: 0.00327322431602677
Position 843: 0.0032494212141025596
Position 448: 0.0024278474355553885
Position 278: 0.0021674546912449893
Position 153: 0.0013800724304365117
Position 876: 0.0012069026275075747
Position 349: 0.0011066890852441114
Position 87: 0.0009374268227597241
Position 63: 0.0008126275270253788
Position 689: 0.0007094322286210514
Position 2691: 0.0007023291842245086
Position 1278: 0.0006895040850639931
Position 2593: 0.000427978797879599
Position 150: 0.0004070728284997008
Position 562: 0.00035724853734431244
Position 22: 0.0003306373733855808
Position 1222: 0.0003046748543200235
Position 2548: 0.00018928685051050397
Position 173: 0.00012369767606309416
Position 460: 0.00011272301822522649
Position 2555: 0.00010571287150114883
Position 37: 0.00010360580187276375
Position 193: 9.835940880766126e-05
Position 881: 9.325184164189129e-05
Position 847: 7.775617491360916e-05
Position 426: 7.622339748303785e-05
Position 797: 7.344624382874851e-05
Position 3558: 6.44544992615581e-05
Position 1177: 6.243963069098162e-05
Position 20: 5.50403355621677e-05
Position 901: 5.298690481121336e-05
Position 441: 4.967607534330515e-05
Position 355: 4.598413320868862e-05
Position 1779: 4.5389839156303366e-05
Position 80: 3.7651105689149146e-05
Position 715: 3.4584850541289064e-05
Position 626: 2.581553299900243e-05
Position 727: 2.4921383214707346e-05
Position 697: 1.5434003776235548e-05
Position 639: 1.538435730739627e-05
Position 43: 1.5237956783535251e-05
Position 666: 1.2514334848354318e-05
Position 505: 7.438340354358141e-06
Position 34: 7.334763852675672e-06
Position 658: 6.840681544490514e-06
Position 651: 6.570847338836567e-06
Position 629: 6.118250306907937e-06
Position 488: 4.625393599183375e-06
Position 560: 4.592745746006405e-06
Position 1036: 3.4696866934576124e-06
Position 663: 3.299007334366174e-06
Position 974: 3.1918665629648437e-06
Position 1654: 1.17175079578725e-06
Position 2490: 2.8824353924708953e-07
Position 2544: 2.6405373353701876e-07
Position 1663: 2.4811490744664034e-07
Position 200: 1.662594867725082e-10
