Gene = GRIFIN
index = 621
Annotated 5SS: [  12  464  714 1242]
Annotated 3SS: [ 383  554 1074 1496]
SMsplice 5SS: [183 464]
SMsplice 3SS: [383 554]
top_k =  500
Partition function (log Z): -7.4700732521369435

Sorted 5' Splice Sites (High to Low Probability):
Position 464: 0.8552241385919498
Position 183: 0.48031563415630135
Position 100: 0.2910790410326497
Position 714: 0.1833798741650942
Position 672: 0.12230069026255395
Position 281: 0.09179757848498542
Position 12: 0.09010367551470419
Position 1177: 0.041049627092459566
Position 647: 0.022612856155823775
Position 16: 0.017688733049170336
Position 265: 0.012004005409833408
Position 809: 0.0077393440810386675
Position 46: 0.00598077122302671
Position 155: 0.003991229706188416
Position 1242: 0.0033486384820916597
Position 555: 0.0031740786995760515
Position 315: 0.002919698483005483
Position 149: 0.0028240986023544833
Position 873: 0.0015441674737842195
Position 1210: 0.0008753832130854351
Position 729: 0.0008260085602278021
Position 869: 0.0007420861430708295
Position 1129: 0.00048063450461529954
Position 828: 0.0004347926259081359
Position 185: 0.00029047810509058987
Position 253: 0.00022539848401497716
Position 321: 0.00016920344496248858
Position 1446: 0.00015135196057191892
Position 1081: 0.00014544094886708182
Position 208: 0.0001281448437271575
Position 143: 3.879893136650031e-05
Position 432: 1.2599725881504826e-05
Position 327: 1.8405418572449063e-06
Position 504: 1.7353927575537743e-06
Position 397: 1.303693971264476e-06
Position 6: 5.933203396290286e-07
Position 187: 4.0238616183906124e-07
Position 216: 2.7361385523037547e-08
Position 76: 1.2810697277871771e-08
Position 544: 1.2180637388231343e-09
Position 361: 9.162969938629492e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.908940807223334
Position 554: 0.7196852958106081
Position 1395: 0.14741825863782715
Position 1496: 0.084372523530329
Position 808: 0.07197113559135147
Position 1264: 0.040548892971685374
Position 969: 0.02798379487003104
Position 92: 0.027664135586636142
Position 1065: 0.025047898140860555
Position 526: 0.023025373027532547
Position 202: 0.02016801087985048
Position 579: 0.01577021367165793
Position 872: 0.01447744328375706
Position 1074: 0.01368870166537801
Position 1301: 0.009758076832452013
Position 985: 0.008670001559041369
Position 852: 0.008447323170634352
Position 1461: 0.008056734825097313
Position 1304: 0.007819435278803544
Position 606: 0.007038708361136083
Position 1530: 0.00634980182545249
Position 620: 0.005622625891323765
Position 1078: 0.005097125097207783
Position 390: 0.004880180086814614
Position 916: 0.0033094434716418528
Position 123: 0.0027733646160863538
Position 1122: 0.0026505685884226538
Position 769: 0.0026434419387832892
Position 1175: 0.002528449385772871
Position 869: 0.0024187350506912728
Position 1080: 0.0020592677822264065
Position 1128: 0.0019178242672237293
Position 1421: 0.0016195117086657473
Position 996: 0.0015671368856756773
Position 895: 0.0014146814191050667
Position 182: 0.0013697695355076975
Position 1209: 0.0012594466354367896
Position 647: 0.0007018332261519764
Position 1014: 0.0006643942210356982
Position 1051: 0.0005616320566527296
Position 1466: 0.0004543423918716311
Position 425: 0.0003307587541075047
Position 130: 0.00010765876567006041
Position 304: 0.00010334094293139973
Position 1152: 9.12679083567958e-05
Position 347: 6.647936994629941e-05
Position 164: 6.487158772442171e-05
Position 561: 6.388964806869089e-05
Position 224: 5.957466646921778e-05
Position 340: 5.148612587379041e-05
Position 1023: 4.5567760801731835e-05
Position 94: 4.154657010580723e-05
Position 437: 3.281314789270944e-05
Position 356: 3.064338747439952e-05
Position 313: 2.4043164770771768e-05
Position 275: 1.9358277632976118e-05
Position 337: 1.2412701871275027e-05
Position 463: 1.003981481945759e-05
Position 671: 6.608528077037189e-06
Position 516: 6.26545918468992e-06
Position 231: 5.78992511853539e-06
Position 154: 4.231161808271878e-06
Position 288: 1.9996724378034903e-06
Position 744: 1.7969707115582028e-06
Position 784: 1.099980724804107e-06
Position 458: 9.87838085609216e-07
Position 668: 6.880922022406037e-07
Position 333: 6.81651912885615e-07
Position 166: 6.339011696481412e-07
Position 147: 4.9745225250245e-07
Position 456: 3.47346217300368e-07
Position 239: 1.0715006405611424e-07
Position 137: 8.621515666209061e-08
Position 139: 8.217678148213623e-08
Position 720: 5.955027176712977e-08
Position 713: 3.362565189253447e-08
Position 247: 2.828811706038918e-08
Position 241: 3.02998838536287e-10
Position 69: 2.255289525502036e-16
