Gene = SMC2
index = 1275
Annotated 5SS: [  218  1293  2038  4309  5423  5944  6174  7934  8314 17555 19216 19822
 20570 22060 24116 25903 28973 30846 32525 33221 35586 37866 40316 43906]
Annotated 3SS: [ 1038  1887  4185  5383  5832  6128  7699  8163 17320 19055 19703 20430
 21939 23910 25766 28847 30651 32380 33025 35384 37748 40154 43757 44878]
SMsplice 5SS: [  218  2038  4309  5423  5944  6174  7802  8314 19216 19822 20570 22060
 24116 25903 28973 30846 32525 33221 35586 37866 40316 43906 46113]
SMsplice 3SS: [ 1887  4185  5383  5832  6128  7699  8163 19055 19703 20430 21939 23910
 25766 28847 30651 32380 33025 35452 37748 40154 43757 46035 46223]
top_k =  500
Partition function (log Z): 31.22538644124487

Sorted 5' Splice Sites (High to Low Probability):
Position 8314: 0.9975770803447723
Position 20570: 0.9967205588006072
Position 43906: 0.9823537476362548
Position 37866: 0.9805739705558274
Position 33221: 0.9656062530905974
Position 24116: 0.9632590493605405
Position 32525: 0.9581629216770434
Position 19822: 0.9503302108708417
Position 25903: 0.9496940306763273
Position 35586: 0.91387580927117
Position 28973: 0.9132126710342037
Position 5944: 0.9011959669996591
Position 4309: 0.8829865487676868
Position 40316: 0.872276835591277
Position 22060: 0.8620577555099047
Position 30846: 0.7856024799198782
Position 19216: 0.7695766701783608
Position 6174: 0.6933139454802713
Position 2038: 0.6643051867398357
Position 46113: 0.6370780762454615
Position 7802: 0.5529694671469859
Position 5423: 0.510979460658892
Position 28768: 0.4672813014507851
Position 5730: 0.4294727557694701
Position 218: 0.427692027815822
Position 33606: 0.42180258891333805
Position 30253: 0.3347032120989044
Position 1293: 0.32267859038180075
Position 7934: 0.3048215174124347
Position 17555: 0.27137844464395533
Position 703: 0.184598228584603
Position 10681: 0.16590290510288347
Position 9672: 0.16007295925321804
Position 30489: 0.1517399594102605
Position 10949: 0.1413093263890179
Position 425: 0.1372682474540673
Position 1844: 0.12513004050359297
Position 189: 0.12155805455977381
Position 46157: 0.11760942164783718
Position 40655: 0.0977947113769108
Position 43314: 0.09160669922675457
Position 3948: 0.09094523002774171
Position 5676: 0.08267389032424134
Position 20876: 0.07906922177401257
Position 28749: 0.0713785784024792
Position 30476: 0.07043322748950007
Position 22585: 0.06857869542131965
Position 227: 0.06707853388591664
Position 38776: 0.06597889037507709
Position 6400: 0.06500875665652002
Position 10960: 0.06376355323513291
Position 23635: 0.06371788577312738
Position 21267: 0.06313479209525313
Position 11203: 0.061294092728179
Position 5458: 0.05744696823471545
Position 32263: 0.05510303802893013
Position 39405: 0.04913420087606627
Position 38677: 0.045759586797488684
Position 650: 0.04542952401137125
Position 38780: 0.04489049391607877
Position 21257: 0.04431048696990808
Position 19254: 0.04272239595360253
Position 22520: 0.03752174808123099
Position 31975: 0.03697453027839893
Position 44904: 0.034446813297985567
Position 28753: 0.03438897238343914
Position 663: 0.032901889550792505
Position 37263: 0.032124045818083195
