Gene = RBM8A
index = 1124
Annotated 5SS: [ 177  519  728 1055 1496]
Annotated 3SS: [ 458  649  917 1358 1608]
SMsplice 5SS: [ 177  519  752 1055 1496]
SMsplice 3SS: [ 458  649  917 1358 1608]
top_k =  500
Partition function (log Z): 9.482670747901262

Sorted 5' Splice Sites (High to Low Probability):
Position 1055: 0.9912241932212391
Position 1496: 0.976526895408886
Position 519: 0.9601322541884514
Position 177: 0.8776923338014624
Position 728: 0.48593562651397854
Position 752: 0.47605331926582334
Position 1658: 0.32287453251118015
Position 1674: 0.23607484646707394
Position 215: 0.07838412790672512
Position 3592: 0.048023929494497526
Position 383: 0.021507937191598294
Position 747: 0.021118809217098692
Position 2170: 0.012505722650997097
Position 2134: 0.01166206773488814
Position 3718: 0.010663193963347351
Position 2628: 0.00884875253425507
Position 1763: 0.00868922431874439
Position 4028: 0.008113576378955113
Position 3845: 0.007745777185304032
Position 767: 0.007669670758098801
Position 365: 0.006336673422333076
Position 1771: 0.005031337120239634
Position 371: 0.005004205060441565
Position 199: 0.004011885903288085
Position 263: 0.00381676133624676
Position 732: 0.003592554677621665
Position 1260: 0.003513858432665421
Position 1525: 0.0028218687375938375
Position 1102: 0.00222734121984315
Position 367: 0.002010594124471283
Position 63: 0.0018305643974702325
Position 2600: 0.0012664448828754683
Position 3095: 0.0011784357859877122
Position 5006: 0.0010542462641881724
Position 1242: 0.0010287679256355115
Position 539: 0.0008483438283955324
Position 388: 0.0007967476137405046
Position 2596: 0.0005552957090041153
Position 2194: 0.0005500802072494465
Position 1216: 0.00046663334926599643
Position 2568: 0.000454762828311676
Position 760: 0.0003843512952751747
Position 552: 0.0003795786637038871
Position 3272: 0.000378160940171925
Position 1227: 0.0003739612844182707
Position 3039: 0.00036891152832220535
Position 1728: 0.00022678337744139456
Position 770: 0.0001383901764701009
Position 1782: 0.0001204566541256137
Position 773: 0.00010536771654554643
Position 2472: 0.00010385030464352406
Position 1774: 9.230027796058263e-05
Position 1474: 8.742040694608329e-05
Position 1869: 8.699905334973533e-05
Position 1460: 7.407610805271913e-05
Position 792: 5.50827644081311e-05
Position 260: 4.257535149816547e-05
Position 1467: 4.255938254057062e-05
Position 802: 4.190452474707822e-05
Position 674: 3.8017545855407335e-05
Position 525: 3.754241488679472e-05
Position 335: 3.1921540168986114e-05
Position 1264: 3.1273453314310484e-05
Position 1064: 2.8541512507618643e-05
Position 1452: 2.4514308046264945e-05
Position 1278: 1.9437955197680813e-05
Position 295: 1.81371224042177e-05
