Gene = MIIP
index = 843
Annotated 5SS: [   87  2375  2977  3452  9676  9816 10429 10659 11938]
Annotated 3SS: [ 2178  2628  3366  9566  9756 10298 10561 11799 12255]
SMsplice 5SS: [   87  2375  2977  3452 10429 10659 11938]
SMsplice 3SS: [ 2178  2628  3366 10298 10561 11799 12255]
top_k =  500
Partition function (log Z): 8.878643290927783

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.9979105111773869
Position 10429: 0.9919878757246385
Position 3452: 0.9917594235317386
Position 10659: 0.9689492508454466
Position 11938: 0.9408297926669369
Position 2977: 0.6747991007779761
Position 9816: 0.5059211922594494
Position 2375: 0.40672932042644333
Position 9676: 0.3602649755530037
Position 11492: 0.23452064188837185
Position 2350: 0.21034360432169924
Position 9657: 0.08804626641580582
Position 9182: 0.07992397421596273
Position 9128: 0.065809457775178
Position 11497: 0.06473664067311491
Position 12294: 0.05064873709283305
Position 7335: 0.03188573620548945
Position 9696: 0.031090627377226544
Position 11069: 0.028299821324213374
Position 10827: 0.01788919273027062
Position 3270: 0.013997290645712394
Position 9902: 0.013965572587331283
Position 11009: 0.011920889034273576
Position 11447: 0.011239350276161502
Position 2323: 0.011198842126436967
Position 999: 0.011098671866156281
Position 11528: 0.010039326051121419
Position 8726: 0.009824573515424345
Position 7287: 0.009580742191955989
Position 594: 0.009126677949173172
Position 7374: 0.00889900426405161
Position 11435: 0.008349759348434746
Position 6359: 0.008105182636297689
Position 2724: 0.007847132657634077
Position 959: 0.00782095845601845
Position 11213: 0.007576686768633793
Position 2327: 0.007084144377917984
Position 11344: 0.00620867756283179
Position 10760: 0.0061254711710421895
Position 11294: 0.006067407921811178
Position 11251: 0.0059679221322934415
Position 8313: 0.005633741461677164
Position 509: 0.00539839350623668
Position 12307: 0.0038652085718483007
Position 1015: 0.0034449292951144873
Position 10684: 0.003139772913719522
Position 3144: 0.0030910914228603655
Position 12028: 0.0030172974109118136
Position 531: 0.0026897873276372623
Position 4909: 0.0026543350115110155
Position 11690: 0.00265213752039245
Position 2578: 0.0026283578297636567
Position 11485: 0.002589441955216156
Position 2179: 0.0025373417075456174
Position 11665: 0.0024060730427684696
Position 2733: 0.0023913187681317153
Position 11657: 0.002299736041242537
Position 1746: 0.0022893394297726186
Position 2582: 0.0021305041643240453
Position 518: 0.0021177014998431426
Position 3099: 0.002020548474964791
Position 11669: 0.0018062555757512248
Position 11768: 0.0014489695805153645
Position 12466: 0.0012731292378416201
Position 2342: 0.0011437246476595385
Position 188: 0.0009230568622787199
Position 913: 0.0009087473644047616
Position 1319: 0.0008036866552943233
Position 10353: 0.0007595105351508485
Position 2264: 0.0006966488491489107
Position 8778: 0.0005589391398988261
Position 12187: 0.00036952510999249406
