Gene = AJAP1
index = 45
Annotated 5SS: [   723  57968 115209 117794 119827]
Annotated 3SS: [ 57167 115120 117547 119694 122668]
SMsplice 5SS: [   723  10917  11293  14173  17358  22981  47917  64663 115209 117794
 118258 119827]
SMsplice 3SS: [ 10763  11090  13983  17247  22777  47814  64592 115120 117547 118102
 119694 122613]
top_k =  500
Partition function (log Z): -49.945182579957596

Sorted 5' Splice Sites (High to Low Probability):
Position 17358: 0.94755065328855
Position 22981: 0.9090635436466121
Position 11293: 0.6873470648479116
Position 723: 0.6249665037633356
Position 10917: 0.590234338280524
Position 14173: 0.49344631805689865
Position 17622: 0.4396187539720671
Position 16999: 0.4210910641839034
Position 14184: 0.3126324337906268
Position 746: 0.2977634880601372
Position 18469: 0.2544462741301834
Position 10940: 0.20538806721991998
Position 21143: 0.19810313644040642
Position 23188: 0.1620133271967278
Position 23964: 0.1607594399296139
Position 15500: 0.14767834149253906
Position 11176: 0.14756652172960322
Position 15779: 0.14153461544976947
Position 18199: 0.13577901049181546
Position 7655: 0.12175141881135298
Position 4735: 0.11309044775587804
Position 18418: 0.07442454510022259
Position 16456: 0.0699923816405205
Position 664: 0.06465180775085477
Position 5362: 0.06257674314647302
Position 18481: 0.05442338265104702
Position 2606: 0.049371535243438104
Position 11165: 0.048196523864449316
Position 21183: 0.0440213888735417
Position 4279: 0.04356417062839613
Position 15815: 0.043299850144302626
Position 20694: 0.0353610192252124
Position 15784: 0.03389670855385066
Position 17951: 0.03283085579616966
Position 12467: 0.032578486741539146
Position 18290: 0.024099010280746413
Position 15541: 0.023850422783152542
Position 10501: 0.02216809952862852
Position 13197: 0.019678715443076512
Position 10957: 0.01807680666544014
Position 284: 0.011248927001778262
Position 16424: 0.010038486727447189
Position 18068: 0.009559728435225394
Position 12844: 0.008110066457866686
Position 20666: 0.0077444615210156146
Position 14736: 0.007668984177341161
Position 17383: 0.007636000045142219
Position 17963: 0.007634652513628392
Position 15155: 0.007161506794334501
Position 16777: 0.006607376814539283
Position 2898: 0.006092764895224248
Position 10141: 0.005448376239641695
Position 20201: 0.005424850172175649
Position 6682: 0.005148893859696145
Position 9702: 0.005046072814918301
Position 14188: 0.004784519101697488
Position 19805: 0.00420465355050275
Position 12965: 0.0041716530792209995
Position 9653: 0.0037854456355025067
Position 12551: 0.0026605682342773136
Position 14039: 0.002095798369810776
Position 11704: 0.00175623890773201
Position 2850: 0.001738451257828824
Position 25929: 0.0015124742663839388
Position 14120: 0.0013596222640981336
Position 14894: 0.0005798569125178702
Position 760: 0.0004942627130766676
Position 3366: 0.0004926765106009472
Position 15149: 0.00033578766084253926
Position 185: 0.00033474721087140127
