Gene = BEND5
index = 132
Annotated 5SS: [  313 15582 18019 34296 40680]
Annotated 3SS: [15447 17633 34146 40465 48874]
SMsplice 5SS: [  313   954  2536  3324  3859 10153 18019 23777 24789 30892 34296 40680]
SMsplice 3SS: [  756  2412  3118  3781 10083 17849 23647 24668 30804 34146 40465 48874]
top_k =  500
Partition function (log Z): -17.77450235081081

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9863911099039998
Position 3859: 0.8772505240722916
Position 954: 0.8096247399977309
Position 2536: 0.6153317876266128
Position 10153: 0.5952126320093418
Position 18019: 0.5722475638448105
Position 24789: 0.5318731794906584
Position 23718: 0.39951876707258854
Position 5281: 0.21682032912427138
Position 15582: 0.20600066582479065
Position 15609: 0.09265490124172349
Position 1366: 0.09165358018382413
Position 1432: 0.04605573210040745
Position 18999: 0.024136909384246473
Position 962: 0.02237545815892346
Position 2349: 0.01482610053351373
Position 2690: 0.0118678256970497
Position 3194: 0.009012419157281714
Position 4871: 0.007983777164927862
Position 945: 0.007933282467782925
Position 4132: 0.007613844938562201
Position 2284: 0.007582421300768474
Position 12589: 0.006449051431709646
Position 338: 0.00534896570495256
Position 4004: 0.005044491168188089
Position 812: 0.003596303144172309
Position 143: 0.002482563003721761
Position 195: 0.00214416480865555
Position 2234: 0.0017731292486750142
Position 1725: 0.0016707061518556109
Position 2238: 0.0016685710269441125
Position 2834: 0.0016370407460218684
Position 197: 0.0014113767315399287
Position 3578: 0.0013544866207060482
Position 2955: 0.001327143621445154
Position 2827: 0.0008939325497516712
Position 89: 0.0006632506159620997
Position 2304: 0.00043891700306758805
Position 550: 0.0004129747602925191
Position 2228: 0.00030811306273482997
Position 546: 0.0002888260957094155
Position 206: 0.0002863807327094681
Position 1323: 0.0002646672492415903
Position 2798: 0.0002606979691170889
Position 2725: 0.00022659718451337985
Position 147: 0.00020860408967791726
Position 3083: 0.00019827347163403364
Position 3569: 0.00018480670054138383
Position 646: 0.00018164963175272542
Position 574: 0.0001744210327407162
Position 1061: 9.016020445782471e-05
Position 642: 5.9765498048764836e-05
Position 1154: 3.9089821015833265e-05
Position 4067: 3.033278717329863e-05
Position 777: 2.548687360999069e-05
Position 4021: 2.380438821309842e-05
Position 764: 2.2507861306630943e-05
Position 140: 1.6482471962909966e-05
Position 1035: 1.590648723388368e-05
Position 99: 1.252074781974106e-05
Position 1387: 7.2255555979997425e-06
Position 120: 5.586486820020088e-06
Position 104: 5.347691617563156e-06
Position 4514: 4.3112067832058596e-06
Position 572: 4.224466558031342e-06
Position 4523: 3.762120018268387e-06
Position 900: 2.770940749032496e-06
Position 1247: 2.7566017690956787e-06
Position 2495: 2.599160584866552e-06
