Gene = PI4KB
index = 1025
Annotated 5SS: [  387  1486 12085 17447 20084 21522 24117 25464 25814 28850 33249 33640]
Annotated 3SS: [ 1283 11147 17401 19855 21293 24006 25358 25689 28583 33115 33518 34623]
SMsplice 5SS: [  387  2913 21522 24117 25464 25814 28850 33249 33640]
SMsplice 3SS: [ 2739 21293 24006 25358 25689 28697 33115 33518 34194]
top_k =  500
Partition function (log Z): 12.938844869374533

Sorted 5' Splice Sites (High to Low Probability):
Position 2913: 0.9990662508802785
Position 387: 0.9960011519049604
Position 25814: 0.9897423167217466
Position 25464: 0.9786078159150299
Position 33249: 0.8546173378977976
Position 24117: 0.8144144040248171
Position 33640: 0.8106084848386215
Position 28850: 0.7765700659286578
Position 21522: 0.5272179544960562
Position 34258: 0.4436846633977001
Position 17447: 0.3668972055909316
Position 32701: 0.31341452304778383
Position 12085: 0.2641503667031705
Position 21541: 0.25065596421824493
Position 21392: 0.1995939772175176
Position 34951: 0.09592652370149597
Position 34517: 0.0941701321603895
Position 33651: 0.08972238021766742
Position 15891: 0.0798890723932376
Position 34286: 0.07794878519844121
Position 8871: 0.07498732447836061
Position 32557: 0.07052817135167044
Position 33267: 0.06994278000587553
Position 17748: 0.054874979600669206
Position 33816: 0.05034634262341384
Position 33656: 0.04175764312968209
Position 33661: 0.029460652041046375
Position 33057: 0.02762202215742753
Position 29601: 0.026477782689737852
Position 33609: 0.024972796702359003
Position 28698: 0.024854227677407557
Position 21488: 0.022532104068181593
Position 29139: 0.02001383764458392
Position 25459: 0.015212316318874892
Position 34741: 0.01461285680491529
Position 17: 0.01230679543729534
Position 33042: 0.010991362517519757
Position 50: 0.010251294822723018
Position 2233: 0.009566071687957206
Position 29229: 0.009481816416152717
Position 2114: 0.009301025361457797
Position 28854: 0.008719369671929565
Position 34828: 0.007822079805345439
Position 34251: 0.0075485430280578985
Position 29035: 0.0074426367789350205
Position 28811: 0.007062749089667732
Position 27502: 0.00655531914910429
Position 35412: 0.006536468399925051
Position 1650: 0.006428376499915545
Position 28451: 0.005342762578899331
Position 34144: 0.0052363842488688805
Position 33446: 0.004158749182746247
Position 25513: 0.004065687372102832
Position 27358: 0.0038205523525943284
Position 33215: 0.0038150349726540998
Position 35089: 0.0035275233151051922
Position 1977: 0.0030086458265668995
Position 34624: 0.002615365568960519
Position 34781: 0.0024783095865148056
Position 28561: 0.0024622830410588126
Position 1486: 0.002254525017859693
Position 4888: 0.0020360354239105398
Position 33366: 0.00181333589462481
