Gene = YRDC
index = 1586
Annotated 5SS: [ 394 1085 1329 3884]
Annotated 3SS: [ 969 1208 3740 4187]
SMsplice 5SS: [ 394 1085 1329 3884]
SMsplice 3SS: [ 969 1208 3740 4187]
top_k =  500
Partition function (log Z): 3.7630124950791237

Sorted 5' Splice Sites (High to Low Probability):
Position 1085: 0.9951443836830778
Position 394: 0.9904101156789265
Position 3884: 0.9880208616600137
Position 1329: 0.9219770645774804
Position 2869: 0.0232886157369959
Position 3035: 0.020409537447534945
Position 1753: 0.019654921056770455
Position 4224: 0.010464435332935325
Position 4292: 0.005767147131018808
Position 1748: 0.005358542253197523
Position 840: 0.004991352658516402
Position 1739: 0.004865561056083003
Position 274: 0.004493814141646009
Position 1270: 0.00404145196700336
Position 797: 0.003509035198561704
Position 2612: 0.002230460708099359
Position 4001: 0.0022077994122635786
Position 362: 0.0019598032156135036
Position 4164: 0.0018125332182495804
Position 1453: 0.0013309400442625477
Position 1473: 0.0012534228623374232
Position 2388: 0.0012221773159669736
Position 2813: 0.0009438938029474269
Position 2605: 0.0007914990266783799
Position 2565: 0.0007352288827881715
Position 4502: 0.0006990410471725684
Position 4133: 0.0006839066304583483
Position 4061: 0.00046868214771722007
Position 4308: 0.0003506589345220757
Position 449: 0.0003244910535853768
Position 3422: 0.0003131672400926597
Position 4014: 0.0002669387122724132
Position 1476: 0.00025181668013185543
Position 18: 0.00022992617572136477
Position 1909: 0.0002244724517612872
Position 1034: 0.0002055648182964392
Position 22: 0.00020233818314022696
Position 3926: 0.00018925390634790413
Position 1104: 0.00018005004668836697
Position 2500: 0.00017043900465950126
Position 4104: 0.00015916276605136938
Position 4385: 0.00010460824244585095
Position 1384: 9.96533023982373e-05
Position 1094: 9.808850343627581e-05
Position 869: 9.349730841468823e-05
Position 3449: 9.156496981634872e-05
Position 2727: 8.467906959771452e-05
Position 3183: 7.219813345820955e-05
Position 1666: 7.189414878999023e-05
Position 2462: 7.165059994133468e-05
Position 2269: 6.974330808425154e-05
Position 4519: 6.0445224937155275e-05
Position 3902: 5.976234882029459e-05
Position 620: 4.9175457014298234e-05
Position 1089: 4.7078852402432756e-05
Position 3860: 4.6036148755122814e-05
Position 322: 4.525673967961952e-05
Position 745: 4.2858016933558866e-05
Position 4199: 3.288424710285381e-05
Position 4825: 3.0121160734033107e-05
Position 4456: 2.5761072330536657e-05
Position 4306: 2.1515536543271878e-05
Position 3888: 2.0215877515088868e-05
Position 4855: 1.9420607596917048e-05
Position 251: 1.5454742888050793e-05
Position 336: 1.4802754487503932e-05
Position 4571: 1.1768196514881905e-05
Position 4616: 1.071780454244642e-05
Position 4257: 9.563464650527723e-06
Position 529: 9.44825153178946e-06
Position 669: 8.733650723010853e-06
Position 626: 7.069673579288057e-06
Position 980: 5.2249041324519496e-06
Position 61: 5.138684000862262e-06
Position 442: 4.863950490813138e-06
Position 145: 3.887187123529929e-06
Position 609: 3.2480728128058827e-06
Position 1445: 2.9766736288492702e-06
Position 710: 2.7165719810979673e-06
Position 44: 2.7062243214018376e-06
Position 1106: 2.4685766336933043e-06
Position 56: 2.3922760131276903e-06
Position 1404: 2.30111582009254e-06
Position 7: 2.2641763066577356e-06
Position 545: 1.9827381403843844e-06
Position 248: 1.8453246052773206e-06
Position 1323: 1.834207696681646e-06
Position 895: 1.4103311863267363e-06
Position 114: 1.3657476627649084e-06
Position 386: 8.449168452717527e-07
Position 1025: 6.992260181646299e-07
Position 756: 5.727361563144158e-07
Position 1333: 4.601850115548513e-07
Position 93: 3.7733987997575676e-07
Position 906: 2.758806165065751e-07
Position 759: 2.3120863294776412e-07
Position 3965: 1.469272802071636e-07
Position 753: 1.3207519228066355e-07
Position 4073: 1.0730221041325128e-07
Position 3845: 8.339094548169561e-08
Position 986: 7.370146953649e-08
Position 1212: 6.195626442168598e-08
Position 377: 6.156116768163129e-08
Position 3834: 5.5187909606049644e-08
Position 3837: 5.420069283343453e-08
Position 3849: 4.451734981763299e-08
Position 3815: 4.446128203787535e-08
Position 4155: 4.842274467166721e-09
Position 257: 2.6955488987881803e-09
Position 1262: 1.2805682913037465e-09
Position 224: 1.8884649101898374e-10
Position 170: 5.272585029100299e-11
Position 978: 1.3594041865789869e-11
Position 320: 1.6619914154052898e-12
Position 493: 1.608652569267412e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 969: 0.986159118778578
Position 3740: 0.9698008074088907
