Gene = PCDHGB5
index = 1002
Annotated 5SS: [  2397  96738 107354]
Annotated 3SS: [ 96678 107264 112818]
SMsplice 5SS: [   228   7249  11494  12493  24978  57334  80419  85700  90731  93573
  96738 107354 110985]
SMsplice 3SS: [  7140  11381  12383  24810  57210  80265  85581  90559  93362  96678
 107264 110924 112818]
top_k =  500
Partition function (log Z): -45.19004758448501

Sorted 5' Splice Sites (High to Low Probability):
Position 11494: 0.9941205457926146
Position 12493: 0.8563754307662766
Position 7249: 0.7789107295695868
Position 16935: 0.6813137788693924
Position 6227: 0.6086898043039747
Position 228: 0.597328076718326
Position 22147: 0.40407290554234243
Position 693: 0.39360157778256577
Position 24978: 0.3463293940873305
Position 11950: 0.3102415232789151
Position 427: 0.23220883333476683
Position 2397: 0.2111962050314851
Position 15369: 0.2012026565899196
Position 15804: 0.19314413632123303
Position 11710: 0.18947743791821126
Position 22795: 0.15564979985023494
Position 23847: 0.1538542138168308
Position 22740: 0.11768920593690414
Position 11223: 0.11353184889796948
Position 16203: 0.08958519063463645
Position 15362: 0.08877385151052229
Position 255: 0.06806912692172384
Position 25533: 0.05325667524181433
Position 17484: 0.045892268345700586
Position 16653: 0.03572124692985257
Position 11909: 0.03504635320229585
Position 25808: 0.03198539835984404
Position 15874: 0.02859461987234834
Position 8466: 0.015605041772446647
Position 24009: 0.010657881087867483
Position 18580: 0.009208629869357395
Position 1623: 0.00897273057911687
Position 5033: 0.00896444020073581
Position 1758: 0.00820447059851547
Position 8505: 0.006969330325378283
Position 720: 0.005819014791442603
Position 8254: 0.0049936509014301906
Position 201: 0.004560756855391142
Position 12305: 0.004466268988711598
Position 11218: 0.004258342285802869
Position 15013: 0.0037126556917189326
Position 6088: 0.0027203449837415643
Position 11728: 0.0019357568400780597
Position 12010: 0.0017014238194998268
Position 88: 0.0007883578998870943
Position 354: 0.00037100279460612937
Position 13076: 0.0003572754312545041
Position 14070: 0.00033674214579575054
Position 1863: 0.000299954713233109
Position 11758: 0.00024100482135340446
Position 1998: 0.0002345928588527753
Position 11806: 0.00020584797120834231
Position 205: 0.0001892360401443913
Position 164: 0.00012547509639806396
Position 979: 0.00011376247904253841
Position 1131: 4.8428724198590295e-05
Position 562: 4.6984072815919645e-05
Position 1923: 2.9578444583752083e-05
Position 958: 2.933255776250639e-05
Position 360: 2.6544846790637944e-05
Position 506: 2.3307421225709975e-05
Position 135: 1.9851777517263026e-05
Position 465: 1.8165526351081443e-05
Position 171: 1.3393907196266055e-05
Position 431: 9.606827088514416e-06
Position 248: 6.070289487411325e-06
Position 565: 3.829844184356432e-06
Position 737: 3.2952429976398464e-06
Position 1068: 2.175513283881512e-06
Position 179: 1.351821505477321e-06
Position 304: 1.285760333680662e-06
Position 529: 7.34907900566212e-07
Position 138: 5.134167156671313e-07
Position 649: 2.8239964144352518e-08
Position 744: 2.230217579451585e-08
Position 45: 8.541529993436154e-12
Position 71: 5.1826584049721325e-12
Position 65: 8.16084785066989e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 24810: 0.8353739530321862
Position 11381: 0.7064828406303998
Position 12383: 0.59388635616713
Position 7140: 0.5610641284973196
Position 16767: 0.5149732024743194
