Gene = ASPM
index = 102
Annotated 5SS: [  554  2738  4364  6928 11599 13345 14410 16780 17508 18205 21649 21825
 22585 24307 24536 24780 28906 46264 50697 52611 53643 54788 55845 56499
 56765 58439 59892]
Annotated 3SS: [ 2593  2883  6822 11451 13098 14341 16637 17376 18028 21502 21738 22362
 24098 24392 24650 28710 41508 50529 52513 53432 54637 55652 56305 56609
 58261 59721 62267]
SMsplice 5SS: [   13   180   554  2738  4198  4364  6928 11599 14410 16780 17508 21649
 21825 22585 24536 24780 28906 50697 52611 53643 54788 55845 56499 56765
 58439 59892]
SMsplice 3SS: [   99   458  2593  4087  4264  6822 11451 14341 16637 17376 21502 21738
 22362 24456 24650 28710 50529 52513 53432 54637 55652 56305 56609 58261
 59721 62267]
top_k =  500
Partition function (log Z): 6.506339432248779

Sorted 5' Splice Sites (High to Low Probability):
Position 14410: 0.9996757784063647
Position 11599: 0.9875889398070004
Position 2738: 0.9844613539044109
Position 17508: 0.9574715194361825
Position 22585: 0.9503537167648383
Position 554: 0.9356593405637442
Position 16780: 0.9322224673170619
Position 4364: 0.9303441425938547
Position 28906: 0.8733118873434993
Position 24780: 0.869497998760775
Position 180: 0.8680589600344667
Position 24536: 0.8066798144132072
Position 21825: 0.6577054898925354
Position 4198: 0.6326800628907268
Position 21649: 0.5828549747802113
Position 5464: 0.5305571424750228
Position 18205: 0.3929241517315332
Position 21666: 0.3346058337803037
Position 4806: 0.2653863109450699
Position 30039: 0.1748867361778798
Position 3163: 0.1742632860351443
Position 24307: 0.1429423617772442
Position 13345: 0.13382412895737353
Position 17650: 0.13266876694702978
Position 24828: 0.1272650534542994
Position 30461: 0.09345485473356437
Position 16032: 0.09111178263409678
Position 24220: 0.08716422240355781
Position 37120: 0.08131550119766456
Position 17003: 0.06899438427044229
Position 28265: 0.058351698215621514
Position 12020: 0.057268181865862425
Position 293: 0.05465921499565329
Position 28590: 0.05345171395638504
Position 6932: 0.05148137417140415
Position 16036: 0.050346365823968404
Position 5122: 0.04956469666109099
Position 1988: 0.046799469579199796
Position 24027: 0.04146338878183078
Position 23470: 0.041302892568881935
Position 7936: 0.037301446875693804
Position 14887: 0.030322276869416666
Position 2178: 0.03021545013624043
Position 7437: 0.02664639347321094
Position 4694: 0.024709042376236754
Position 14083: 0.022999828327434888
Position 7048: 0.020534049379168865
Position 21839: 0.018435580256877852
