Gene = ATPIF1
index = 117
Annotated 5SS: [138 320]
Annotated 3SS: [ 227 1703]
SMsplice 5SS: [138 320]
SMsplice 3SS: [ 227 1703]
top_k =  500
Partition function (log Z): -4.224423994487987

Sorted 5' Splice Sites (High to Low Probability):
Position 138: 0.9919407895651271
Position 320: 0.9542722068448637
Position 1115: 0.04596105703561638
Position 626: 0.01586441044402505
Position 1637: 0.004111304048611993
Position 1437: 0.0031784099417802524
Position 796: 0.0024293625850333417
Position 824: 0.0019923736257503122
Position 271: 0.0016936905348602102
Position 99: 0.0006277255020339133
Position 862: 0.0005146231223783973
Position 1855: 0.00044707448468572227
Position 341: 0.00024451752726250056
Position 1846: 0.0001722189500364996
Position 34: 0.00016100856864143843
Position 1548: 0.00015569427985732314
Position 410: 0.00015427886588723733
Position 939: 0.00014435745608595602
Position 1013: 0.0001309091905661525
Position 1240: 0.00010523600176417394
Position 334: 7.641343523697025e-05
Position 1562: 7.216278241483453e-05
Position 153: 6.121407754687422e-05
Position 681: 5.466670453545214e-05
Position 914: 5.0619040975105874e-05
Position 92: 2.6811894115278846e-05
Position 557: 2.6388454395837985e-05
Position 629: 2.4780559805574082e-05
Position 1277: 2.1658203686212867e-05
Position 1661: 1.5479045886613094e-05
Position 57: 5.109956562903613e-06
Position 843: 4.739359292425768e-06
Position 151: 2.407757869985935e-06
Position 90: 3.3979000410298943e-07
Position 65: 8.94497543654948e-08
Position 458: 7.256380900656234e-08
Position 80: 5.108682332826766e-08
Position 494: 4.9552599950133336e-08
Position 658: 3.478926929381527e-08
Position 1159: 3.02962509442021e-08
Position 660: 2.5671339378615668e-08
Position 610: 7.163343757352113e-09
Position 196: 6.210175350390475e-09
Position 615: 3.976789079006584e-09
Position 237: 2.0344388817959504e-09
Position 543: 1.746070447590264e-09
Position 525: 1.6283032590791187e-09
Position 510: 1.3691624189109632e-09
Position 208: 1.035109734680369e-09
Position 227: 2.1707234762476098e-10
Position 399: 6.071648257201467e-11
Position 210: 2.9580126740381324e-11
Position 216: 2.7403711058241697e-11
Position 477: 3.877868635321818e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 227: 0.9624467713471012
Position 1703: 0.3647747756416074
Position 499: 0.17379072221887806
Position 936: 0.051620298945569486
Position 437: 0.050439618065984994
Position 1521: 0.04934703914279039
Position 1562: 0.047924927347942715
Position 752: 0.041591273254520035
Position 1013: 0.035919422215216504
Position 1942: 0.025252485225517686
Position 1401: 0.022381238073172015
Position 625: 0.02202015701159453
Position 1627: 0.021189800513186332
Position 1159: 0.021146106722476885
Position 1277: 0.020438066295677456
Position 208: 0.01636196494282013
Position 1436: 0.009921098929727843
Position 1297: 0.009556905822615031
Position 1710: 0.006557615848767176
Position 693: 0.006150051122413408
Position 969: 0.004788311324579978
Position 805: 0.004368177013939085
Position 1542: 0.004293085081370751
Position 1750: 0.004135927697415976
Position 458: 0.003937325031138241
Position 658: 0.003614193821045539
Position 1349: 0.0034183148681453477
Position 645: 0.0030766034228295533
Position 525: 0.0027629545072203553
Position 795: 0.002762713179393588
Position 1963: 0.0026664947722269397
Position 1483: 0.0025586667654636124
Position 1208: 0.0020332034229917847
Position 1636: 0.002006235537197927
Position 615: 0.0018686886955019406
Position 1897: 0.0018525598247746916
Position 1468: 0.0017928078938353304
Position 531: 0.001784957567479113
Position 1666: 0.0011117726825362498
Position 762: 0.0011086447135956869
Position 899: 0.0010261881637412744
Position 1072: 0.0007608499546776345
Position 1008: 0.0007371068276256005
Position 786: 0.0007095514664369886
Position 882: 0.0005897791462179868
Position 510: 0.0005771062695142643
Position 1770: 0.0005551923791179199
Position 1443: 0.0005536808242296944
Position 1105: 0.0005397021297597696
Position 1773: 0.0005118238096022007
Position 1164: 0.0005088301258832008
Position 267: 0.0003787307144650569
Position 1705: 0.0003518079966720025
Position 665: 0.00034354331098225446
Position 822: 0.0003184201889676527
Position 1485: 0.000237996522861184
Position 1865: 0.00023161200034597197
Position 233: 0.00012570996192528408
Position 939: 0.00012327822228495728
Position 1010: 0.00011505487446497226
Position 1753: 0.00010532434931271751
Position 1240: 8.747972916439182e-05
Position 1729: 8.432628046009678e-05
Position 1791: 7.951816120704846e-05
Position 824: 6.387407085013791e-05
Position 1649: 6.136974920532537e-05
Position 917: 3.516083832609708e-05
Position 287: 3.254798753818544e-05
Position 909: 3.0105367088167485e-05
Position 1591: 2.7329829864045638e-05
Position 1686: 2.4078205003049013e-05
Position 976: 1.491404741420976e-05
Position 346: 9.982423204324778e-06
Position 291: 9.165275631571637e-06
Position 296: 8.7477721247366e-06
Position 293: 1.0306802700792778e-06
Position 1017: 5.60962295682319e-07
Position 289: 5.107395950847689e-07
Position 166: 2.647215776536727e-07
Position 137: 6.373371511920844e-08
Position 828: 6.318570730351847e-08
Position 771: 2.6650297240298707e-08
Position 341: 2.083146490066675e-08
Position 324: 3.760350270434663e-09
Position 305: 3.3322385414151883e-09
Position 151: 2.703524243711577e-09
Position 303: 5.942292413599162e-10
Position 120: 4.352169462066549e-10
Position 103: 3.9935460615421485e-10
Position 114: 3.3281617011052575e-10
