Gene = BRK1
index = 143
Annotated 5SS: [  228 10117]
Annotated 3SS: [10033 10676]
SMsplice 5SS: [  228 10117]
SMsplice 3SS: [ 9966 10676]
top_k =  500
Partition function (log Z): -6.218319789466611

Sorted 5' Splice Sites (High to Low Probability):
Position 10117: 0.9640324970499462
Position 228: 0.9461758390734584
Position 751: 0.36500152345383685
Position 772: 0.1287993723703763
Position 1041: 0.05869283898186293
Position 10875: 0.04826842430982068
Position 842: 0.03577981161528309
Position 5296: 0.018903506411972096
Position 5898: 0.018767464716686777
Position 1945: 0.018393861158143263
Position 9917: 0.01281291375317401
Position 274: 0.008899584508201507
Position 358: 0.00630310140220434
Position 223: 0.002143935534196145
Position 131: 0.0019943421243131328
Position 591: 0.001808515392829175
Position 10687: 0.0014144191175937642
Position 3379: 0.0009952924290190885
Position 5132: 0.0007282876743631624
Position 3638: 0.00043987068687193246
Position 69: 0.0004021766241491183
Position 64: 0.0003322320253914205
Position 169: 0.0003302223384943438
Position 10914: 0.00029881030510809373
Position 11008: 0.00026831086703409546
Position 7700: 0.0002589355897627346
Position 6045: 0.00023075363970619884
Position 30: 0.00020896926594221092
Position 760: 0.00020606290734349208
Position 492: 0.0001864615424132076
Position 5616: 0.00018353600315626706
Position 6058: 0.0001712167083738892
Position 277: 0.00015821859093036883
Position 5623: 0.0001524140849561941
Position 1738: 0.00012896666890911272
Position 475: 0.00012851020717518413
Position 5178: 0.0001244913040571942
Position 410: 0.00011798515879902316
Position 4401: 0.00011415154840561906
Position 3039: 9.08170376323913e-05
Position 10: 8.749698270100235e-05
Position 794: 7.477390092645666e-05
Position 535: 6.093731975936675e-05
Position 1149: 4.199062983066178e-05
Position 888: 3.5421134617517246e-05
Position 14: 3.3454132703392175e-05
Position 338: 2.7717488190629533e-05
Position 532: 2.7081725228582155e-05
Position 397: 2.3963042562607295e-05
Position 519: 2.2389700298365774e-05
Position 571: 2.1011136254128608e-05
Position 331: 1.6334363208512328e-05
