Gene = PGBD5
index = 1019
Annotated 5SS: [  148 20752 26688 40538 44802 52336]
Annotated 3SS: [20323 26552 40356 44603 52229 54024]
SMsplice 5SS: [  148 20476 26688 40538 44802 52336]
SMsplice 3SS: [20323 26552 40356 44603 52229 54024]
top_k =  500
Partition function (log Z): -17.402650059668456

Sorted 5' Splice Sites (High to Low Probability):
Position 26688: 0.9930887983371683
Position 148: 0.9253952562894151
Position 20476: 0.5550831115041092
Position 27276: 0.30746960818356633
Position 20752: 0.2718282306311402
Position 8138: 0.21302738978374186
Position 20424: 0.17306174944128802
Position 624: 0.15542739608428743
Position 28765: 0.11919037203603228
Position 29042: 0.10294064806622627
Position 5630: 0.08320639884941201
Position 419: 0.07687427501749848
Position 10796: 0.0705688532892214
Position 4398: 0.06927479262056876
Position 30901: 0.06615937298274249
Position 1354: 0.05287494090877318
Position 7440: 0.04951489466784733
Position 1370: 0.047031948310300206
Position 27935: 0.04584596069741362
Position 27349: 0.03169732438927261
Position 12885: 0.03126699811227695
Position 29012: 0.025909697444434228
Position 29137: 0.01768579633874589
Position 27712: 0.01400415745116034
Position 27258: 0.012568252952866411
Position 13: 0.008219723393502064
Position 28927: 0.006798815890760577
Position 28884: 0.0065168207402260545
Position 30934: 0.0061827342903446394
Position 28084: 0.005050850460573837
Position 26950: 0.004236419041822353
Position 26652: 0.004157554356030566
Position 461: 0.003983661674676085
Position 27119: 0.003793738779470815
Position 27929: 0.0025483659818931596
Position 26715: 0.0022383966383391738
Position 27183: 0.0016635773279788275
Position 162: 0.0016587224414771136
Position 5317: 0.0014100310537938608
Position 27009: 0.0013485180887031203
Position 4917: 0.001071281184290798
Position 27326: 0.0010519192963651459
Position 28598: 0.0008900713636838063
Position 5195: 0.0006831084121943339
Position 2918: 0.0006682866309277586
Position 17: 0.00030050110586430723
Position 27653: 0.0002822849350755348
Position 26719: 0.00019636065523609357
Position 272: 7.956312885067995e-05
Position 376: 5.023335032382733e-05
Position 61: 3.262319434056077e-05
Position 364: 9.157240366222318e-06
Position 264: 1.4515005798806484e-06
Position 266: 1.4205748835515953e-06
Position 8: 1.3165274504004586e-06
Position 518: 1.1586511870710145e-06
Position 464: 8.535904811472774e-07
Position 204: 2.478546784682677e-07
Position 318: 1.2352862843109977e-07
Position 108: 1.2080060091325502e-07
