Gene = DUS4L
index = 475
Annotated 5SS: [  252   719  3229  7309  9864 11353 12635]
Annotated 3SS: [  629  3091  7186  9745 11229 12407 13354]
SMsplice 5SS: [  252  3229  7309 11353 12635]
SMsplice 3SS: [ 3091  7096 11127 12407 13354]
top_k =  500
Partition function (log Z): 4.303078259905318

Sorted 5' Splice Sites (High to Low Probability):
Position 12635: 0.9883944518259177
Position 3229: 0.9822458171203982
Position 7309: 0.8819178854684824
Position 11353: 0.6742578844227756
Position 252: 0.4687078259364716
Position 1042: 0.36378928459581594
Position 719: 0.35781381963959225
Position 1321: 0.33226020925627336
Position 9864: 0.28609978127116265
Position 11303: 0.2817817699069015
Position 1494: 0.26766193449588044
Position 894: 0.23004162842670728
Position 12928: 0.19938232225812247
Position 1326: 0.18931991717341268
Position 325: 0.18121730249269985
Position 7775: 0.17973237082949658
Position 3908: 0.14274283543122698
Position 6368: 0.07066482557570286
Position 102: 0.06606430110266982
Position 890: 0.056154322405989554
Position 2824: 0.05023070518407251
Position 706: 0.02696033928584077
Position 6364: 0.026012880890460693
Position 9926: 0.024395402502557874
Position 964: 0.01998137011379616
Position 11230: 0.019213200059816343
Position 6953: 0.018746490504520402
Position 13186: 0.018714377553686264
Position 3194: 0.016664041187348086
Position 11877: 0.014061513009880485
Position 9746: 0.012332204598308319
Position 394: 0.011262750683941879
Position 13537: 0.011248884456654064
Position 1214: 0.00931036046140327
Position 2724: 0.008935422544681573
Position 294: 0.008226008783548336
Position 8661: 0.0074690550488231925
Position 13152: 0.007144548322444549
Position 12323: 0.0062372560243413415
Position 446: 0.005971272826115183
Position 1554: 0.004776558313508692
Position 2779: 0.004447040095658637
Position 8763: 0.004405192499922908
Position 12025: 0.00438298002985121
Position 1105: 0.004348434517680701
Position 12015: 0.004034051245371039
Position 2786: 0.0038796518718802906
Position 1101: 0.0037186565980030645
Position 1951: 0.0034002444060553983
Position 349: 0.0023185538279897003
Position 6961: 0.0022048097977648666
Position 1359: 0.001575846574594946
Position 12646: 0.001525304849563498
Position 824: 0.0014891347782590308
Position 898: 0.0013401127354138464
Position 126: 0.001106465275908931
Position 2237: 0.0010243322722306295
Position 732: 0.0010084857950366179
Position 11247: 0.0009368805846826921
Position 13497: 0.0008832369347415617
Position 9685: 0.000826154873609087
Position 11294: 0.0006222123221295477
Position 3215: 0.00038787366553123435
Position 9440: 0.0003797834488988885
Position 12565: 0.0002530474079353033
Position 1000: 0.000217027724108143
Position 285: 0.00013210396100214882
Position 534: 9.105207404175232e-05
Position 695: 7.066929689110924e-05
Position 3300: 5.088682339574584e-05
Position 3576: 4.3871266821534906e-05
Position 499: 2.990009805774796e-05
Position 676: 1.2511634153286753e-05
Position 113: 1.136579678368253e-05
Position 518: 4.031282439638201e-06
Position 809: 1.9091524160701733e-06
Position 132: 1.855455612407383e-06
Position 168: 1.3325899231054236e-06
Position 482: 1.2262262485748875e-06
Position 387: 1.1776660068458095e-06
Position 567: 9.65096982488439e-07
Position 189: 7.824897317997162e-07
Position 12693: 7.82391896561384e-07
Position 266: 6.807279899515677e-07
Position 398: 3.3446650097465827e-07
Position 723: 2.6460606337358213e-07
Position 364: 2.554674804231843e-07
Position 232: 1.419686245059828e-07
Position 229: 1.2238906301556255e-07
Position 3200: 1.8108287534542824e-08
Position 418: 5.290174483718696e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3091: 0.99266233977937
Position 13354: 0.951645257313795
Position 12407: 0.8585420535193282
Position 11127: 0.6412309229809698
Position 7096: 0.6008621703567172
Position 1196: 0.4666329594481061
Position 807: 0.2786567192127096
Position 629: 0.275682735633019
Position 1391: 0.24302677360790415
Position 7186: 0.24042106278597145
Position 11189: 0.18585106339149005
Position 9745: 0.17489501183156592
Position 11229: 0.14972996092384486
Position 7649: 0.11909259086844332
Position 3796: 0.09637255622330582
Position 9624: 0.08088569132849474
Position 890: 0.07057955430104311
Position 9768: 0.06787284008557727
Position 2593: 0.06750695368435992
Position 12734: 0.06654105223169593
Position 12436: 0.06323463126385771
Position 893: 0.06197773779501029
Position 12802: 0.05922330499439747
Position 6197: 0.056566209789604215
Position 7531: 0.04948727203904161
Position 785: 0.04868122487498071
Position 1160: 0.0481365924124744
Position 12762: 0.040715418557913226
Position 12450: 0.03183603936975389
Position 963: 0.029848078578375393
Position 12383: 0.02789321662036226
Position 6875: 0.027188190025900786
Position 7198: 0.02658481429837086
Position 6279: 0.02553388411032427
Position 12790: 0.025405608924546665
Position 12868: 0.02136342632524848
