Gene = SHQ1
index = 1255
Annotated 5SS: [  283  4122  6201  7436 16112 24057 31251 33131 35810 55565]
Annotated 3SS: [ 4056  6077  7280 15998 23928 31095 33076 35685 55443 97643]
SMsplice 5SS: [  283  4122  7436 16112 24057 30552 31251 39413 40586 40829 55565 65512
 68357 81868]
SMsplice 3SS: [ 4056  7280 15998 23928 30432 31095 39297 40455 40672 55443 65340 68298
 81759 97643]
top_k =  500
Partition function (log Z): -21.128702345173814

Sorted 5' Splice Sites (High to Low Probability):
Position 16112: 0.9969429469180892
Position 31251: 0.9942922725145608
Position 7436: 0.9938733038777839
Position 24057: 0.9775488106534226
Position 4122: 0.9540172941846757
Position 40586: 0.8189246771182976
Position 39413: 0.6146957559436677
Position 40990: 0.5741482715166525
Position 132: 0.47933156775810876
Position 40829: 0.4055414662944854
Position 35810: 0.3931680147131939
Position 36697: 0.33137627573508055
Position 6201: 0.3103490951145412
Position 16287: 0.3036346609193565
Position 442: 0.2899972416493525
Position 4506: 0.2818652311002969
Position 26235: 0.2579475266192433
Position 13443: 0.23327193785182546
Position 26855: 0.22841027917388032
Position 6573: 0.19451735073628343
Position 39557: 0.18554204486731252
Position 40780: 0.18293950948186227
Position 28180: 0.17732353783676424
Position 4724: 0.16810066795005474
Position 40574: 0.16071127233986154
Position 4719: 0.15222501029444924
Position 44790: 0.13278286182886223
Position 16445: 0.10126362396485226
Position 29082: 0.1007397299733002
Position 1439: 0.09755958304799284
Position 44772: 0.09207610498809031
Position 13002: 0.09091875762215637
Position 45001: 0.0831352910768383
Position 8857: 0.07235815222405545
Position 21799: 0.06417662856056733
Position 244: 0.06266061864200428
Position 2519: 0.043894978494623794
Position 1607: 0.042263814576178824
Position 35852: 0.04138209936171841
Position 28304: 0.03944801310828057
Position 43495: 0.03491018449400913
Position 7763: 0.030123099516420705
Position 4838: 0.030025362086756588
Position 39624: 0.02714960047833293
Position 4510: 0.02475907071560465
Position 10578: 0.021795057669173255
Position 12574: 0.02158960361842333
Position 26290: 0.01896317432657394
Position 46548: 0.016147529087987354
Position 215: 0.015808266897869516
