Gene = GIMAP1-GIMAP5
index = 591
Annotated 5SS: [   23  2423  3739 21041 24260]
Annotated 3SS: [ 2373  3379 20836 24210 25514]
SMsplice 5SS: [   23  2423  3739 10259 21041 24260]
SMsplice 3SS: [ 2373  3599 10014 20931 24210 25514]
top_k =  500
Partition function (log Z): -9.37609459397735

Sorted 5' Splice Sites (High to Low Probability):
Position 10259: 0.995800910124893
Position 24260: 0.8727110795264179
Position 2423: 0.8688145754439501
Position 23: 0.8217885711902836
Position 3739: 0.5738761034644182
Position 13364: 0.38493075709750285
Position 1820: 0.2894921859178991
Position 6894: 0.2863391131305922
Position 3730: 0.2731607705559209
Position 6241: 0.20816899067635483
Position 2291: 0.1672888833731651
Position 2728: 0.1544118553585985
Position 6950: 0.07433356706969055
Position 288: 0.05430557983547115
Position 24472: 0.046626843369895
Position 9041: 0.04445667026160845
Position 2475: 0.042886670690883845
Position 174: 0.040069240006678095
Position 3492: 0.03669314385649695
Position 3552: 0.029194803577444108
Position 6635: 0.024367370687128173
Position 182: 0.023742005009469325
Position 1367: 0.022550142693948463
Position 420: 0.020301244896576906
Position 3889: 0.019271027237632198
Position 1805: 0.014992829711939232
Position 741: 0.01159240979764528
Position 2374: 0.00989176479664587
Position 445: 0.008784842192196055
Position 1320: 0.008696523442887237
Position 770: 0.006491879887935329
Position 3516: 0.006372635823316063
Position 1941: 0.005979441612446834
Position 2295: 0.005006742632024776
Position 6640: 0.004090658186404641
Position 718: 0.0032979038939670953
Position 1912: 0.0029576575534069663
Position 3701: 0.0019687420725839023
Position 2996: 0.001429291760568958
Position 191: 0.0012928427557038122
Position 6652: 0.0011302406472689275
Position 1968: 0.001088149649898274
Position 3832: 0.0010550170664875974
Position 246: 0.0006885603152422219
Position 2527: 0.0003652373099503431
Position 1422: 0.00035822470302397484
Position 3937: 0.00034322525678111743
Position 4024: 0.00032251342555652
Position 2723: 0.0003042048850497263
Position 651: 0.00028186878728539606
Position 2298: 0.00027713363795093306
Position 2591: 0.00023390934173108416
Position 6374: 0.0001979276742715252
Position 5703: 0.00018963016075626365
Position 3255: 0.00014882122647542076
Position 3629: 0.00014785234026348538
Position 3688: 0.00014426313573788631
Position 613: 0.00013921743984639758
Position 6222: 0.00013800481720718273
Position 831: 0.00011370621613599289
Position 6361: 0.00010688057058526619
Position 1476: 0.0001040188114427865
Position 4266: 8.752245613431411e-05
Position 3876: 8.462889937354346e-05
