Gene = GPR157
index = 616
Annotated 5SS: [  526 17895 23685]
Annotated 3SS: [17680 23489 24535]
SMsplice 5SS: [  526  1244  8907  9286 13200 16879 17895 23624]
SMsplice 3SS: [ 1099  8784  9092 13063 16787 17680 23528 26417]
top_k =  500
Partition function (log Z): -8.15729908353214

Sorted 5' Splice Sites (High to Low Probability):
Position 17895: 0.905456850730337
Position 526: 0.895261671453427
Position 9286: 0.8574113618994178
Position 23624: 0.826076424068504
Position 1244: 0.8093947970446548
Position 13200: 0.8012164131115177
Position 16879: 0.6807982016061874
Position 8907: 0.4916421744955874
Position 20883: 0.4037702426907889
Position 1509: 0.28833731455317135
Position 18284: 0.2754494628466233
Position 23892: 0.2639877306470323
Position 26492: 0.2630740229761958
Position 20927: 0.10905420445339808
Position 4228: 0.1040224755742625
Position 23685: 0.09830493757770403
Position 20644: 0.09167122629313323
Position 13904: 0.07528298433519291
Position 903: 0.04474454358708754
Position 6828: 0.04063031526301337
Position 26521: 0.03988178915029468
Position 24037: 0.03748979090671103
Position 8933: 0.03303926896886276
Position 8855: 0.026670289468696155
Position 24972: 0.02640909346753947
Position 23897: 0.025883990345602015
Position 23667: 0.022708895729675358
Position 9400: 0.02126394053881201
Position 969: 0.01813442809472957
Position 4232: 0.017996317968124467
Position 6900: 0.014413772457395047
Position 7120: 0.014413481387808492
Position 24045: 0.014172419884755818
Position 2867: 0.014121869904841228
Position 23998: 0.014103833579286311
Position 13420: 0.012252128435862646
Position 23619: 0.012244807250980832
Position 757: 0.011537341850265238
Position 13805: 0.010926690531026835
Position 23689: 0.01072961626879729
Position 7125: 0.009934046759025587
Position 3485: 0.009819615688081148
Position 16086: 0.00753058558809442
Position 24082: 0.0074460266378084915
Position 13884: 0.0071847277792949785
Position 4582: 0.006831423011440196
Position 24950: 0.00607522489002958
Position 20992: 0.006001342424599194
Position 2862: 0.005463340165280333
Position 1263: 0.005190099846076483
Position 23607: 0.004419793135431319
Position 3518: 0.004278561263280456
Position 24072: 0.004063434771404982
Position 6646: 0.0036390397356657255
Position 17946: 0.003488829853769903
Position 7110: 0.003296030675221431
Position 1289: 0.0032872040172665677
Position 6833: 0.0031485989254510004
Position 19702: 0.0031113732679947793
