Gene = TXNRD3NB
index = 1514
Annotated 5SS: [481]
Annotated 3SS: [590]
SMsplice 5SS: [481]
SMsplice 3SS: [590]
top_k =  500
Partition function (log Z): -7.7789321186100455

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.6170030378083406
Position 430: 0.3286174592429598
Position 734: 0.07333316162245886
Position 165: 0.06765449035817216
Position 249: 0.018726479469685656
Position 743: 0.0035388244307976973
Position 394: 0.0030641324259181937
Position 518: 0.0005183247546143915
Position 183: 0.0004435209673727032
Position 330: 0.00020158861564622464
Position 181: 0.0001688220728496099
Position 719: 0.00015498506415068694
Position 485: 0.00011695144286220998
Position 423: 0.00011199748178331213
Position 263: 9.852581471748138e-05
Position 462: 4.975026742932615e-05
Position 591: 1.6993622168942286e-05
Position 510: 1.0621251789971004e-05
Position 358: 1.216036029004717e-06
Position 271: 1.1859373225887527e-06
Position 17: 3.452926071086767e-07
Position 741: 2.975878956084012e-07
Position 224: 3.894363582798752e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9298706431778356
Position 812: 0.07594137603757116
Position 566: 0.04839368311248849
Position 344: 0.03216553194365941
Position 530: 0.01703779620201441
Position 347: 0.0018916996589316872
Position 833: 0.0014263576408167305
Position 773: 0.0013473631749117497
Position 350: 0.000918619127055016
Position 597: 0.0006850479310044511
Position 260: 0.0006553341286469253
Position 282: 0.0006460478683992026
Position 619: 0.00040760416251813935
Position 271: 0.00038984470114769316
Position 507: 0.0002794634868587644
Position 243: 0.00021791960570222295
Position 649: 0.00019141130873271797
Position 423: 0.00018819665266097622
Position 310: 0.00015520212563960778
Position 248: 0.00014838136805960677
Position 371: 0.00012364276233191854
Position 510: 0.0001020764926331857
Position 622: 9.32285162128914e-05
Position 571: 8.955838811434761e-05
Position 542: 7.95283021766343e-05
Position 471: 7.510421989530686e-05
Position 670: 6.68524159236872e-05
Position 755: 6.055647185395314e-05
Position 840: 3.4628220789904874e-05
Position 380: 3.3438895324352553e-05
Position 284: 2.4349260683225437e-05
Position 325: 2.429442002529065e-05
Position 321: 1.3384029951275866e-05
Position 369: 1.2897345351771346e-05
Position 393: 1.2684591367493851e-05
Position 290: 6.74729540797301e-06
Position 384: 5.180437764002344e-06
Position 628: 3.5996745836114674e-06
Position 695: 2.2175738426340257e-06
Position 455: 1.8867151903817013e-06
Position 656: 1.5047727055276032e-06
Position 428: 1.1844906356135255e-06
Position 631: 1.0891934178459638e-06
Position 538: 8.330854116146864e-07
Position 399: 7.830976662520414e-07
Position 302: 6.447638860327456e-07
Position 386: 6.16421339500804e-07
Position 292: 6.131555535360275e-07
Position 551: 5.14214855032689e-07
Position 438: 3.932985934282077e-07
Position 434: 3.3794139536035513e-07
Position 731: 2.485192834791156e-07
Position 706: 2.356898153094459e-07
Position 709: 1.4075378691521225e-07
Position 440: 6.540967876616748e-08
Position 219: 5.900453793599756e-08
Position 444: 4.1459329497551034e-08
Position 451: 2.5035080056523767e-08
Position 715: 9.637161044399677e-10
Position 86: 8.371281694894637e-10
Position 82: 4.2671162736500426e-11
Position 88: 6.9918114959226534e-12
Position 221: 2.0017358237726412e-12
Position 149: 1.0144689038873654e-12
Position 115: 3.871566246534649e-13
Position 112: 2.816594122733863e-13
Position 125: 2.7394848764446655e-13
Position 181: 2.2584971065434846e-13
Position 138: 1.9689045715958393e-13
Position 146: 1.7193052620022936e-13
Position 131: 1.164064834918423e-13
Position 161: 1.071064567265786e-13
Position 169: 6.14426830183819e-14
Position 110: 5.72724479313002e-14
Position 106: 5.041212780114161e-14
Position 97: 1.2526857950558921e-14
Position 143: 1.25048305052169e-15
