Gene = FAM120AOS
index = 523
Annotated 5SS: [1446 3114]
Annotated 3SS: [2992 5894]
SMsplice 5SS: [ 853 3114]
SMsplice 3SS: [2992 5894]
top_k =  500
Partition function (log Z): -11.451934440835993

Sorted 5' Splice Sites (High to Low Probability):
Position 853: 0.7609993478802455
Position 1702: 0.3023601331807348
Position 1446: 0.29617539256579795
Position 321: 0.10401293997777197
Position 6335: 0.09145066448829146
Position 5789: 0.07043529522656229
Position 3105: 0.06277794157295691
Position 6045: 0.06020283028208377
Position 3076: 0.033598500705538076
Position 769: 0.019101528476180355
Position 366: 0.01879376712203223
Position 3906: 0.008409696196548177
Position 3310: 0.004693795224016342
Position 5224: 0.004364529500840389
Position 2592: 0.004294453387298953
Position 207: 0.0035103233573713774
Position 2505: 0.0024196969722665167
Position 228: 0.0024172615673412508
Position 254: 0.002281762758300388
Position 5463: 0.0012946204437580748
Position 212: 0.0011898030228436178
Position 551: 0.0011534029015364583
Position 2598: 0.0011220236120572556
Position 6685: 0.0010763174029371485
Position 3176: 0.001020777183132593
Position 543: 0.0009513884858499427
Position 3118: 0.000863230184225653
Position 1156: 0.0005343043560857803
Position 3954: 0.0005339437005957496
Position 3198: 0.0004319407121966181
Position 2851: 0.0003269817336145189
Position 262: 0.0002621833461631237
Position 1285: 0.00020613901845818947
Position 639: 0.00019968756442521478
Position 1239: 0.00019204781827602974
Position 128: 0.00017409118206656047
Position 421: 0.00013288066948737918
Position 936: 7.082334682059196e-05
Position 1458: 5.567576022655729e-05
Position 833: 5.0017772743006796e-05
Position 348: 4.427134692888152e-05
Position 130: 4.308773002787391e-05
Position 1512: 3.6098687061936985e-05
Position 1485: 3.466228923981601e-05
Position 243: 2.718023702692611e-05
Position 601: 2.1679860170705483e-05
Position 846: 2.1338595611173698e-05
Position 505: 1.853210766315822e-05
Position 90: 1.5148699577303305e-05
Position 103: 1.303114515432842e-05
Position 962: 8.593918437781918e-06
Position 409: 5.58950546424482e-06
Position 669: 4.195660394609758e-06
Position 510: 3.797187011867679e-06
Position 42: 2.6435189205803355e-06
Position 278: 6.976347832336785e-07
Position 424: 6.219417805762435e-07
Position 383: 4.825194327184426e-07
Position 857: 5.636380615997802e-08
Position 167: 7.251340708664436e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5894: 0.7451894379009995
Position 1364: 0.20014680310762098
Position 1586: 0.19398424525538546
Position 6488: 0.15355916799840078
Position 2992: 0.10350091807700486
Position 1541: 0.07113668997671647
Position 5685: 0.042254787121463654
Position 6173: 0.042141204532693016
Position 6798: 0.028336307847639255
Position 731: 0.020820231687645525
Position 1850: 0.020158094947014937
Position 5760: 0.019195932558757386
Position 6096: 0.017852825301157175
Position 6457: 0.01773593585898624
Position 6206: 0.01568138457520346
Position 1601: 0.014749700512668386
Position 5742: 0.013099609452259237
Position 5102: 0.012175309348977086
Position 6438: 0.01086670367492188
Position 3803: 0.010514949229026549
