Gene = GOLGB1
index = 608
Annotated 5SS: [  124 18880 19891 20568 22843 27494 30110 31368 33019 34895 47275 49944
 56015 59086 68069 72471 72863 80544 81695 82280 84830]
Annotated 3SS: [18781 19737 20414 22713 27376 30001 31253 32615 34778 47159 49869 50825
 57173 67889 72304 72724 80399 81596 82144 84723 85140]
SMsplice 5SS: [  124 18880 19891 22843 29921 30110 31368 31763 33019 34895 49944 57238
 68069 72471 72863 80544 81695 82280 84830]
SMsplice 3SS: [18781 19737 22713 29815 29986 31253 31618 32615 34778 49869 57173 67889
 72304 72724 80399 81596 82144 84723 85140]
top_k =  500
Partition function (log Z): -7.105358108396254

Sorted 5' Splice Sites (High to Low Probability):
Position 34895: 0.9997083730751498
Position 22843: 0.9985315551472966
Position 31368: 0.9837610878458178
Position 30110: 0.9523908505146071
Position 31763: 0.8758609886917296
Position 29921: 0.7289191347841776
Position 19891: 0.7220412601102468
Position 33019: 0.7184273469922445
Position 124: 0.6528124544121754
Position 57238: 0.6081205442474845
Position 11120: 0.5583526761009379
Position 20568: 0.5397671508797145
Position 18880: 0.514325190001501
Position 9710: 0.5134983067378219
Position 18908: 0.4833457607893995
Position 41977: 0.45304304099546555
Position 24725: 0.45169098240811356
Position 395: 0.38228931979406267
Position 25794: 0.3453207140942279
Position 51055: 0.29443432580741424
Position 20841: 0.2762756531326511
Position 30911: 0.24728697768669441
Position 32133: 0.21743471495655678
Position 2005: 0.2142193787934405
Position 24080: 0.21179368893924524
Position 23583: 0.1470739335548265
Position 33497: 0.13907924838229702
Position 13934: 0.09511915304060437
Position 4684: 0.09031599438326983
Position 31989: 0.08346938462226466
Position 30941: 0.06390332448131139
Position 9164: 0.06275456942160473
Position 32831: 0.061739165576717575
Position 859: 0.05902643251883355
Position 21938: 0.05698778820640885
Position 25777: 0.048497835810059516
Position 35880: 0.0382008221318401
Position 746: 0.036712269989585156
Position 20833: 0.03402399573456835
Position 21987: 0.0310769572561721
Position 24544: 0.030163634966220508
Position 30070: 0.029722617947367413
Position 30441: 0.025883035484394412
Position 30947: 0.02109716720591745
Position 9454: 0.01616815844658992
Position 30907: 0.014907382707370711
