Gene = ZMPSTE24
index = 1603
Annotated 5SS: [  288  2879  9766 10429 12021 13929 23421 27923 32891]
Annotated 3SS: [ 2731  9678 10311 11867 13786 23235 27817 32746 34337]
SMsplice 5SS: [  288  2879  9151  9401  9766 10429 12021 13929 23421 27923]
SMsplice 3SS: [ 2731  9035  9283  9678 10311 11867 13786 23235 27817 34337]
top_k =  500
Partition function (log Z): 8.359423883327679

Sorted 5' Splice Sites (High to Low Probability):
Position 13929: 0.9999989660066634
Position 9766: 0.995234196793491
Position 23421: 0.9940455287937751
Position 2879: 0.9499275766150979
Position 9401: 0.9465470514014935
Position 27923: 0.9411128342907139
Position 10429: 0.908139946829611
Position 288: 0.7685467335070602
Position 12021: 0.7077688624405386
Position 9151: 0.6557083516530736
Position 13664: 0.5933841423579974
Position 22206: 0.44052378368599837
Position 22897: 0.3051466675559701
Position 32891: 0.286884504511923
Position 24766: 0.22758661106965733
Position 463: 0.2109872504999205
Position 18123: 0.15458068330898198
Position 4770: 0.1122691468024785
Position 10233: 0.07583212664388653
Position 4877: 0.07398628729804986
Position 7804: 0.07384512849389908
Position 2417: 0.0738361235335857
Position 8511: 0.07012465126907352
Position 10031: 0.06409362766503955
Position 10229: 0.058446193378395635
Position 3091: 0.05798483064948787
Position 217: 0.03491257571389237
Position 10084: 0.03242320008064173
Position 7839: 0.026676219979130784
Position 6983: 0.019990618335369928
Position 25622: 0.019617567881758346
Position 21511: 0.019483060998323448
Position 10013: 0.01790238414485483
Position 10561: 0.014634121293116897
Position 254: 0.014628914640864613
Position 119: 0.014625588060482043
Position 21377: 0.014046237831479366
Position 5831: 0.01355557274899428
Position 9992: 0.013476118533784023
Position 4635: 0.012475983165413243
Position 34300: 0.01235559544985093
Position 12065: 0.012160628749577912
Position 4991: 0.011622481763773474
Position 19467: 0.010421370608696207
Position 13101: 0.009678170512770787
Position 10756: 0.009453382511799151
Position 22877: 0.008949037290132645
Position 24381: 0.008934284366626058
Position 6538: 0.008917320591019361
Position 28197: 0.008618735322552315
Position 1647: 0.008408033222198366
Position 31772: 0.00791717894319363
Position 2542: 0.007770681374743858
Position 13690: 0.0060002322083385845
Position 2614: 0.005652373818760283
Position 24638: 0.005487978444986122
Position 28245: 0.004769763205029277
Position 24578: 0.004056482440839695
Position 10657: 0.003923150714994672
Position 2532: 0.003915019432487461
Position 43: 0.003859852936061983
Position 28550: 0.0038408886541382564
Position 910: 0.0038400250916169132
Position 12781: 0.0035607083434790734
Position 2610: 0.003035599081975915
Position 21506: 0.002839530070554017
Position 11480: 0.002837111753924843
Position 2883: 0.0027694038864490658
Position 115: 0.0027342440861644174
Position 11671: 0.0026676934567568577
Position 173: 0.0026327755088911796
Position 2097: 0.0025081102947635938
