Gene = FAIM
index = 522
Annotated 5SS: [   87 12689 13566 20306]
Annotated 3SS: [12555 13336 20255 24078]
SMsplice 5SS: [   87 10920 12689 13566 20160 20306 23586]
SMsplice 3SS: [10782 12555 13336 20046 20255 23469 24078]
top_k =  500
Partition function (log Z): -2.2449493124857334

Sorted 5' Splice Sites (High to Low Probability):
Position 20306: 0.9743227883187213
Position 12689: 0.9148328281778569
Position 87: 0.6883506668991903
Position 13566: 0.6758961728076855
Position 20160: 0.5414112288083642
Position 23586: 0.4772472057553809
Position 20486: 0.3446557214178462
Position 13542: 0.300835309308063
Position 6597: 0.19343075965935483
Position 269: 0.14219663218863202
Position 1562: 0.1369188987172819
Position 23743: 0.13465158306445024
Position 385: 0.12635743158851942
Position 20181: 0.08729350382701062
Position 20867: 0.08540551145240832
Position 14995: 0.04216427158843284
Position 22801: 0.03149312649771943
Position 15509: 0.0241012373239634
Position 19519: 0.023625941499007437
Position 284: 0.020830989151433214
Position 23761: 0.020707687360754734
Position 296: 0.015200469031644586
Position 15725: 0.01301212311277345
Position 21505: 0.01183934164575081
Position 14796: 0.01181282249780476
Position 23090: 0.010927196906565875
Position 20620: 0.010233958951413127
Position 1104: 0.009429615773908388
Position 20481: 0.008681787048230947
Position 22602: 0.008101156809028584
Position 20654: 0.008037117474811015
Position 23631: 0.007472101609729704
Position 13674: 0.006801355817514217
Position 16978: 0.006610288483684436
Position 24277: 0.005469034382752035
Position 2187: 0.005071068750610362
Position 18893: 0.004250085877949795
Position 22768: 0.0040583845077507685
Position 7304: 0.0035103373910155304
Position 5726: 0.0026064459720601496
Position 379: 0.0025391901624634704
Position 18997: 0.0021545019060462923
Position 890: 0.0016918469754899667
Position 6655: 0.0013268022887897477
Position 19054: 0.00119287105981575
Position 20286: 0.0011194811938389675
Position 18753: 0.0010602182488247487
Position 14658: 0.0010404795856132467
Position 2235: 0.0008418057008503725
Position 13526: 0.0008132736609516471
Position 4447: 0.0008046283793766744
Position 9274: 0.0007913588095453844
Position 17052: 0.0007607278536722911
Position 15413: 0.0006890318606559245
Position 265: 0.000562117758022382
Position 20572: 0.00043182964257691377
Position 423: 0.00024191871028271013
Position 109: 0.0001659377961987964
Position 1051: 2.7554376774938578e-05
Position 328: 2.2222985294250894e-05
Position 104: 2.066804846251294e-05
Position 13570: 1.7694479587362028e-05
Position 20474: 1.4415213658571577e-05
Position 13489: 1.2360569018926104e-05
Position 45: 3.7128192678315305e-06
Position 13753: 2.9642196742617738e-06
Position 602: 1.260168937160477e-06
Position 37: 6.01008744074965e-07
Position 590: 1.295299428900296e-07
Position 604: 7.395154201497748e-08
Position 254: 6.582605181243212e-08
Position 527: 5.611833012845412e-09
Position 113: 1.431139974397952e-09
Position 805: 1.0691523352615189e-09
Position 814: 1.041072830366414e-09
Position 115: 6.319137220798456e-10
Position 40: 4.541162289686723e-10
Position 23: 2.3063376221198442e-10
Position 256: 1.2750973554811041e-10
Position 192: 1.0774383683898717e-11
Position 300: 3.397422490731448e-12
Position 486: 2.812745273736697e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 13336: 0.9836599346902639
Position 20255: 0.9078904673532704
Position 12555: 0.8196026952113862
Position 24078: 0.7886992945795303
Position 23469: 0.5507129286683401
Position 20046: 0.4791721417098461
Position 20383: 0.28331847867263993
Position 6566: 0.15622382302019203
Position 20087: 0.12365160183395642
Position 23506: 0.11773827060458648
Position 20736: 0.10055033134454817
Position 12567: 0.0952301329664705
Position 20026: 0.08521906899760313
Position 1344: 0.06757286133555232
Position 23521: 0.06592999300775046
Position 20470: 0.03655103821311486
Position 22639: 0.03512924713214821
Position 20220: 0.03228853999121854
Position 1440: 0.028598393262692753
Position 14905: 0.025057232409723622
Position 22924: 0.024105709090771456
Position 19316: 0.023625941499007437
Position 15412: 0.021493933174910784
Position 6423: 0.0204379676232719
Position 6348: 0.018095771304680697
Position 20762: 0.015727111063470186
Position 14938: 0.015068830802810846
Position 23853: 0.013042952996970114
Position 14535: 0.012985926731201256
Position 15468: 0.012725551562587577
Position 20427: 0.012585980496400882
Position 1455: 0.012414018027779538
Position 23818: 0.011946819517570872
Position 20450: 0.011945626147014663
Position 20617: 0.008848504029052443
Position 20403: 0.008677321237130282
Position 22458: 0.008658389022853444
Position 1179: 0.007945856997833435
Position 21404: 0.007833763977079878
