Gene = UCN2
index = 1526
Annotated 5SS: [71]
Annotated 3SS: [636]
SMsplice 5SS: [71]
SMsplice 3SS: [636]
top_k =  500
Partition function (log Z): -9.42794678670027

Sorted 5' Splice Sites (High to Low Probability):
Position 71: 0.8938820966439883
Position 657: 0.29009954297901186
Position 1465: 0.02340110502638937
Position 1309: 0.014187666294487006
Position 110: 0.008125683574880239
Position 86: 0.005297351510216057
Position 1673: 0.004265445532677417
Position 1155: 0.0037332533698254656
Position 81: 0.002612448410626617
Position 1692: 0.0024119489784391627
Position 126: 0.0019262352874490243
Position 1698: 0.0017631497909217763
Position 65: 0.0012063336528675265
Position 1314: 0.00101784500004922
Position 973: 0.0004991657744068615
Position 1644: 0.0004683931696631349
Position 321: 0.0003333788226891663
Position 121: 0.00021363030625111418
Position 813: 0.00012428597499835312
Position 5: 0.00011186622657383407
Position 679: 0.00010990832067106592
Position 305: 9.645448649927647e-05
Position 712: 8.932960867786355e-05
Position 1189: 8.76025560413064e-05
Position 687: 8.471518957053275e-05
Position 101: 7.639272110817882e-05
Position 345: 1.765484853714395e-05
Position 279: 1.760369610764146e-05
Position 1008: 1.5422401091401715e-05
Position 212: 1.1486958971580959e-05
Position 327: 1.1468071226414961e-05
Position 524: 9.482445304287419e-06
Position 472: 7.445478723061828e-06
Position 273: 4.055942096874205e-06
Position 115: 2.924855569420997e-06
Position 271: 2.698514504136727e-06
Position 703: 2.373511306455651e-06
Position 262: 2.1572902273546513e-06
Position 309: 1.4362312666240401e-06
Position 1119: 1.3855307606803768e-06
Position 1088: 1.3078857511710919e-06
Position 450: 7.69743142892944e-07
Position 697: 6.882111199055004e-07
Position 1002: 5.39293361253978e-07
Position 400: 2.604118354104915e-07
Position 486: 1.2778971124371882e-07
Position 416: 7.614684342176656e-08
Position 8: 6.502529774071685e-08
Position 659: 6.370561552476221e-08
Position 526: 6.352147179031101e-08
Position 554: 3.0213157611047584e-08
Position 392: 1.9273291405970282e-08
Position 595: 1.8437681252859128e-08
Position 430: 1.540690570125864e-08
Position 669: 1.4153706450824938e-08
Position 331: 2.6613168817801967e-09
Position 575: 1.633737952316219e-11
Position 581: 4.8361682713087346e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 636: 0.40581244077040524
Position 735: 0.2194690457303933
Position 900: 0.13634817224513
Position 1272: 0.09806312937975864
Position 345: 0.08718936808623674
Position 1356: 0.06896850201506595
Position 747: 0.04870999829940447
Position 595: 0.03567864667041911
Position 1408: 0.03217909019678305
Position 225: 0.015731417146051356
Position 1804: 0.015654226412894177
Position 759: 0.011293783545950306
Position 1537: 0.00793910220319228
Position 1541: 0.007666191333462743
Position 784: 0.00704311665685485
Position 1480: 0.006225664171513583
Position 1362: 0.005753512591237559
Position 1313: 0.005702236863553588
Position 1750: 0.0056791730082524595
Position 192: 0.004430933799644628
Position 1553: 0.004341105660908386
Position 154: 0.0033618765353112937
Position 1293: 0.002684641413228097
Position 1154: 0.002468706214560202
Position 1582: 0.0024641782812649237
Position 1086: 0.0024235655463708174
Position 1387: 0.0022004753400979276
Position 1947: 0.001747434476174242
Position 656: 0.001160713890616089
Position 712: 0.001123600782413139
Position 825: 0.0010126454287790261
Position 1117: 0.0006440510783794078
Position 1464: 0.0006255073853201781
Position 695: 0.0006159178531436284
Position 1907: 0.0005551541998698239
Position 1181: 0.000540923219717809
Position 1825: 0.0004687258238234526
Position 1770: 0.00041961409420453535
Position 1815: 0.00038052991172432744
Position 1990: 0.0003551461944569656
Position 1987: 0.0003442095557486033
Position 1690: 0.00029011020705796696
Position 1202: 0.00016505229859934353
Position 141: 0.00015503815150373182
Position 2010: 7.806725294051502e-05
Position 836: 4.0184719585459646e-05
Position 603: 3.297787603145084e-05
Position 1164: 3.187534754181279e-05
Position 1622: 1.8358705395248546e-05
Position 618: 1.113722643402524e-05
Position 1046: 8.692965394978836e-06
Position 1225: 8.090243818054151e-06
Position 1189: 7.033157818751472e-06
Position 1411: 2.8690289378869915e-06
Position 605: 2.4249477185738453e-06
Position 1602: 2.2524785623654168e-06
Position 1246: 1.8833336818432962e-06
Position 1183: 1.566767518726945e-06
Position 1054: 1.1473737377294215e-06
Position 1033: 9.39053050850968e-07
Position 1446: 5.565597828969932e-07
Position 232: 1.0592943664506224e-07
Position 245: 4.924234115421293e-08
Position 74: 7.22370999213236e-13
Position 115: 6.320101813078409e-13
Position 99: 3.9776675237321275e-13
Position 109: 3.085703669861373e-13
