Gene = SH2D5
index = 1251
Annotated 5SS: [ 356 4579 5014 5536 6617 8141 8454 8911 9781]
Annotated 3SS: [ 4449  4932  5460  6469  7900  8284  8801  9620 10540]
SMsplice 5SS: [ 180  533 4579 5014 5536 6617 8141 8454 8911 9781]
SMsplice 3SS: [  264  4449  4932  5460  6469  7900  8284  8801  9620 10540]
top_k =  500
Partition function (log Z): 5.144866400860398

Sorted 5' Splice Sites (High to Low Probability):
Position 9781: 0.9488112442415622
Position 8911: 0.9167258072705149
Position 8454: 0.8455317350225343
Position 4579: 0.8067714548638996
Position 180: 0.6670685773352576
Position 6617: 0.6545934408234582
Position 5014: 0.6542508394014069
Position 533: 0.51022064315942
Position 8141: 0.42302914144618947
Position 753: 0.35648444227538006
Position 5536: 0.333660722726062
Position 356: 0.2930745975129405
Position 5558: 0.2800824674217974
Position 1089: 0.27435258144718866
Position 3204: 0.2590237221793244
Position 5873: 0.23715665846844763
Position 8188: 0.2299147416841761
Position 5531: 0.22481334452076998
Position 8129: 0.13318846153682942
Position 2016: 0.12473192888786759
Position 5068: 0.11378751170495223
Position 6063: 0.1006287301472604
Position 8009: 0.10050842651220407
Position 9078: 0.09627455353521182
Position 4257: 0.08348099515741823
Position 100: 0.0807537580485519
Position 8384: 0.0787792722931003
Position 7608: 0.07070961890054815
Position 1653: 0.06779413417951448
Position 4557: 0.05846009722978165
Position 383: 0.05226848457188439
Position 3093: 0.04925014485632597
Position 63: 0.04757380055354648
Position 5878: 0.046389174814910845
Position 6681: 0.04423389350613745
Position 1791: 0.0440470318041672
Position 8045: 0.04119589120063231
Position 6058: 0.04098801815173918
Position 2010: 0.03561231465742902
Position 1810: 0.030046630752866645
Position 573: 0.024883586907116506
Position 8532: 0.02476901795936394
Position 2155: 0.0211943763163879
Position 394: 0.016718438529719503
Position 8526: 0.01151384795792512
Position 10748: 0.011267900588567897
Position 7820: 0.01121443582766998
Position 1835: 0.009930291258806937
Position 4602: 0.007624936897515487
Position 8357: 0.007461379929936931
Position 10116: 0.007318088745046823
Position 5976: 0.0071099195157473954
Position 105: 0.006626212368540839
Position 5848: 0.006576134991448403
Position 184: 0.0053485250823476806
Position 1747: 0.004406315149140809
Position 7718: 0.004373870063853856
