Gene = GS1-114I9.3
index = 623
Annotated 5SS: [   57  3896 49674]
Annotated 3SS: [ 3634 49497 49930]
SMsplice 5SS: [   57 17709 49674]
SMsplice 3SS: [17604 49497 49930]
top_k =  500
Partition function (log Z): -28.692116492191694

Sorted 5' Splice Sites (High to Low Probability):
Position 57: 0.9616063653130902
Position 17709: 0.2643057878460195
Position 7256: 0.08067189793421436
Position 13687: 0.029352331693454713
Position 663: 0.026404278355366986
Position 3747: 0.014359307209556332
Position 3568: 0.011607949458771638
Position 7671: 0.010480780594779922
Position 3896: 0.010248247447998087
Position 5069: 0.009622037684939692
Position 3776: 0.005912995812542773
Position 8236: 0.005725225159257231
Position 9265: 0.004804086811391135
Position 157: 0.003797446548675248
Position 7415: 0.00280384038876164
Position 419: 0.0026250052972568608
Position 9422: 0.0026069344326972786
Position 163: 0.0025902289997841157
Position 3071: 0.001906415664765751
Position 5409: 0.0014425337899550599
Position 3578: 0.0013573293244674817
Position 6640: 0.001164886214729345
Position 7685: 0.00102654654416771
Position 503: 0.00091732747779754
Position 145: 0.0009152508975834872
Position 3207: 0.0008919990704873407
Position 8137: 0.000885979388922618
Position 8240: 0.0008498677669626494
Position 6680: 0.000842659060617982
Position 6697: 0.0008290511206021101
Position 1117: 0.00047614105400479745
Position 7632: 0.0004300396781725152
Position 536: 0.0003116761437466699
Position 1717: 0.00023550814642148694
Position 896: 0.0001243840329614399
Position 1071: 0.00010555182293303514
Position 238: 8.591081202082707e-05
Position 3034: 6.973701428457495e-05
Position 334: 5.403249647752943e-05
Position 1005: 5.124328656528478e-05
Position 7340: 4.759883067711652e-05
Position 3572: 4.036746352061194e-05
Position 775: 3.761272800357768e-05
Position 2126: 2.775020910099266e-05
Position 153: 2.253865176754877e-05
Position 888: 2.0376861543809736e-05
Position 288: 1.8717389994445155e-05
Position 1645: 1.691747480568392e-05
Position 37: 1.664065086746549e-05
Position 69: 1.071008723961165e-05
Position 1660: 1.4812666590486862e-06
Position 2113: 7.575997461547778e-07
Position 87: 1.325488839687527e-07
Position 810: 8.728038915392397e-08
