Gene = H1FOO
index = 635
Annotated 5SS: [  93 4467 6151 7596]
Annotated 3SS: [4176 5786 7530 7892]
SMsplice 5SS: [  93  315 5857 7596]
SMsplice 3SS: [ 185 5786 7484 7892]
top_k =  500
Partition function (log Z): -2.394528033164745

Sorted 5' Splice Sites (High to Low Probability):
Position 93: 0.9884693192692362
Position 315: 0.8294788113538812
Position 7596: 0.7951523421215161
Position 5857: 0.7354895557521712
Position 4467: 0.24279879611950994
Position 5430: 0.19513981417641815
Position 2471: 0.1537554855991972
Position 5890: 0.11848090733934646
Position 2727: 0.11492567702641197
Position 302: 0.11127526146157127
Position 5486: 0.06428734024402712
Position 2754: 0.02346581895587338
Position 1300: 0.022688945584458803
Position 7567: 0.020900339047006163
Position 6964: 0.020245014234547873
Position 1251: 0.01801354731891699
Position 1113: 0.013958254869631289
Position 5489: 0.012516655299731996
Position 2832: 0.012413280041539996
Position 5263: 0.009720971318589343
Position 3843: 0.009582972496506274
Position 1304: 0.009438173177210131
Position 4523: 0.0064309760753863
Position 6151: 0.0063841701025225805
Position 4340: 0.006294196768888937
Position 4304: 0.006224547858839602
Position 4230: 0.006127702527966623
Position 637: 0.005710815867444869
Position 3052: 0.00413101268472004
Position 4370: 0.004007113834974139
Position 5527: 0.0033744472148502626
Position 4263: 0.0030630644143346893
Position 7600: 0.002926075678919566
Position 688: 0.002299895088084728
Position 712: 0.001998309892454233
Position 70: 0.0018816302977508784
Position 5925: 0.0015713434389882193
Position 2160: 0.0013655747441274901
Position 2582: 0.0013074436060022344
Position 5955: 0.0011354165827014034
Position 5226: 0.001073160529126844
Position 3620: 0.0007274595470953899
Position 1242: 0.00048369807555600873
Position 4050: 0.00040185121329180376
Position 1150: 0.0003532591303100885
Position 795: 0.00017885460494400032
Position 6057: 0.00014424086927033067
Position 2040: 0.0001296370876453855
Position 7929: 0.00012754094276615273
Position 729: 9.366382376002558e-05
Position 1246: 7.597356293660349e-05
Position 2304: 5.852357488433622e-05
Position 1974: 5.796552216437325e-05
Position 2630: 9.709074725894717e-06
Position 2553: 6.062049517962129e-06
Position 2640: 5.149505927458526e-06
Position 2879: 3.036871656997683e-06
Position 2882: 2.112359674659567e-06
Position 1388: 1.704934850701519e-06
Position 571: 5.559486021451962e-07
Position 421: 1.2589503564439196e-07
Position 397: 3.139256668300264e-08
Position 144: 2.9250888908682324e-08
Position 404: 2.728226844055291e-08
Position 432: 1.7959235887323053e-08
Position 523: 1.371861171615342e-08
Position 381: 3.0996528407883643e-09
Position 20: 3.029561402922138e-09
Position 616: 2.1468842983270145e-10
Position 505: 1.4978277809222303e-10
Position 547: 4.584327432458122e-11
Position 174: 1.6108750584282738e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 185: 0.8754007090365455
Position 7892: 0.6011646009527168
Position 5786: 0.5795173055335083
Position 7484: 0.40831987900431516
Position 7487: 0.33823897742136183
Position 7784: 0.2958032571080407
Position 5763: 0.279543431652846
Position 5355: 0.27879750193241115
Position 4176: 0.16309411703649662
Position 2516: 0.1182139435981647
Position 2394: 0.11471038517467562
Position 4203: 0.10633269861868666
Position 7530: 0.09823712541479218
Position 1084: 0.06371675320050213
Position 6937: 0.04997067547709918
Position 2329: 0.02982461668408381
Position 196: 0.02910152229631779
Position 2726: 0.02848751196303878
Position 5790: 0.013174005998019017
Position 5115: 0.010794131847716184
Position 207: 0.010790000145652847
Position 218: 0.010083005009706993
