Gene = ENHO
index = 498
Annotated 5SS: [265]
Annotated 3SS: [1184]
SMsplice 5SS: [265]
SMsplice 3SS: [1128]
top_k =  500
Partition function (log Z): -10.010793390578288

Sorted 5' Splice Sites (High to Low Probability):
Position 265: 0.9613410564668244
Position 15: 0.05180062355868447
Position 996: 0.018468658118073057
Position 1065: 0.014443010577543419
Position 577: 0.009235713422295113
Position 1040: 0.009076328137131495
Position 1199: 0.008965467502989164
Position 36: 0.007360068967105577
Position 102: 0.006882214610295805
Position 1024: 0.006135281265441555
Position 505: 0.0036686918615464795
Position 78: 0.0020368964289046833
Position 759: 0.0009099950848954857
Position 619: 0.0006447948179701966
Position 1395: 0.0004287514410575417
Position 1326: 0.00036422459747112657
Position 767: 0.0002791405455416067
Position 1090: 0.0002620712962129887
Position 1334: 0.0002558161209530575
Position 976: 0.00021431025123777359
Position 902: 0.00014440894943624827
Position 157: 0.00011785988024294182
Position 581: 9.483093880225697e-05
Position 1035: 8.582382315339825e-05
Position 930: 8.149526354892798e-05
Position 1316: 2.693828140383033e-05
Position 1611: 2.4702894798277413e-05
Position 1770: 2.432178813870261e-05
Position 1052: 2.363934308865765e-05
Position 1400: 2.176022825417374e-05
Position 423: 1.82058601696245e-06
Position 782: 4.324783708852905e-07
Position 1014: 1.1542337200358005e-07
Position 144: 1.4717220517827181e-09
Position 203: 1.8501913043968052e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1128: 0.41125206335595704
Position 1184: 0.2207221824760069
Position 1488: 0.09334408229918993
Position 188: 0.05987500552894673
Position 929: 0.05492828527238051
Position 1865: 0.0530270413823627
Position 1964: 0.04470158684487209
Position 1219: 0.04010855576707155
Position 876: 0.03726990626888349
Position 1355: 0.014981727905642034
Position 1366: 0.011335234213166257
Position 1522: 0.011125019381259076
Position 1537: 0.010586325636061208
Position 965: 0.010331255739604266
Position 1540: 0.00434764144096699
Position 995: 0.002372557485172167
Position 695: 0.0023250109426513218
Position 909: 0.002230212183399857
Position 1519: 0.0017532004377630783
Position 1500: 0.0016767518104280012
Position 715: 0.0014890728253683914
Position 1064: 0.0012573371454206244
Position 1076: 0.0010716858005194972
Position 743: 0.0009937356756438316
Position 1625: 0.0009871417704068845
Position 1570: 0.0008626959108566928
Position 1308: 0.000816038753295851
Position 1190: 0.0007317838143191839
Position 728: 0.0007051596117401472
Position 653: 0.0006318798202910515
Position 1737: 0.0004994578119550515
Position 1198: 0.0004649174049371614
Position 357: 0.000447526792230939
Position 915: 0.00042794356662791003
Position 878: 0.0004276610523150872
Position 1828: 0.0003353872831465698
Position 436: 0.0002832222820690915
Position 936: 0.00026771434828226214
Position 1925: 0.0002520556338281809
Position 1669: 0.00023025514774055241
Position 1304: 0.00021121289439722898
Position 1258: 0.0002050788573059042
Position 1332: 0.00020240239142153068
Position 1638: 0.0001230236979201125
Position 619: 0.0001204564844712102
Position 1237: 0.00012030285198859032
Position 1591: 9.868772036937166e-05
Position 1646: 9.833916036169882e-05
Position 758: 6.41200699463377e-05
Position 574: 5.986038366457722e-05
Position 1937: 5.9009790787124785e-05
Position 1889: 5.822950861679802e-05
Position 395: 5.429707728308496e-05
Position 373: 4.6548229132348703e-05
Position 939: 4.3174562788181594e-05
Position 1578: 4.042016798569724e-05
Position 671: 3.662923004994509e-05
Position 1272: 2.9827132364119517e-05
Position 588: 2.9189154790071627e-05
Position 1241: 2.5552000206801944e-05
Position 1603: 2.3835757196991832e-05
Position 253: 2.3124066695530786e-05
Position 613: 1.9564530393930857e-05
Position 409: 1.6981333116648414e-05
Position 1835: 1.5931690798867165e-05
Position 816: 1.5907557339404725e-05
Position 353: 1.5556958075057513e-05
Position 1003: 1.5304039926972313e-05
Position 655: 1.5176659253653658e-05
Position 657: 1.311469833974942e-05
Position 355: 1.1432229730881514e-05
Position 329: 1.032247972484406e-05
Position 508: 9.745174741998063e-06
Position 888: 3.7752630492959806e-06
Position 197: 1.840727782342649e-06
Position 897: 1.79490061511135e-06
Position 203: 1.390547338439519e-06
Position 438: 9.148742024915902e-07
Position 416: 7.831341539699141e-07
Position 127: 5.884000870333631e-07
Position 494: 5.715989621769154e-07
Position 484: 2.442368411614482e-07
Position 107: 2.2000781220745309e-07
Position 406: 2.1995607974945397e-07
Position 661: 3.102191229963304e-08
Position 317: 2.4222251419984668e-08
Position 448: 1.6108153300560423e-08
Position 375: 1.4684087374205212e-08
Position 95: 1.3699153574151309e-08
Position 673: 1.3182055701273451e-08
Position 381: 1.3124991390406323e-08
Position 466: 1.2994111129823275e-08
Position 538: 1.2379842686056389e-08
Position 462: 1.2330577179131044e-08
Position 121: 1.2208538775940859e-08
Position 596: 1.1030181257487843e-08
Position 486: 9.864670373606702e-09
Position 697: 6.543631622110929e-09
Position 630: 6.077871791301941e-09
Position 562: 5.976240341606513e-09
Position 335: 5.903244528962996e-09
Position 323: 5.450660480901521e-09
Position 369: 5.427489383210345e-09
Position 681: 4.544644939093129e-09
Position 460: 2.2986918508148397e-09
Position 337: 1.0036093764706651e-09
Position 301: 9.357081681043272e-10
Position 264: 9.03855060375896e-10
Position 464: 8.806858359507006e-10
Position 517: 6.002949874534652e-10
Position 558: 5.389399104781879e-10
Position 523: 4.76663971978165e-10
Position 510: 4.379723748847739e-10
Position 331: 4.044649229437187e-10
Position 214: 1.2007199094629656e-10
Position 138: 4.470453761514394e-11
Position 472: 4.91319400819771e-12
Position 456: 2.3292943354726766e-12
Position 540: 2.1405406200907837e-12
Position 496: 7.867574226180632e-13
