Gene = PVRIG
index = 1102
Annotated 5SS: [ 165  793 1229 1438 1585]
Annotated 3SS: [ 476  877 1310 1523 1691]
SMsplice 5SS: [ 165 1438 1585]
SMsplice 3SS: [1310 1535 1691]
top_k =  500
Partition function (log Z): -1.5893532750798678

Sorted 5' Splice Sites (High to Low Probability):
Position 1438: 0.9382061807993719
Position 793: 0.5911675887354371
Position 1585: 0.5380906805534682
Position 165: 0.5148902472286243
Position 982: 0.4266470146943649
Position 1229: 0.35526436383825294
Position 188: 0.3432595023498225
Position 693: 0.18171701572936869
Position 1614: 0.16859248122910228
Position 976: 0.07252381233987072
Position 363: 0.03280812163386124
Position 944: 0.022477743896294068
Position 1004: 0.02106461642817629
Position 176: 0.01922090300327446
Position 957: 0.019099339761493417
Position 158: 0.015910981573690218
Position 1802: 0.010688645633906356
Position 46: 0.0047055190982260315
Position 616: 0.0040470198900311736
Position 194: 0.002882444499551705
Position 889: 0.0028211435510282824
Position 1164: 0.0025549821037588703
Position 307: 0.001835967061536797
Position 198: 0.0016894746744658365
Position 765: 0.0006296149231194681
Position 169: 0.0005781699394324612
Position 1199: 0.0005403822982887939
Position 948: 0.00042302025531346945
Position 779: 0.00035805576268130903
Position 901: 0.00023831327793442047
Position 248: 0.00021941540631808948
Position 753: 0.00014304972519626176
Position 891: 7.471526775869559e-05
Position 1448: 7.302442044074319e-05
Position 618: 5.519132223125473e-05
Position 274: 5.458604039529936e-05
Position 246: 3.991254121787969e-05
Position 277: 1.7087946130229766e-05
Position 895: 1.3718654028282027e-05
Position 493: 1.1749058336445831e-05
Position 201: 5.1234098942576814e-06
Position 77: 1.6194379214011556e-06
Position 254: 3.33013087948526e-07
Position 221: 3.003869091771613e-07
Position 281: 2.2541814235538368e-07
Position 57: 1.673288168224383e-07
Position 83: 1.5564207731766774e-07
Position 27: 2.5590446576515925e-08
Position 112: 1.7726086786601375e-08
Position 224: 2.2943763335497568e-09
Position 50: 2.540716896443526e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1691: 0.8745488308966208
Position 1310: 0.6910112015911153
Position 877: 0.6582891206073096
Position 1535: 0.42041211481121127
Position 1523: 0.3515047356376812
Position 1352: 0.25918084885592774
Position 476: 0.22507319681280452
Position 707: 0.10861466377720191
Position 1074: 0.10613274416019616
Position 1039: 0.09734957236519735
Position 615: 0.08594670786441454
Position 575: 0.08087031067346341
Position 664: 0.05446277434837176
Position 684: 0.053546799147933165
Position 1117: 0.0494504261766981
Position 578: 0.030499917146437114
Position 714: 0.01697598874128332
Position 1092: 0.015679776210864752
Position 245: 0.015446699092738624
Position 1841: 0.010775809535594408
Position 334: 0.010224495240495571
Position 418: 0.008033801711903541
Position 1984: 0.0070839298326845655
Position 358: 0.0070497326527954205
Position 2170: 0.00667386208455567
Position 555: 0.004685887167823984
Position 533: 0.004584485089625784
Position 2110: 0.004224095924311443
Position 1097: 0.004124529893257815
Position 1379: 0.004010601407166566
Position 2205: 0.002676770506677351
Position 686: 0.0024866283833928264
Position 1556: 0.00247509124584627
Position 2052: 0.0024647542140022725
Position 692: 0.0016956420340756679
Position 1495: 0.0016665995535715332
Position 1750: 0.0016001387910635166
Position 306: 0.0015919249576526408
Position 1885: 0.001489714689647394
Position 1563: 0.0013612071405748837
Position 269: 0.0011922949692260265
Position 622: 0.0010140987555520065
Position 1133: 0.0009226469106991085
Position 1712: 0.0008932912035943241
Position 1432: 0.0006536734889932439
Position 538: 0.0005678418657222128
Position 636: 0.00039219741540840635
Position 447: 0.0003875799344853672
Position 391: 0.00037439492970610193
Position 901: 0.0003601170312597021
Position 482: 0.00034442189124213465
Position 1776: 0.0003358237379864953
Position 586: 0.0002825742372306249
Position 2122: 0.00025754812060974606
Position 679: 0.00021102278129898325
Position 632: 0.00016578717976024893
Position 1542: 0.00015682085559552128
Position 1164: 0.0001326752670418516
Position 277: 0.00012002960819919092
Position 1919: 0.00010998260043760612
Position 437: 9.718687220827632e-05
Position 1130: 8.847662010189187e-05
Position 842: 8.119795982127415e-05
Position 828: 7.548343648694196e-05
Position 1094: 6.0713602130371753e-05
Position 728: 5.3435670319520694e-05
Position 627: 4.5253697551228797e-05
Position 629: 4.023638560523325e-05
Position 486: 3.111671007729102e-05
Position 2004: 2.9275619612846864e-05
Position 552: 2.7579342927941162e-05
Position 1382: 2.751804493387795e-05
Position 423: 2.629471393725201e-05
Position 888: 2.5635145340978897e-05
Position 1217: 1.9299050358642504e-05
Position 850: 1.7912423984363122e-05
Position 809: 1.5674600637389115e-05
Position 396: 1.231263281414934e-05
Position 252: 1.2134063456982407e-05
Position 378: 2.607501637424038e-06
Position 232: 1.625618629471613e-06
Position 135: 1.1769415254434932e-06
Position 139: 3.8540060397056785e-07
Position 108: 1.1601164794976604e-07
Position 174: 1.1455359894445613e-07
Position 101: 1.837607277362186e-08
Position 132: 9.56321244962819e-09
Position 179: 8.638410452828387e-09
Position 151: 6.2356035928752475e-09
Position 98: 3.1308042607595436e-09
Position 112: 2.7595439236233363e-09
Position 213: 1.108581610976779e-09
Position 153: 1.0534131893828984e-09
Position 158: 1.7485730760561696e-10
Position 201: 2.788463565194695e-13
