Gene = NCSTN
index = 920
Annotated 5SS: [  210  1555  5851  6399  6979  8101  8534  8935  9720  9966 11019 12486
 12687 13076 13483 13982]
Annotated 3SS: [ 1449  5726  6276  6832  7949  8423  8781  9614  9887 10845 12382 12590
 12987 13327 13768 14876]
SMsplice 5SS: [  210  5851  6399  6979  8101  8534  8935  9720  9966 11019 12486 12687
 13076 13483]
SMsplice 3SS: [ 5726  6276  6832  8015  8423  8781  9614  9887 10845 12382 12590 12987
 13327 14876]
top_k =  500
Partition function (log Z): 17.746017495387527

Sorted 5' Splice Sites (High to Low Probability):
Position 12687: 0.9908650802107937
Position 11019: 0.9439584374321573
Position 5851: 0.9432295649073598
Position 9720: 0.9415449453483192
Position 210: 0.9100298108432056
Position 6399: 0.8942102784054627
Position 12486: 0.8853083698051589
Position 9966: 0.8625279132969331
Position 13076: 0.851227924646568
Position 6979: 0.8183708533163094
Position 8935: 0.8059945225284146
Position 8534: 0.7979931705103489
Position 8101: 0.7840725358240431
Position 13483: 0.777208371129921
Position 13982: 0.5607832136970231
Position 1555: 0.5119791156778858
Position 531: 0.30322175999170886
Position 10230: 0.17492254485352704
Position 10066: 0.13944699498204446
Position 4281: 0.12665309505067604
Position 1002: 0.1252063670771667
Position 3885: 0.12052103588239313
Position 8125: 0.09728606021704964
Position 12796: 0.09592512518987706
Position 726: 0.0820028541907289
Position 9323: 0.07129184816375518
Position 7894: 0.07120499888854494
Position 14597: 0.05905130642218481
Position 7406: 0.053013057347539236
Position 4342: 0.048456771119840834
Position 13493: 0.04752899933673776
Position 8696: 0.02902214463531036
Position 10176: 0.022398703295069954
Position 617: 0.015284313871281593
Position 12506: 0.015109990914496494
Position 3095: 0.014405344065013875
Position 8585: 0.012821940356967043
Position 7039: 0.012787993670141592
Position 9147: 0.012516485007211843
Position 8727: 0.01243599862805501
Position 13065: 0.010979686093747151
Position 1014: 0.010926045983788844
Position 9954: 0.01039808769382512
Position 13457: 0.010303822838035735
Position 11851: 0.009287754905453693
Position 592: 0.009269664829393245
Position 227: 0.008383896224935152
Position 12423: 0.008326536047945986
Position 9505: 0.0064916931053756585
Position 12829: 0.006450117556717248
Position 10622: 0.005228251035854009
Position 1343: 0.005194525464909204
Position 9484: 0.004656914224005304
Position 6688: 0.003566091216584317
Position 14588: 0.003055775421074523
Position 682: 0.002727171087558248
Position 11949: 0.002725213057791913
Position 1661: 0.002631607171101192
Position 7290: 0.002579391179264168
Position 539: 0.002545971163288145
Position 11486: 0.0025065531825700506
Position 13831: 0.0024250546393753142
Position 13087: 0.0021187548805380045
Position 3849: 0.002073396454313485
Position 11087: 0.001815558728779767
Position 324: 0.0017376300128072151
Position 1380: 0.0015709184770058596
Position 60: 0.0014769078543106068
Position 6833: 0.0014090443743027703
Position 9888: 0.0013311271589255484
Position 384: 0.001008735045437624
Position 1164: 0.0009174541910026219
Position 10056: 0.0008836859762324964
Position 6374: 0.0008160294834791321
Position 53: 0.0008093407121482704
Position 601: 0.0007306701189951535
Position 11919: 0.000659916636425676
Position 596: 0.0006443966648667094
Position 6797: 0.0006372427843344961
Position 10405: 0.0006330158558094417
Position 6394: 0.0005958664515872878
Position 13835: 0.0005861270100864563
Position 13392: 0.0005446790212193161
Position 11003: 0.00050583445883619
Position 10736: 0.0004975693651777966
Position 11531: 0.0004613968548810841
Position 10720: 0.00044040881757007543
Position 12666: 0.00042305874643936076
Position 5789: 0.00041549112342591097
Position 7419: 0.0003848533509181378
Position 12468: 0.0003695169443992064
Position 796: 0.0003405528508046614
Position 7585: 0.00031186345040886993
Position 6782: 0.00030183664388360587
Position 12895: 0.00023691659296107281
Position 12914: 0.0002147384421827042
Position 5864: 0.00020261631525857177
Position 5785: 0.00019193460230644297
Position 1278: 0.00017892756417119634
Position 6470: 0.0001598434546089816
Position 1559: 0.00015488056796672309
Position 141: 0.00015296817915419768
Position 7122: 0.0001486044878303412
Position 12863: 0.00010753733821273356
Position 165: 0.00010610693521498398
Position 1450: 9.567757993036709e-05
Position 820: 9.329790637486394e-05
Position 171: 8.705129083739174e-05
Position 737: 7.626382829965273e-05
Position 51: 7.486321280012814e-05
Position 763: 6.95495036215951e-05
Position 13651: 6.745792128652952e-05
Position 294: 5.4324075607248866e-05
Position 479: 5.1758092805840434e-05
Position 23: 3.780150151784772e-05
Position 656: 3.449482083999758e-05
Position 282: 2.2211130410296136e-05
Position 710: 2.1484027284386528e-05
Position 847: 1.5738817042305544e-05
Position 9950: 1.1302329383673761e-05
Position 7483: 7.380144325470178e-06
Position 557: 3.4559616290861463e-06
Position 471: 3.420066212842336e-06
Position 57: 1.5425136844602658e-06
Position 12557: 1.0842123789340386e-06
Position 311: 9.12186441600907e-07
Position 410: 6.930588968708046e-07
Position 12629: 5.326518090844092e-07
Position 359: 2.692603138068208e-07
Position 6479: 2.3867855784894557e-07
Position 533: 1.6919110355016288e-07
Position 587: 9.897067050882315e-08
Position 958: 7.281153395607276e-08
Position 405: 1.5372000879318115e-08
Position 408: 1.4331412677817807e-08
Position 640: 9.245629714767291e-09
Position 187: 3.905527953497123e-09
Position 9683: 3.7814333048518465e-10
Position 197: 7.973665865984348e-11
Position 344: 2.954018534614056e-11
Position 236: 1.0403361096299181e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 12590: 0.9862671410279056
Position 14876: 0.9355122779787074
Position 5726: 0.9318166514235209
Position 12382: 0.9062630013572353
Position 9614: 0.8592460236208589
Position 12987: 0.8350035023965007
Position 6276: 0.740514094488263
Position 6832: 0.7307596815306555
Position 13327: 0.7231787685671951
Position 10845: 0.7071203608004849
Position 8423: 0.7011617424152154
Position 8015: 0.499049219974366
Position 9887: 0.48158093048288547
Position 1449: 0.4187956154201472
Position 9831: 0.3994429410731251
Position 7949: 0.3349776438308346
Position 8781: 0.3073572106598556
Position 8818: 0.24676471165914146
Position 10050: 0.22071723829994136
Position 13768: 0.21221088757298892
Position 401: 0.20078488948289333
Position 8853: 0.190194216569726
Position 4177: 0.17510986617051674
Position 13891: 0.14912011005580983
