Gene = PLPPR4
index = 1042
Annotated 5SS: [  719 24198 32915 35278 37014 37945]
Annotated 3SS: [24011 32784 35081 36955 37770 41731]
SMsplice 5SS: [  719   973 16065 24198 31858 32915 35278 37014]
SMsplice 3SS: [  864 15953 24063 31743 32784 35081 36955 37770]
top_k =  500
Partition function (log Z): -11.106994257738133

Sorted 5' Splice Sites (High to Low Probability):
Position 18323: 0.9999720849807119
Position 24198: 0.99547027593676
Position 16065: 0.9926504998632326
Position 35278: 0.9837715356888971
Position 32915: 0.8916601726281799
Position 37014: 0.8140426760605879
Position 719: 0.5485770173400418
Position 1089: 0.41388377866481285
Position 16263: 0.38913520345333563
Position 91: 0.35519422749510804
Position 973: 0.32617732343259165
Position 8663: 0.30549080606779583
Position 37945: 0.23779333935850486
Position 969: 0.17630261791691285
Position 36831: 0.15705371584557892
Position 308: 0.1524504903482766
Position 2470: 0.13503576554722513
Position 4456: 0.1298778524941778
Position 13454: 0.10796611882521572
Position 1884: 0.09682352279108006
Position 6958: 0.09578719602713906
Position 37404: 0.07412203701138752
Position 11248: 0.07275202460163364
Position 13440: 0.06943711339991955
Position 3217: 0.03524137394830806
Position 97: 0.02984243746776047
Position 37366: 0.029626350444010813
Position 38267: 0.02684228196479654
Position 5387: 0.017823214870988615
Position 37122: 0.009160104320012304
Position 37083: 0.007359821535107287
Position 1147: 0.0071199719995726895
Position 116: 0.003556408751527475
Position 781: 0.003230515093886766
Position 3295: 0.00322933848851149
Position 930: 0.002421297627878561
Position 326: 0.0022785741260866535
Position 5335: 0.0016420624116265544
Position 245: 0.001498018487590089
Position 914: 0.0012815221592935532
Position 61: 0.001193907189071953
Position 5909: 0.001025774079419129
Position 29: 0.0007070142214708289
Position 2934: 0.0005996696375231852
Position 1807: 0.0005257046813460617
Position 33: 0.00046526695072055744
Position 16: 0.0002687891958888142
Position 1954: 0.00023365570676780743
Position 671: 0.00013414194889979877
Position 2107: 0.00013013604668195126
Position 205: 9.990048877990541e-05
Position 1095: 6.036765685588029e-05
Position 1140: 4.678296927625545e-05
Position 1107: 3.7938581614906175e-05
Position 903: 3.781066673997064e-05
Position 643: 3.4766830710214e-05
Position 101: 2.834630884902076e-05
Position 893: 2.4573943485270613e-05
Position 943: 8.70767757358928e-06
Position 723: 8.657762207444574e-06
Position 793: 5.9925780850044825e-06
Position 457: 4.3508107650498215e-06
Position 173: 3.0494648215816884e-06
Position 381: 1.443800736611637e-06
Position 534: 5.239065744198165e-07
Position 1446: 1.2495962004819048e-07
Position 1305: 1.1462586681507294e-07
Position 519: 7.781378205986614e-09
Position 713: 7.696477280581781e-09
Position 85: 2.184719273873275e-09
Position 5: 5.328667994587953e-10
Position 2362: 1.0956022507092636e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 15953: 0.9999993055203511
Position 35081: 0.9992755628239199
Position 24011: 0.99547027593676
Position 32784: 0.8919051696662554
Position 36955: 0.7802864206835007
Position 864: 0.7487649695788803
Position 18191: 0.7033570773356543
Position 37770: 0.6060392521566887
Position 16143: 0.3817953139524103
Position 8513: 0.3054908155389606
Position 18232: 0.29661790884018535
Position 13248: 0.17740356086992687
Position 36600: 0.17384490334068467
Position 41731: 0.15129041131311055
Position 1007: 0.129639722914236
Position 4277: 0.12762846085193053
Position 43992: 0.10950065689713312
Position 37270: 0.10711024775142532
Position 6842: 0.09578736747891489
Position 1748: 0.095266215473904
Position 11073: 0.07275204611098805
Position 43446: 0.06244070529390744
Position 43128: 0.06241828951002679
Position 2394: 0.06117633177510469
Position 516: 0.051160194400469955
Position 36999: 0.048838895495200166
Position 2344: 0.0430382207707868
Position 39778: 0.04005738706331599
Position 3036: 0.03847076657560234
Position 38190: 0.031037891106787625
Position 41172: 0.02911657226291578
Position 37629: 0.0261706215988608
Position 2310: 0.025226993356509308
Position 953: 0.023333473895456796
Position 37290: 0.022453078977952866
Position 502: 0.02245284932382062
Position 36328: 0.021513387384196992
Position 39837: 0.017264412055780297
Position 5246: 0.015999163485292178
Position 35762: 0.008342226161571046
Position 37082: 0.008294446021997776
Position 40839: 0.007933631498276389
Position 988: 0.007782438330736319
Position 38835: 0.007323230804260183
Position 1032: 0.006873768209331891
Position 568: 0.006683674829947808
Position 235: 0.005617477156572386
Position 1040: 0.005522140617257087
Position 38020: 0.004300834904208175
Position 5193: 0.0034661283940774783
Position 621: 0.003194727997729804
Position 37921: 0.0031200678294174816
Position 36477: 0.003068100995761943
Position 543: 0.00295360633520431
Position 2348: 0.0029279162966171224
Position 392: 0.002822336150582253
Position 37117: 0.0027613313466654053
Position 35480: 0.002325018919226136
Position 4251: 0.002249402912394463
Position 750: 0.0016650736298012433
Position 38236: 0.00135357869425356
Position 2313: 0.0012892665926680807
Position 2466: 0.0012602453814638073
Position 1673: 0.00116559767244278
Position 35585: 0.0011120680714565342
Position 1677: 0.0010117330746134568
Position 718: 0.000857703494124279
Position 614: 0.0008253604245435566
Position 242: 0.0007938842490337077
Position 5815: 0.0007724780805371789
Position 470: 0.0006542635673317084
Position 571: 0.0006157953938142415
Position 162: 0.0005858312543711736
Position 927: 0.0005722847160209001
Position 445: 0.0005621250424821128
Position 171: 0.0004843885801319892
Position 193: 0.0004242753925593643
Position 2759: 0.00041748547438475684
Position 35714: 0.00040393341509599754
Position 631: 0.0003097042179349257
Position 638: 0.00028949635926194445
Position 5771: 0.0002532959988819493
Position 652: 0.00022431289432070766
Position 575: 0.0001971171386836873
Position 37806: 0.00019358397160764495
Position 873: 0.00017517530160070607
Position 33165: 0.0001409574983122976
Position 2653: 0.00014060650818027294
Position 29500: 0.00011568439248564317
Position 907: 0.00010272836989460175
Position 1940: 9.61335398246653e-05
Position 483: 9.203786933821002e-05
Position 199: 8.87486943050768e-05
Position 277: 8.779613837380543e-05
Position 221: 8.63355863218047e-05
Position 1883: 8.563942634735926e-05
Position 204: 7.782248675049218e-05
Position 213: 6.975268913904527e-05
Position 2106: 6.497656551907987e-05
Position 585: 5.8959003931809186e-05
Position 452: 5.4768846130034705e-05
Position 876: 4.4511441601232444e-05
Position 2675: 4.158207232386959e-05
Position 780: 4.059669229171927e-05
Position 1977: 3.3785890462268696e-05
Position 23202: 3.1418215636676046e-05
Position 657: 2.8990421410374873e-05
Position 2272: 2.6575282320502936e-05
Position 2154: 2.5242480641503472e-05
Position 25225: 2.504852938991642e-05
Position 1811: 2.2116589287422505e-05
Position 351: 1.997420865805902e-05
Position 357: 1.911416869441632e-05
Position 1564: 1.6971481775096644e-05
Position 1833: 1.4842858104097391e-05
Position 407: 1.3137982019676188e-05
Position 196: 1.0350591769708491e-05
Position 1042: 7.959137908678044e-06
Position 181: 6.890006417174611e-06
Position 21175: 5.140169840109954e-06
Position 332: 4.646309984897764e-06
Position 120: 4.07567352649372e-06
Position 684: 3.5649846980451243e-06
Position 732: 3.555968181294461e-06
Position 480: 3.2404429563342975e-06
Position 655: 3.0641146051536856e-06
Position 664: 2.692694008227216e-06
Position 723: 2.6464412094514144e-06
Position 149: 2.2408965413464823e-06
Position 286: 2.239751150261003e-06
Position 19671: 1.8833166522526321e-06
Position 19142: 1.1000101819854348e-06
Position 414: 1.098259951749519e-06
Position 679: 1.0955352302810714e-06
Position 371: 9.180227674286217e-07
Position 16878: 6.472140860426727e-07
Position 16461: 6.352486040862351e-07
Position 18688: 6.053663798294965e-07
Position 245: 5.834452306641754e-07
Position 430: 5.14546597842725e-07
Position 17923: 4.76869199953466e-07
Position 428: 4.727735386089214e-07
Position 311: 4.58470081482074e-07
Position 410: 3.32006194569028e-07
Position 173: 1.705956502061523e-07
Position 184: 1.5552688921823754e-07
Position 791: 1.4957757326421997e-07
Position 1305: 9.377599896004817e-08
Position 805: 8.982723961742646e-08
Position 771: 4.229444741666144e-08
Position 9884: 2.815592853190169e-08
Position 1417: 1.613172280343674e-08
Position 16178: 8.179861545946215e-09
Position 7145: 7.119433855094914e-09
Position 3810: 4.729228337642707e-09
Position 2572: 2.4360857526902105e-09
Position 5040: 2.002953277531291e-09
Position 6166: 1.2342336212236212e-09
Position 5141: 8.6985421164298e-10
Position 2967: 3.1757090801677724e-10
Position 2880: 1.4194540759481134e-10
Position 2678: 8.684301834801634e-11
Position 2083: 4.8166675462175e-12
Position 2123: 4.5075498960315235e-12
Position 133: 8.525639239072421e-17
Position 94: 8.255268565236991e-17
Position 303: 6.852330864431986e-17
Position 90: 3.067173817932131e-17
Position 130: 1.6787077509705673e-17
