Gene = HHLA3
index = 651
Annotated 5SS: [  303 11733]
Annotated 3SS: [11638 12811]
SMsplice 5SS: [  303 11524]
SMsplice 3SS: [11340 11638]
top_k =  500
Partition function (log Z): -10.495128223904375

Sorted 5' Splice Sites (High to Low Probability):
Position 303: 0.6049442548521622
Position 11524: 0.48792197917031943
Position 11733: 0.37358701438874486
Position 7104: 0.3259226276316055
Position 404: 0.2737776488236798
Position 11728: 0.08588558546007226
Position 9015: 0.08412049795946117
Position 307: 0.0800589183791446
Position 2711: 0.06369963781088717
Position 5635: 0.049155256911627976
Position 741: 0.04240232625602924
Position 11069: 0.04184318458131399
Position 8282: 0.028583014920005503
Position 154: 0.02849089572317117
Position 2614: 0.028060190541950955
Position 11546: 0.026854439211736435
Position 11544: 0.0224497960110831
Position 11438: 0.01562816328591436
Position 4664: 0.011114594110817824
Position 12180: 0.01089754867759313
Position 9148: 0.010852619930519974
Position 121: 0.010044578721895197
Position 7165: 0.009424600870402165
Position 5748: 0.009135294510618664
Position 3799: 0.002250227001665957
Position 8993: 0.0016736255527995802
Position 3179: 0.0014542487421476764
Position 2917: 0.0014287852646005627
Position 6786: 0.0012305642002037641
Position 326: 0.0012280468059126142
Position 4004: 0.0011308253091322038
Position 5892: 0.0010149759363037364
Position 5844: 0.0009985848722203702
Position 149: 0.0009087680190853893
Position 3942: 0.0006133385030418572
Position 9683: 0.0005994659386650289
Position 2980: 0.0005242210322029356
Position 1575: 0.0004615480067390703
Position 114: 9.89808341510618e-05
Position 37: 8.400957621788737e-05
Position 2413: 3.848322828162102e-05
Position 567: 3.114684548189844e-05
Position 160: 2.6950079300841187e-05
Position 337: 1.2021135752172243e-05
Position 60: 1.1384472293102683e-05
Position 589: 9.44735917619586e-06
Position 238: 6.931999487746632e-06
Position 476: 6.3899795207364215e-06
Position 573: 5.519960388417561e-06
Position 685: 4.850168654252618e-06
Position 1866: 1.2402267757706285e-06
Position 442: 1.1824032199603876e-06
Position 41: 1.0510058076407298e-06
Position 2077: 9.026802106241914e-07
Position 358: 8.212268727254211e-07
Position 140: 7.734155361605648e-07
Position 39: 7.406457682786522e-07
Position 1908: 4.842325680387033e-07
Position 716: 2.9087134311497446e-07
Position 268: 8.479904505447432e-08
Position 470: 8.357882491856003e-08
Position 243: 2.696621636981548e-09
Position 298: 1.321762176979062e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11638: 0.7801937926456686
Position 11340: 0.5862713549387196
Position 6987: 0.3447539157300891
Position 12811: 0.13160505871413875
Position 12127: 0.09598523987475184
Position 11588: 0.08837066502299729
Position 12886: 0.08738689858512139
Position 11922: 0.06140971768904085
Position 2522: 0.05883014463808445
Position 11607: 0.05366972577610657
Position 8878: 0.04935009888532008
Position 234: 0.0297849496711743
Position 8078: 0.028166246102504858
Position 10927: 0.027480837807836223
Position 5494: 0.02519054589290326
Position 8788: 0.024798246762805103
